fold,target_mode,status,reason,num_pairs_total,num_pairs_valid,mean_abs_delta,median_abs_delta,corr_aligned_vs_sem,same_sign_rate,same_sign_rate_strong_effect,num_pairs_strong_effect,same_sign_rate_sem_effect_present,num_pairs_sem_effect_present
1,sem_truth,ok,,56,56,3.803419147311195,0.0346564437024897,-0.4575520170885046,0.16071428571428573,0.5,18,0.4666666666666667,15
2,sem_truth,ok,,56,56,0.09872655774773596,0.03760953730056264,0.8338500733424167,0.26785714285714285,0.6521739130434783,23,0.7894736842105263,19
3,sem_truth,ok,,56,56,28.106210327666922,0.0261685180517171,-0.28594036546124385,0.21428571428571427,0.5714285714285714,21,0.6111111111111112,18
4,sem_truth,ok,,56,56,0.08603383047093185,0.022880405641691318,0.845966533596142,0.26785714285714285,0.7894736842105263,19,0.9375,16
5,sem_truth,ok,,56,56,1.655363000742171,0.04021421324723799,0.09950229012368879,0.17857142857142858,0.4,25,0.5625,16
