input_0,input_1,input_2,pre_1_fc1_0,pre_1_fc1_1,pre_1_fc1_2,pre_1_fc1_3,pre_1_fc1_4,pre_1_fc1_5,pre_1_fc1_6,pre_1_fc1_7,pre_1_fc1_8,pre_1_fc1_9,pre_1_fc1_10,pre_1_fc1_11,pre_1_fc1_12,pre_1_fc1_13,pre_1_fc1_14,pre_1_fc1_15,pre_1_fc1_16,pre_1_fc1_17,pre_1_fc1_18,pre_1_fc1_19,pre_1_fc1_20,pre_1_fc1_21,pre_1_fc1_22,pre_1_fc1_23,pre_1_fc1_24,pre_1_fc1_25,pre_1_fc1_26,pre_1_fc1_27,pre_1_fc1_28,pre_1_fc1_29,pre_1_fc1_30,pre_1_fc1_31,pre_2_fc2_0,pre_2_fc2_1,pre_2_fc2_2,pre_2_fc2_3,pre_2_fc2_4,pre_2_fc2_5,pre_2_fc2_6,pre_2_fc2_7,pre_2_fc2_8,pre_2_fc2_9,pre_2_fc2_10,pre_2_fc2_11,pre_2_fc2_12,pre_2_fc2_13,pre_2_fc2_14,pre_2_fc2_15,pre_2_fc2_16,pre_2_fc2_17,pre_2_fc2_18,pre_2_fc2_19,pre_2_fc2_20,pre_2_fc2_21,pre_2_fc2_22,pre_2_fc2_23,pre_2_fc2_24,pre_2_fc2_25,pre_2_fc2_26,pre_2_fc2_27,pre_2_fc2_28,pre_2_fc2_29,pre_2_fc2_30,pre_2_fc2_31,pre_3_fc3_0,pre_3_fc3_1,pre_3_fc3_2,output_0,output_1,output_2
2.0396771,0.45002362,0.39382574,-0.0415152,-1.3161267,2.2557878,0.1953882,0.7114874,1.3921726,-0.49221024,-0.9262617,0.9664693,1.2621672,0.63188916,1.2341073,-0.35571674,0.3598419,1.1966715,1.3036064,-0.81999826,0.8066951,-1.2074099,1.8888233,-1.146175,0.91156447,0.31284946,0.25513014,-1.1794869,1.1604655,-0.8531296,1.2747736,0.124979645,0.023662567,0.9668004,1.6104082,-1.1621741,0.5329879,1.4498012,2.5060503,-0.7926388,-1.0159128,0.29731792,-3.216689,0.97663224,-1.4080889,-0.75576663,-3.405026,-0.1500588,-0.038859595,-2.4337463,0.986718,1.1145152,-0.27958035,2.0388849,2.0974073,2.4419236,-1.6022394,-2.5158327,2.3152142,1.8836462,-1.1800648,1.7826636,-0.5574877,-1.1435863,-0.3993749,1.7784976,0.5744208,1.007895,0.93705964,0.98152024,1.007895,0.93705964,0.98152024
-0.33943075,-0.98203856,-0.5623462,-0.19838417,1.1794634,0.10113901,-0.30142853,-0.40854478,0.7535536,1.1024327,0.03342758,-0.6020509,-0.007723063,-0.95074093,-0.59125066,-0.40953976,-0.54488623,0.589573,-0.11600716,-0.31314975,0.2784991,0.057599626,0.36471868,0.4597423,-0.544232,0.519091,0.8666402,0.60012084,-0.78487384,0.5675724,0.17325652,0.24600706,0.23783854,-0.43019912,0.24938193,-0.26542005,0.46554402,0.530589,0.020965189,0.49925965,-0.33313927,0.19541426,-0.33787847,0.7298592,-0.22413409,0.8026836,-0.0017948896,-0.16721284,0.35925725,-0.23184833,0.552896,0.6321748,0.92068803,0.49322826,0.5935274,0.7984929,-0.32252336,-0.0029948875,0.43528548,0.4033269,0.35237873,0.5816523,-0.03838758,-0.26084024,-0.38483208,0.12804483,0.634108,-0.33665687,-0.35951775,-0.19170779,-0.33665687,-0.35951775,-0.19170779
-0.17317903,-1.3137221,0.0103218965,-0.4856095,1.0903183,0.31133413,-0.14714086,-0.1194448,0.6835102,1.429296,-0.012856647,-0.21700725,-0.12378988,-1.0128607,-0.76941836,-0.15228508,-0.3125055,0.72856784,-0.15767801,-0.9831972,-0.17870334,0.19608839,0.674267,-0.06265218,-0.17245439,0.8687682,0.50966537,0.5431046,-0.5660577,0.8808518,-0.09009172,0.45973712,0.32665274,-0.19807789,0.022300005,-0.15236793,0.54107416,0.52984804,-0.26741135,0.25340194,-0.028841123,0.38588983,0.060632423,0.6280816,0.090253636,1.0484996,0.10365763,-0.14549106,0.5674864,-0.087662175,0.4311191,0.5890462,1.005512,0.63325804,0.6547723,0.86076874,0.015047997,0.344384,0.5677336,0.4718818,0.5122771,0.6325621,0.3057941,-0.4070171,-0.42543167,0.3442797,0.76647586,-0.31525305,-0.29651684,-0.24537116,-0.31525305,-0.29651684,-0.24537116
0.021678487,0.60664004,-1.1700633,0.28271568,0.1304068,0.5876249,-0.718227,-0.72323895,1.1117411,-0.37296095,-0.24588038,-0.87835324,0.8084027,-0.26209965,0.52853197,-0.6608955,-0.62356853,0.18263994,0.39717403,1.1080828,1.3127693,-0.4761253,0.21162671,0.9564799,-0.768155,-0.53860337,1.2863362,-0.1085948,-0.45038643,-0.76493156,0.9469971,-0.15933743,-0.37687418,-0.2833366,1.2497275,-0.9161507,0.24048424,1.0062796,1.5190097,0.50773853,-1.6146523,-0.60588324,-2.8026385,0.6519137,-1.5800089,-0.13262877,-1.7073184,-0.36007464,-1.4534049,-1.3223977,0.6085024,0.83259565,0.1308916,0.50313747,1.1115661,1.077913,-1.7010468,-2.108515,0.69431925,0.7047737,-0.7392502,0.98501146,-1.4521511,-0.226793,-0.5091406,0.03886331,0.38370484,0.012423379,-0.001501102,-0.021490246,0.012423379,-0.001501102,-0.021490246
0.21080388,1.2068245,-1.1321899,0.32607526,-0.41278258,0.90896153,-0.8834355,-0.75653046,1.2275665,-0.8945911,-0.38770032,-0.8394736,1.123167,-0.004096031,0.93812346,-0.6024078,-0.54213905,0.0023370534,0.5754742,1.460404,1.5282086,-0.5963107,0.26626542,0.94071704,-0.69955283,-0.8841641,1.289333,-0.46584994,-0.2007639,-1.2221094,1.1225231,-0.22076619,-0.668087,-0.09836169,1.5779005,-1.1944784,0.33527288,1.1813532,1.7432771,0.49182728,-2.02128,-0.6813348,-3.3688993,0.70379627,-2.024765,-0.090947315,-2.1186426,-0.45584694,-1.7920324,-1.6139344,0.6948481,1.0187608,0.1391215,0.5973713,1.2533146,1.1766484,-2.1734147,-2.4663935,0.8905734,0.83117694,-1.2004349,1.1025183,-1.7771658,-0.2534267,-0.56641144,0.15600663,0.44092047,0.028165264,0.038550656,0.0060929656,0.028165264,0.038550656,0.0060929656
-0.8662415,-1.1179789,1.4859698,-1.5262619,0.53945625,0.60910565,-0.78718406,-0.20951666,0.3621474,1.7312704,0.041334346,-0.02123347,-0.28149924,-1.5186777,-1.2386588,1.0520453,0.11406413,-0.14237806,-0.80479366,-1.4331269,-1.412726,1.3396885,0.6962599,-0.6406921,0.2154599,0.78843987,-0.2721098,0.31524473,-0.37464678,1.2692838,-1.3014284,1.1024804,-0.48966727,0.2522673,-0.58151037,-0.59001577,1.0194896,0.44878358,-0.18351234,-0.15783644,-0.2661794,0.78143406,0.76653415,0.3882001,-0.5049416,1.5050533,-0.067641355,-0.5199161,0.15055564,0.21364576,0.69098157,0.7599911,1.2180825,0.3982265,0.48171574,0.605517,-0.77176785,0.55942965,0.43813983,0.29767248,0.06583405,0.46207118,-0.18666402,-0.3548264,-0.71623915,0.24861044,1.2929611,-1.0819414,-1.076903,-1.5164595,-1.0819414,-1.076903,-1.5164595
1.4667629,-0.36702207,-1.4878366,0.85930693,0.4096617,0.90140307,0.49684173,0.1948219,1.3788129,-0.038737565,-0.4977606,-0.040728003,0.80239487,0.32045567,0.79146296,-1.5002664,-0.50257415,1.6527853,1.1942923,-0.055744346,1.7278208,-1.6330361,1.0712955,0.2438311,-0.20961508,0.4250065,1.312506,-0.09705503,0.00169833,-0.55939233,1.8621837,-0.4258641,0.8409387,-0.15726975,1.5230376,-0.4094157,0.19355097,1.6181848,2.175862,-0.14337438,-1.049284,0.20289351,-3.0638223,0.25364426,-1.0197375,-0.4292807,-2.0153046,-0.55272186,-1.4765438,-1.7770691,0.3394521,0.8936418,-0.4436484,1.2350031,1.9318537,2.4918525,-0.8520215,-1.8818358,2.109802,1.4305286,-0.15865973,1.9866811,-1.0795969,-0.6571402,-0.49595308,0.52688503,0.64679253,1.0889115,1.0251905,0.4676004,1.0889115,1.0251905,0.4676004
-0.92141217,0.02590781,1.1276652,-1.3152629,-0.12310736,0.82269603,-1.2620362,-0.5843725,0.534201,0.7672273,-0.0756945,-0.36822462,0.21429262,-1.2068334,-0.60421497,1.0261855,0.02435109,-0.6547145,-0.6365493,-0.3233456,-0.8294637,1.2133183,0.42553633,-0.17204961,-0.050248817,-0.04058308,0.005645752,-0.10158086,-0.2762522,0.41381374,-0.9786112,0.8888759,-1.0761821,0.2954009,-0.015100479,-0.86022127,0.46719536,0.2190038,0.6583199,-0.38391444,-0.5164653,0.338225,-0.15616885,0.24941829,-0.80587804,0.6552263,-0.74496055,-0.6935101,-0.5153734,-0.38033435,0.55987763,0.44769388,0.6116827,0.21439002,0.55413705,0.48044664,-1.2088053,-0.4607085,0.29921696,0.26097345,-0.3177689,0.43475568,-0.4954723,-0.30558908,-0.5398738,0.121372074,0.7680837,-0.499176,-0.44095317,-0.674402,-0.499176,-0.44095317,-0.674402
1.7500603,-0.057362266,0.22833554,-0.03862056,-0.74101055,1.8600078,0.2849968,0.6426237,1.2789465,-0.0416615,-0.7586006,0.802541,0.96354353,0.35752285,0.8420771,-0.44745266,0.21489525,1.2962358,1.0991602,-0.9815802,0.67781126,-1.0733538,1.725898,-0.97778195,0.730254,0.5519221,0.3370009,-0.79528105,0.8319683,-0.46148416,1.1222296,0.14711621,0.25975195,0.7142281,1.3143013,-0.7536578,0.322956,1.3118967,2.1432455,-0.6961989,-0.6263066,0.13191156,-2.7302804,0.7727535,-0.82260257,-0.6547927,-2.8023648,-0.019570783,-0.13015032,-2.0347242,0.73709047,0.8553969,-0.33515,1.8109584,1.8991296,2.2774854,-0.9611562,-2.1547484,2.087198,1.7613438,-0.59577984,1.7478529,-0.29105118,-1.0164598,-0.47895163,1.543461,0.4806853,1.1267674,1.0317945,1.000958,1.1267674,1.0317945,1.000958
0.27261987,1.2287701,0.29815722,-0.47641402,-1.123909,1.5339869,-1.0490332,-0.41941446,1.0727859,-0.6625482,-0.52184254,-0.20318094,1.1048522,-0.13182685,0.76623476,0.29468113,0.009475872,-0.29110026,0.36404288,0.5837404,0.5245136,-0.005348578,0.7363654,-0.029334031,0.018738031,-0.6653614,0.47318533,-0.8749148,0.34424827,-0.9299991,0.36817095,0.30193964,-1.0804857,0.5310356,1.2287948,-1.4911975,0.3303904,0.5398688,1.4285702,-0.31204295,-1.4571935,-0.2576461,-2.3985586,0.6723586,-1.6498984,0.038206544,-1.9725144,-0.3739306,-0.9166733,-1.6293317,0.606609,0.7853463,0.057722203,0.7680352,0.9585876,0.8993154,-1.9824749,-1.983483,0.9330066,0.8625959,-1.3658515,0.86797357,-1.003209,-0.43969667,-0.36666548,0.6199381,0.38246,0.15139766,0.1474189,0.15138789,0.15139766,0.1474189,0.15138789
