input_0,input_1,input_2,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
1.6469511,-1.3673775,-1.325872,0.43898755,0.46570176,0.18567187,0.8724939,0.0,0.0,0.0,0.0,1.422208,0.40637824,0.099582285,0.0,1.6864196,0.8250478,0.0,0.58973825,0.0,0.38077182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5577275,0.0,1.3197308,0.48476845,0.0,1.0077178,0.0,0.46122387,0.0,0.0,0.54890144,0.31757772,0.0,0.0,0.09082657,0.08554686,0.0,0.0,0.35177332,0.7492069,0.36211014,0.0,0.0,0.0,0.0,0.0,0.4851827,0.0,0.0,0.0,0.41373307,0.0,0.0,0.0,0.0,0.48239717,0.27496764,0.5475462,-0.38300693,-0.1974446,0.10368985
0.43259972,0.22699441,1.1858814,0.27480072,0.0,0.0,0.7999053,0.076698065,0.03571713,0.0,0.0,0.013665274,0.0,0.0,0.46716863,0.10477702,0.0,0.12581308,0.9493475,0.23782703,0.0,0.9736445,1.0605515,0.0,0.26102692,1.2337064,0.0,0.8164599,0.7705444,0.0019719005,0.30987155,0.0,0.06339088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4920196,0.01537203,0.7538612,0.0,0.0,0.0,0.87574154,0.4439988,0.0,0.5828734,0.0,0.6610717,0.0,0.061809868,0.0,0.031866916,0.6336923,0.0,0.1930576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038803063,0.4398554,0.23570894,-0.13583386
-0.34530878,-0.6548799,-0.6946749,0.0,0.0,0.8281177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32945505,0.0,0.22238535,0.0,0.0,0.0,0.0,0.27749074,0.0,0.2940043,0.082555085,0.0,0.0,0.13774955,0.0,0.0,0.7199839,0.0,0.04759866,0.7438437,0.4805901,0.56373894,0.0,0.0,0.0,0.0,0.35162818,0.17367859,0.0,0.030386373,0.058764026,0.076208666,0.0,0.0,0.3443382,0.3721916,0.0,0.0,0.0,0.0,0.0,0.0,0.14365086,0.0,0.0,0.026689626,0.0,0.0,0.0,0.0,0.0,0.5910067,0.0,0.061669987,-0.327833,-0.12060551,0.092449956
-0.09647844,-1.2968823,-1.4794699,0.0,0.0,0.95841503,0.0,0.0,0.0,0.0,0.0,0.41992617,0.12108296,0.84584856,0.0,0.7196958,0.0,0.0,0.0,0.0,0.53613275,0.0,0.0,0.32919067,0.0,0.0,0.02431117,0.0,0.0,0.926285,0.0,0.6443465,0.89820635,0.58944416,1.0136433,0.0,0.0064368695,0.0,0.0,0.5161202,0.24784333,0.0,0.0,0.29129955,0.2185986,0.0,0.0,0.37633032,0.669661,0.0,0.0,0.0,0.0,0.0,0.0,0.27894017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79299814,0.053601474,0.06032845,-0.47368586,-0.18348886,0.12649085
1.1698858,-1.1434819,-0.5636864,0.4805153,0.08513773,0.030151248,0.7422964,0.0,0.0,0.0,0.0,1.0387549,0.21471003,0.0,0.0,1.2806541,0.48125476,0.0,0.53061396,0.0,0.20110473,0.13785227,0.087313086,0.0,0.0,0.05510488,0.0,0.0,0.0,0.4239911,0.0,0.7958745,0.37114406,0.0,0.7459837,0.0,0.2741803,0.0,0.0,0.31713152,0.26196784,0.0,0.08302999,0.044108897,0.014397664,0.0,0.0,0.3207265,0.6246613,0.37270874,0.0,0.0,0.0,0.0,0.0,0.33289784,0.0,0.0,0.0,0.2811461,0.0,0.0,0.0,0.0,0.36727068,0.16368574,0.42709947,-0.27701733,-0.13155518,0.07732782
-0.27476266,0.06203927,-1.6853888,0.0,0.533154,1.5426762,0.018704176,0.0,0.0,0.0,0.0,0.0,0.0,0.68789566,0.0,0.0,0.0043886304,0.0,0.22817463,0.0,0.41443676,0.0,0.0,0.0,0.0,0.0,0.71375996,0.0,0.0,0.94206464,0.0,0.12964383,1.0403525,0.5972419,0.46433756,0.0,0.0,0.0,0.0,0.68428475,0.23555398,0.0,0.0,0.0,0.2213847,0.0,0.0,0.32468998,0.37760055,0.0,0.0,0.0,0.0,0.0,0.0,0.36690563,0.15465555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71799093,0.0,0.11926479,-0.44477057,-0.1904353,0.13640906
0.61097795,-0.5569276,-0.28695083,0.11499277,0.044561908,0.27289206,0.5726638,0.0,0.0,0.0,0.0,0.4789945,0.0,0.0,0.0,0.6681239,0.19947013,0.0,0.54016316,0.0,0.09553118,0.22366163,0.263162,0.0,0.0,0.30123094,0.0,0.0,0.0,0.42046764,0.0,0.26127902,0.42765668,0.0,0.43080837,0.0,0.018299,0.0,0.0,0.22727102,0.28022286,0.0,0.23956461,0.0,0.0,0.0,0.04191599,0.32676977,0.38969994,0.26802725,0.0,0.013990629,0.0,0.0,0.0,0.2626864,0.02823764,0.036382385,0.0,0.10852076,0.0,0.0,0.0,0.0,0.34531116,0.0,0.26174673,-0.20610964,-0.08102484,0.06614286
-1.6114113,0.007667142,0.8524637,0.0,0.0,0.68901366,0.0,0.9819372,0.0,0.76002634,0.21365193,0.0,0.0,0.0,0.43804514,0.0,0.0,0.9725403,0.0,0.0,0.0,0.21289198,1.4821742,0.14705253,0.4778528,0.86118114,0.38211954,0.76549935,0.0,0.4933358,0.49985638,0.0,0.5826601,0.6447854,0.0,0.0,0.0,0.0,0.0,0.0,0.17589885,0.0,0.45140636,0.0,0.0,0.0,0.6322469,0.7866539,0.0,0.0,0.0,0.0,0.0,0.096916854,0.0,0.0,0.2797693,0.0,0.45235872,0.0,0.0,0.0,0.06787697,0.0,0.0,0.0,0.0,0.2801999,0.084110275,-0.06383272
0.618353,-0.31600636,-1.5341384,0.0,0.6548216,1.0059967,0.46601918,0.0,0.0,0.0,0.0,0.42711467,0.0,0.35084823,0.0,0.6063667,0.41266197,0.0,0.5205552,0.0,0.3637427,0.0,0.0,0.0,0.0,0.0,0.19835614,0.0,0.0,0.75201607,0.0,0.5803846,0.7961966,0.21703583,0.5951226,0.0,0.036971934,0.0,0.0,0.6362667,0.29808012,0.0,0.0,0.0,0.176153,0.0,0.0,0.30308414,0.4626456,0.0,0.0,0.0,0.0,0.0,0.0,0.44236737,0.06017454,0.0,0.0,0.078063056,0.0,0.0,0.0,0.0,0.6300353,0.0,0.26662344,-0.4604535,-0.21742304,0.163551
-0.2687622,-0.5350905,-0.21206531,0.0,0.0,0.57759076,0.095590234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18033269,0.0,0.0,0.121098906,0.0,0.13895607,0.014827877,0.5553715,0.0,0.0,0.28107774,0.013095103,0.0,0.0,0.5648932,0.0,0.0,0.5915767,0.33844107,0.4068532,0.0,0.0,0.0,0.0,0.19031942,0.2001994,0.0,0.17889285,0.0,0.0,0.0,0.14947844,0.4123903,0.27671665,0.07860547,0.0,0.016985938,0.0,0.0,0.0,0.08492159,0.0,0.0,0.13861832,0.0,0.0,0.0,0.0,0.0,0.44050184,0.0,0.12451653,-0.16328926,-0.061179683,0.06963274
