,missing_edges,extra_edges,correct_edges,orientation_errors,partial_orientations,correct_orientations,shd_strict,shd_partial,shd_edges_only,edge_precision,edge_recall,edge_f1,endpoint_precision,endpoint_recall,endpoint_f1,orientation_accuracy,interventional_agreement
1,1.0,5.0,4.0,2.0,0.0,2.0,8.0,8.0,6.0,0.4444444444444444,0.8,0.5714285714285714,0.3333333333333333,0.6,0.42857142857142855,0.5,0.4
2,1.0,5.0,4.0,1.0,1.0,2.0,8.0,7.0,6.0,0.4444444444444444,0.8,0.5714285714285714,0.3333333333333333,0.6,0.42857142857142855,0.5,0.5
3,1.0,6.0,4.0,2.0,1.0,1.0,10.0,9.0,7.0,0.4,0.8,0.5333333333333333,0.25,0.5,0.3333333333333333,0.25,0.3
4,1.0,6.0,4.0,2.0,1.0,1.0,10.0,9.0,7.0,0.4,0.8,0.5333333333333333,0.25,0.5,0.3333333333333333,0.25,0.3
5,1.0,3.0,4.0,1.0,1.0,2.0,6.0,5.0,4.0,0.5714285714285714,0.8,0.6666666666666666,0.42857142857142855,0.6,0.5,0.5,0.5
mean,1.0,5.0,4.0,1.6,0.8,1.6,8.4,7.6,6.0,0.45206349206349206,0.8,0.5752380952380951,0.319047619047619,0.56,0.40476190476190477,0.4,0.4
std,0.0,1.224744871391589,0.0,0.5477225575051661,0.44721359549995804,0.5477225575051661,1.6733200530681511,1.6733200530681511,1.224744871391589,0.07033017907833898,0.0,0.05454408024105276,0.07405871911902756,0.0547722557505166,0.07142857142857144,0.13693063937629152,0.1
