figure,test,scope,dataset,dataset_label,alignment_target,alignment_target_label,n,mae,median_abs_delta,bias,r,sign_agreement_rate,sem_effect_present_rate
intervention_aligned_proxy_calibration,diagnostic,dataset_alignment,LinearSEMDataset,Linear SEM,observable_state,Observable-state alignment,150,0.37220062704937,0.03385720318827015,0.03227130538538901,0.6571497433165029,0.24,0.29333333333333333
intervention_aligned_proxy_calibration,diagnostic,dataset_alignment,LinearSEMDataset,Linear SEM,sem_truth,SEM-target alignment,150,0.15536188879183632,0.03595648120486255,0.059623503114192976,0.9308960792372886,0.25333333333333335,0.29333333333333333
intervention_aligned_proxy_calibration,diagnostic,dataset_alignment,ElectricalCircuitData,Current Measurement,observable_state,Observable-state alignment,150,0.021631486230678072,0.00811986909567855,0.001147086764324811,0.9741552587371994,0.29333333333333333,0.21333333333333335
intervention_aligned_proxy_calibration,diagnostic,dataset_alignment,ElectricalCircuitData,Current Measurement,sem_truth,SEM-target alignment,150,0.022076740175281283,0.0081981963357528,0.0020844143646225055,0.974297996123737,0.2866666666666667,0.21333333333333335
intervention_aligned_proxy_calibration,diagnostic,alignment_target_pooled,all,All datasets,observable_state,Observable-state alignment,300,0.19691605664002407,0.016120294893638698,0.016709196074856915,0.6622845145091186,0.26666666666666666,0.25333333333333335
intervention_aligned_proxy_calibration,diagnostic,alignment_target_pooled,all,All datasets,sem_truth,SEM-target alignment,300,0.0887193144835588,0.01823026251911141,0.03085395873940774,0.9320962252279605,0.27,0.25333333333333335
intervention_aligned_proxy_calibration,diagnostic,overall,all,All datasets,all,All alignment targets,600,0.14281768556179142,0.0166526780151386,0.02378157740713233,0.7525043652279786,0.2683333333333333,0.25333333333333335
