,missing_edges,extra_edges,correct_edges,orientation_errors,partial_orientations,correct_orientations,shd_strict,shd_partial,shd_edges_only,edge_precision,edge_recall,edge_f1,endpoint_precision,endpoint_recall,endpoint_f1,orientation_accuracy,interventional_agreement
1,1.0,4.0,6.0,3.0,3.0,0.0,11.0,8.0,5.0,0.6,0.8571428571428571,0.7058823529411764,0.3,0.42857142857142855,0.3529411764705882,0.0,0.21428571428571427
2,1.0,2.0,6.0,4.0,1.0,1.0,8.0,7.0,3.0,0.75,0.8571428571428571,0.7999999999999999,0.4375,0.5,0.4666666666666667,0.16666666666666666,0.21428571428571427
3,5.0,4.0,2.0,1.0,1.0,0.0,11.0,10.0,9.0,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.0,0.07142857142857142
4,4.0,5.0,3.0,0.0,3.0,0.0,12.0,9.0,9.0,0.375,0.42857142857142855,0.39999999999999997,0.1875,0.21428571428571427,0.19999999999999998,0.0,0.21428571428571427
5,3.0,2.0,4.0,2.0,1.0,1.0,8.0,7.0,5.0,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.4166666666666667,0.35714285714285715,0.3846153846153846,0.25,0.21428571428571427
mean,2.8,3.4,4.2,2.0,1.8,0.4,10.0,8.2,6.2,0.545,0.6,0.56579185520362,0.3016666666666667,0.32857142857142857,0.3116138763197587,0.08333333333333333,0.18571428571428572
std,1.788854381999832,1.3416407864998738,1.788854381999832,1.5811388300841898,1.0954451150103324,0.5477225575051662,1.8708286933869707,1.3038404810405297,2.6832815729997477,0.1827262676488766,0.25555062599997597,0.20678525103660703,0.12543673704302102,0.14811743823805515,0.13079262726467622,0.11785113019775792,0.06388765649999399
