=== [Causal Discovery] Fold 3 (3/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/metadata.json
Test:  CI( 1 , 5 | (4,) ) = 0.0
Test:  CI( 2 , 5 | (0,) ) = 0.22069913951890197
Test:  CI( 3 , 5 | (0,) ) = 0.4740096719706468
Test:  CI( 4 , 5 | (0,) ) = 2.220446049250313e-16
Test:  CI( 4 , 5 | (1,) ) = 0.9327328263316088
Test:  CI( 0 , 6 | (1,) ) = 0.0
Test:  CI( 0 , 6 | (2,) ) = 5.595524044110789e-14
Test:  CI( 0 , 6 | (3,) ) = 1.674216321134736e-12
Test:  CI( 0 , 6 | (4,) ) = 0.0
Test:  CI( 0 , 6 | (5,) ) = 1.5543122344752192e-15
Test:  CI( 1 , 6 | (0,) ) = 0.7103977400324417
Test:  CI( 2 , 6 | (0,) ) = 0.0
Test:  CI( 2 , 6 | (3,) ) = 0.0
Test:  CI( 2 , 6 | (4,) ) = 0.0
Test:  CI( 2 , 6 | (5,) ) = 0.0
Test:  CI( 3 , 6 | (0,) ) = 2.131372258462605e-06
Test:  CI( 3 , 6 | (2,) ) = 0.0
Test:  CI( 3 , 6 | (4,) ) = 0.0
Test:  CI( 3 , 6 | (5,) ) = 6.439293542825908e-15
Test:  CI( 4 , 6 | (0,) ) = 2.5508663181739166e-07
Test:  CI( 4 , 6 | (2,) ) = 0.01373953095302305
Test:  CI( 5 , 6 | (0,) ) = 0.25867442344122926
Test:  CI( 3 , 6 | (0, 2) ) = 0.0
Saved metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/performance_metrics.json
Saved baseline metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/pag_vs_pag_metrics.json
Found 2 differences:
  1. Missing: 0 --- 4 (DAG: directed_ij)
  2. Wrong orientation: 2 --- 4 (DAG: directed_ij, PAG: bidirected)
Found 5 partial orientation differences:
  1. Partial orientation: 0 --- 1 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 0 --- 2 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 0 --- 3 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 0 --- 5 (DAG: directed_ij, PAG: partial_ij)
  5. Partial orientation: 1 --- 5 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/edge_comparison.txt
Found 5 differences:
  1. Wrong orientation: 0 --- 2 (DAG: directed_ij, PAG: bidirected)
  2. Missing: 0 --- 4 (DAG: directed_ij)
  3. Extra: 0 --- 6 (PAG: bidirected)
  4. Wrong orientation: 2 --- 4 (DAG: directed_ij, PAG: bidirected)
  5. Wrong orientation: 3 --- 6 (DAG: directed_ij, PAG: bidirected)
Found 1 partial orientation differences:
  1. Partial orientation: 1 --- 5 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/edge_comparison_baseline.txt
Found 2 differences:
  1. Missing: 0 --- 6 (Reference PAG: bidirected)
  2. Wrong orientation: 3 --- 6 (Reference PAG: bidirected, PAG: directed_ij)
Found 4 partial orientation differences:
  1. Partial orientation: 0 --- 1 (Reference PAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 0 --- 2 (Reference PAG: bidirected, PAG: partial_ij)
  3. Partial orientation: 0 --- 3 (Reference PAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 0 --- 5 (Reference PAG: directed_ij, PAG: partial_ij)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/pag_vs_dag.png
Saved baseline figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align_observable_state/3/baseline_graph_adj.npy
