input_0,input_1,input_2,input_3,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-1.0206912,0.7255909,0.4240924,1.0523477,0.0,1.2942907,0.0,0.30508304,0.0,0.0,0.18127657,0.24207759,0.9507016,0.8737445,0.21539472,0.2600318,1.0143074,0.0,0.23820582,1.0681528,0.26576784,0.0,0.34157297,0.0,0.23805943,0.8216596,0.42924517,0.1702376,0.31261066,0.5845333,0.0,0.0,0.47244883,0.6586293,0.0,0.04053096,0.5017816,0.0,0.77531916,0.0,0.50675344,0.8123106,0.60188085,0.16138333,0.7819837,0.94242233,0.0,0.5384781,0.6427048,0.69869876,0.0,0.0,0.44785598,0.18700556,1.025272,0.6753151,0.73595536,1.1943235,0.60803086,0.56299996,0.0,0.6625627,0.0,0.66604054,0.0,0.0,0.78941137,0.008700311,0.40704238,0.8575838,0.6658207
0.060182627,-0.41909936,0.02338103,-0.45581505,0.16884416,0.24954242,0.0,0.32931826,0.4816674,0.1465666,0.25058186,0.07351538,0.3946584,0.0,0.30215988,0.0,0.0,0.42491615,0.0,0.0,0.31196567,0.40210003,0.11648839,0.17075005,0.11962816,0.042050168,0.0,0.20654535,0.0,0.0,0.037682272,0.119057335,0.0,0.3499225,0.30990478,0.0,0.44196984,0.0,0.26626423,0.325368,0.0,0.1500812,0.41721824,0.41394186,0.0,0.3734613,0.0,0.46320897,0.25719523,0.17671108,0.0306019,0.0,0.21709946,0.28005126,0.41006562,0.30947417,0.15210277,0.32026246,0.6321721,0.28321445,0.0,0.3719098,0.0,0.09407274,0.42106676,0.13194665,0.09654346,0.34472263,-0.2578842,-0.34809348,-0.1426267
0.08024458,0.4432917,0.4162874,-0.55512416,0.0016676933,0.06719145,0.22302642,0.30485842,0.10244542,0.0,0.4220594,0.152774,0.952502,0.2111806,0.8376743,0.2705809,0.049149886,0.0,0.0,0.0,0.7175175,0.5221913,0.0,0.26527134,0.7142962,0.2969042,0.0,0.71875644,0.13341573,0.3270312,0.0,0.0,0.0,0.28295314,0.014260203,0.0,0.9412914,0.0,0.88644207,0.3706637,0.0,0.24852139,0.033024386,0.18438922,0.077290595,0.5503284,0.0,0.38723376,0.0,0.5131547,0.0,0.0,0.6779623,0.07782716,0.90987897,0.7427767,0.31334892,0.77440315,0.29127645,0.21865433,0.0,0.47781026,0.0,0.5410956,0.15711823,0.0,0.38557494,0.17858651,0.631792,0.30434722,0.04846149
0.23436327,-0.27861747,-0.07724027,-0.51395255,0.2597848,0.015402943,0.08221727,0.36015838,0.54274374,0.10398192,0.30593148,0.05633585,0.37085497,0.0,0.3823885,0.0,0.0,0.4506122,0.0,0.0,0.3692934,0.45539248,0.022738777,0.3256713,0.21220091,0.0,0.0,0.30755037,0.0,0.0,0.0699992,0.07361882,0.0,0.2860284,0.27591842,0.0,0.5720282,0.0,0.43729335,0.40616652,0.0,0.135717,0.33973894,0.40508425,0.0,0.35999775,0.0,0.39990237,0.07913677,0.25766915,0.0,0.0,0.23121879,0.24671961,0.43982476,0.3516124,0.108133264,0.31631598,0.5692956,0.3211748,0.0,0.32524568,0.0,0.19024982,0.43250284,0.13307801,0.14330395,0.35416073,-0.12928593,-0.27518666,-0.26365653
0.42440882,0.25678536,-0.84394306,-0.13875085,0.5321852,0.0,0.4382503,0.40080723,0.40254003,0.0,0.27519223,0.0,0.05428341,0.0,0.24732009,0.0,0.3588409,0.6656318,0.0,0.4389314,0.3055943,0.31653485,0.1732294,0.49841863,0.23872054,0.0,0.0,0.2875954,0.0,0.0,0.37641138,0.0,0.0,0.10806918,0.0368205,0.07360307,0.55535054,0.0,0.7572935,0.35746938,0.0,0.30179632,0.34140807,0.35253328,0.0,0.30209953,0.0,0.11823686,0.0,0.631102,0.108031854,0.0,0.17721543,0.3379059,0.4297427,0.2555752,0.05043091,0.18335903,0.56812716,0.58269244,0.0,0.0,0.0,0.49443385,0.43447322,0.25865415,0.4686044,0.42837057,-0.13335979,0.06499301,-0.6259233
0.046688978,-0.038904324,1.4340158,0.5665349,0.0,1.3957235,0.0,0.8113283,0.0,0.19723806,0.8561961,1.2046477,1.0390022,0.6838343,0.7160206,0.20263645,0.0,0.0,0.03027001,0.0,0.40573066,0.0,0.0,0.0,0.30997816,1.0326512,0.37794304,0.6946239,0.27038732,0.47399735,0.0,0.014321782,0.0,0.8770125,0.23922399,0.25818264,1.1770682,0.0,0.7069392,0.12992868,0.12245862,0.11816691,0.63349855,0.39361304,0.71029496,1.2677506,0.0,1.1910086,0.8643548,0.0,0.0,0.0,0.93095887,0.043517362,0.7619587,0.97738177,0.63253933,1.6911384,0.76871705,0.0033492744,0.0,1.274753,0.0,0.63735443,0.17220698,0.0,0.3029266,0.06630123,0.74331534,-0.080944866,1.1222692
-0.70409536,0.5183023,1.1518044,0.45038262,0.0,1.3468133,0.0,0.3801197,0.0,0.0,0.43180266,0.5862967,1.3107538,0.9381834,0.6658411,0.47634715,0.4160762,0.0,0.07676947,0.30764374,0.53449976,0.0,0.0,0.0,0.51070136,0.9377835,0.34563795,0.54591024,0.6798103,0.76230615,0.0,0.0,0.22560102,0.7094807,0.0,0.0,0.8690521,0.0,0.8704847,0.0,0.26462883,0.5473981,0.44784942,0.18806489,0.8171139,1.0648142,0.0,0.75319934,0.63526577,0.4271363,0.0,0.0,0.919986,0.13116162,1.1207786,0.8735768,0.68328524,1.5692728,0.394921,0.21333553,0.0,1.0144964,0.0,0.7645577,0.001583159,0.0,0.52604806,0.0,0.8108769,0.6117614,0.9457382
-1.8920666,1.0030445,1.5671268,1.7952567,0.0,2.6479034,0.0,0.311097,0.0,0.0,0.23927651,0.7353516,1.6787754,1.8440561,0.33421546,0.7566029,1.3135464,0.0,0.6451359,1.2799854,0.3052635,0.0,0.30407408,0.0,0.31000936,1.5893778,1.1193097,0.22335392,1.2683065,1.3059326,0.0,0.0,1.2426097,1.0874112,0.0,0.034334466,0.7808623,0.0,1.0678182,0.0,0.8009689,1.2749882,0.96055335,0.1658582,1.6623926,1.9510543,0.0,1.1062021,1.3449228,0.7293924,0.0,0.0,0.99411845,0.38036913,1.6579008,1.2779537,1.1397594,2.499991,0.82164377,0.64728653,0.0,1.6364712,0.0,1.3417389,0.0,0.0,1.1039443,0.0,0.97267634,1.3103646,1.7159808
1.8236363,-0.6631215,-1.4771652,-0.22276862,1.0579647,0.0,0.53018606,0.93462396,1.4306813,0.028421907,0.68492997,0.16419967,0.0,0.0,0.022184521,0.0,0.0,2.0148554,0.0,0.0,0.0,0.43052217,0.34287202,1.2267547,0.0,0.0,0.0,0.25972185,0.0,0.0,0.42509753,0.0,0.0,0.052380353,0.54782826,0.48857266,0.87920964,0.0,0.78103626,1.0004908,0.0,0.07981274,1.090979,0.8140914,0.0,0.47441813,0.38519633,0.6776055,0.13042061,0.41259181,0.24699788,0.0,0.3244174,0.7618403,0.0469331,0.15103744,0.0,0.4991154,1.0922527,0.81064713,0.0,0.36308676,0.0,0.5554473,1.1363409,0.91200036,0.26059502,0.94899917,-0.74213076,-1.0669168,-1.0751542
0.7132302,-0.44746894,-1.2288352,-0.8153139,1.0030005,0.0,0.54716593,0.31260097,1.2378508,0.007788283,0.13735363,0.0,0.0,0.0,0.07720627,0.0,0.0,1.3238266,0.0,0.0,0.20900272,0.6022618,0.29468465,0.9297874,0.014451876,0.0,0.0,0.07709266,0.0,0.0,0.7294986,0.022640727,0.0,0.0,0.33544695,0.009840921,0.38053924,0.0,0.698277,0.826045,0.0,0.16250232,0.6683421,0.5321415,0.0,0.11578892,0.42869,0.32177696,0.080189824,0.57906026,0.3293587,0.0,0.05800359,0.8640762,0.2529408,0.116085626,0.0,0.120395854,0.8574803,0.798315,0.0,0.09601712,0.0,0.4656967,0.7824841,0.6599606,0.3277989,0.89158,-0.8311869,-0.5631005,-1.1804823
