input_0,input_1,input_2,input_3,input_4,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-0.8528243,-0.10010282,-0.55041397,1.3022835,1.119568,0.0,0.8478323,0.0,1.2205667,0.0,0.0,0.0,0.030117385,0.02028118,0.78490967,0.9048818,0.0,0.0,1.3522826,0.5659245,0.2586877,1.1774246,0.3933649,1.1760463,0.0,0.06524068,0.39381924,0.0,0.94220716,0.0,0.31253427,0.0,0.0,0.29433215,1.2764775,1.77048,0.18912292,1.1119729,0.489327,0.0,1.2425005,0.0,0.0,0.57008946,0.0,1.2446266,0.46582586,0.0,1.1783189,0.39243636,0.02581799,0.7854959,0.035088576,1.2795776,0.6715901,0.73630357,1.1634455,0.0,1.1767672,1.7135785,0.0,0.0,0.41926056,0.18285803,0.941555,1.1399913,1.1297154,0.0,0.40119046,1.1352153,-0.7432574,-1.1434017
0.39915857,-0.4821026,-1.8519213,-0.85637194,-0.44165993,0.5310612,0.0,0.96141714,0.0,0.0,0.048654675,1.3543639,1.3517247,0.39018434,0.299907,0.036308333,0.0,1.0122461,0.33001858,0.23010218,0.0,0.32353544,1.6200643,0.38543528,0.0,0.065705,0.20254487,1.31763,0.0,1.4510678,0.0,0.027203247,0.2917035,0.0,0.48746353,0.0,0.0,0.6419846,0.5718683,0.0,1.0534589,0.58938324,0.0,1.17468,0.0,0.63255763,0.902403,0.4809478,0.92521983,0.6958144,0.31254894,1.2490734,0.070422776,0.23743947,0.24722278,1.3089528,1.2098303,0.0,0.24897772,1.3684453,0.13570985,0.0,0.54168415,0.74632585,0.246323,0.0,0.28401598,1.1295252,0.0,-0.6951944,0.44512087,-0.677718
-1.4467932,-2.0741155,1.4586358,-0.41996336,-1.1602958,1.1029637,0.15959662,0.0,0.7959999,1.5268173,1.2587776,0.0988273,0.041587036,0.0,0.18914649,0.0,1.2695966,0.0,0.0,0.0,0.12658033,0.0,0.29078197,0.0,1.023137,0.38956195,1.1202538,0.0,0.0,1.1784129,0.5065762,0.7262974,0.43070883,0.20438093,0.0,0.0,0.0,1.4484264,1.7547567,0.0,0.030156465,0.39973807,0.0,0.0,0.0,0.0,1.253513,0.44441062,0.0,0.33159167,0.57546073,1.3299221,0.0,0.0,0.0,0.56605357,0.0,1.1245924,0.43467763,0.0,1.1668532,0.3097919,1.1320696,0.15293993,0.0,0.057192013,0.866168,0.71058536,0.8239352,0.123974495,1.5693631,1.5545261
0.52752435,-1.9693956,1.340658,-0.9217004,-1.1376007,0.594378,0.0,0.0,0.33135495,1.849803,1.096385,0.12678578,0.028227998,0.23815115,0.0,0.0,1.1668872,0.25098804,0.0,0.0,0.12765746,0.0,0.0,0.0,1.326763,0.34250042,0.4980147,0.63416475,0.0,1.6074421,0.085734755,1.5568577,0.9836697,0.0,0.0,0.0,0.0,1.1101248,1.6006638,0.0,0.0,0.8251599,0.0,0.26910588,0.0,0.0,1.2040424,0.826324,0.10339264,0.49616867,0.81217206,1.1762463,0.46024096,0.0,0.2834996,0.7561657,0.0,1.3558806,0.13695654,0.0,1.4791194,0.76797247,0.9471605,0.6118088,0.0,0.021372631,0.77481204,1.143779,0.6501906,-0.7082568,1.4900095,1.6735815
-0.65323627,-0.94488996,0.80839,0.47327626,-0.4150881,0.0,0.28062475,0.0,0.90885174,0.23101383,0.096999496,0.0,0.0,0.0,0.113891944,0.018524803,0.81343114,0.0,0.07418174,0.0,0.39010024,0.0,0.06095788,0.0,0.2742908,0.27184552,0.8229427,0.0,0.24102654,0.34043258,0.42136952,0.34902814,0.04848072,0.054861158,0.0,0.24289776,0.0,0.8925561,0.9807629,0.0,0.04803127,0.0,0.0,0.0,0.0,0.22291538,0.68276405,0.0,0.049905226,0.0,0.0699767,0.5609987,0.0,0.12146286,0.0,0.24010205,0.0544518,0.22068681,0.37573144,0.0,0.452493,0.05686967,0.7927723,0.11541134,0.054648086,0.3312854,0.64677995,0.2550398,0.58992565,0.5153416,0.57535076,0.6886451
-0.23802881,-0.9471404,-0.3553749,0.21571232,0.2130202,0.10111487,0.0,0.0,0.6133008,0.0,0.0,0.0,0.40223455,0.19527768,0.56141233,0.41674238,0.09831147,0.0,0.43361247,0.0,0.0,0.49724388,0.5510341,0.31985894,0.0,0.08084375,0.39302635,0.08601102,0.014111638,0.4976802,0.13602114,0.0,0.0,0.0,0.26806355,0.19643852,0.0,0.7893794,0.39289573,0.0,0.51700455,0.0,0.0,0.32230058,0.0,0.3993221,0.4318107,0.0,0.4513349,0.27336365,0.0,0.7210963,0.0,0.3321217,0.22090006,0.5244803,0.49855104,0.0,0.48349553,0.5810638,0.026066562,0.0,0.33808586,0.2774381,0.3623926,0.030270413,0.19819465,0.21813418,0.0807228,0.28086215,0.22099803,-0.41175056
0.25743747,0.5326545,-0.9428246,0.049218073,-0.17432255,0.0,0.0,0.7614117,0.0,0.0,0.0,0.7654459,0.37542313,0.07408468,0.0,0.1759983,0.0,0.0845626,0.4635856,0.5418508,0.0,0.0,0.90804815,0.6631807,0.0,0.29451448,0.26875934,0.86426854,0.091973096,0.27408373,0.21225409,0.030251265,0.20469192,0.0,0.54525936,0.51530635,0.0,0.38117003,0.32816458,0.0,0.45786017,0.062226288,0.0,0.73149526,0.0,0.62051815,0.6196251,0.0,0.64351755,0.35747838,0.0,0.5576304,0.026528437,0.38362622,0.1241392,0.6162512,0.8850003,0.14185011,0.26699114,0.7687631,0.287941,0.0,0.5112058,0.39044613,0.23233218,0.0,0.537105,0.4192874,0.20451453,-0.06857664,-0.054117326,-0.3361801
0.6606198,-0.44281507,-0.6773222,-1.2423905,-0.90430415,0.42175305,0.0,0.68613756,0.0,0.426526,0.4739893,1.2846234,0.81321216,0.37838566,0.0,0.0,0.032361686,0.88759196,0.0,0.0,0.0,0.0,1.1328766,0.0,0.20546363,0.36384892,0.1588642,1.4797248,0.0,1.4466002,0.019272983,0.81042933,0.9053729,0.0,0.0,0.0,0.0,0.5569526,0.9382966,0.0,0.3954963,0.64031523,0.0,1.1239954,0.0,0.37382028,0.94451916,0.65833217,0.5620944,0.6601826,0.56664544,1.0610651,0.3331203,0.0,0.20992121,1.2189901,1.0721012,0.61705834,0.048099108,0.59294015,0.7752172,0.052612033,0.8022181,0.8262423,0.0,0.0,0.26522318,1.3116304,0.118357055,-1.0792599,0.7627797,0.31033203
1.1840234,1.1782049,-0.52367145,-0.6843709,-0.1460582,0.0,0.0,0.7673559,0.0,0.0,0.0,0.9901584,0.1139711,0.4415756,0.0,0.0,0.0,0.42164478,0.0,0.8014411,0.0862717,0.0,0.71420413,0.23822647,0.0,0.62109053,0.0,1.5136781,0.3233828,0.13037124,0.06880048,0.6480994,0.96836036,0.0,0.24876127,0.30914852,0.0,0.057369247,0.62733006,0.0,0.12975134,0.18625972,0.0,1.2435735,0.0,0.70108724,0.61016315,0.30216238,0.77019584,0.44293705,0.32529753,0.24829787,0.30431744,0.3723658,0.40743303,0.6719936,1.3938448,0.27637053,0.0043199807,0.58087045,0.7093972,0.0,0.5706296,0.97060496,0.20134981,0.0,0.3451788,0.80858576,0.2877753,-0.86043006,-0.29254326,-0.12601778
-1.0342587,-0.0135037415,-0.88284016,0.3742474,0.6193652,0.0,0.5645338,0.3235533,0.5193132,0.0,0.0,0.2872756,0.48209786,0.13934411,0.63617307,0.32498246,0.0,0.0,1.1530879,0.45982936,0.0,1.0305908,1.0088329,0.90098196,0.0,0.23364115,0.3343928,0.0,0.6636449,0.0,0.31128725,0.0,0.0,0.22097003,0.9886385,1.1107354,0.1530248,0.90343255,0.5181351,0.0,0.9202607,0.0,0.0,0.7096896,0.0,1.0027164,0.60535324,0.0,0.95840096,0.5330324,0.0,0.6775492,0.09948988,0.8847348,0.50452644,0.7057871,1.0487969,0.0,0.870847,1.5563477,0.0,0.0,0.4813181,0.38889363,0.67465866,0.54927516,0.86841583,0.06596759,0.1851427,0.59443897,-0.42748374,-0.9423392
