fold,target_mode,status,reason,num_pairs_total,num_pairs_valid,mean_abs_delta,median_abs_delta,corr_aligned_vs_sem,same_sign_rate,same_sign_rate_strong_effect,num_pairs_strong_effect,same_sign_rate_sem_effect_present,num_pairs_sem_effect_present
1,sem_truth,ok,,132,132,0.06245885069838069,0.036254768181022023,0.998920152883781,0.2803030303030303,0.5873015873015873,63,0.8409090909090909,44
2,sem_truth,ok,,132,132,0.08916255841710113,0.043497531273398254,0.99726275726666,0.2803030303030303,0.5873015873015873,63,0.9024390243902439,41
3,sem_truth,ok,,132,132,0.06408057136940579,0.03839144222892379,0.9986468784382986,0.2803030303030303,0.5967741935483871,62,0.925,40
4,sem_truth,ok,,132,132,0.0979199864175287,0.039126707979296474,0.997281129791157,0.2803030303030303,0.6065573770491803,61,0.8809523809523809,42
5,sem_truth,ok,,132,132,0.05739848518935582,0.032093598455993175,0.9988933044167772,0.2803030303030303,0.6727272727272727,55,0.9024390243902439,41
