fold,target_mode,status,reason,num_pairs_total,num_pairs_valid,mean_abs_delta,median_abs_delta,corr_aligned_vs_sem,same_sign_rate,same_sign_rate_strong_effect,num_pairs_strong_effect,same_sign_rate_sem_effect_present,num_pairs_sem_effect_present
1,observable_state,ok,,30,30,0.6168094097230136,0.03298808713134506,0.6123997528084125,0.26666666666666666,0.5333333333333333,15,0.7272727272727273,11
2,observable_state,ok,,30,30,0.40323455650140155,0.0527431413024092,0.7492713585672515,0.26666666666666666,0.4444444444444444,18,0.8888888888888888,9
3,observable_state,ok,,30,30,0.6887667257819298,0.03365134403223692,0.07234797531415466,0.23333333333333334,0.5384615384615384,13,0.875,8
4,observable_state,ok,,30,30,0.3325232465921131,0.022171098730223666,0.7639419916472808,0.26666666666666666,0.7272727272727273,11,1.0,8
5,observable_state,ok,,30,30,0.19466946099272883,0.046517585453884645,0.7772392104623573,0.23333333333333334,0.4117647058823529,17,0.875,8
