,missing_edges,extra_edges,correct_edges,orientation_errors,partial_orientations,correct_orientations,shd_strict,shd_partial,shd_edges_only,edge_precision,edge_recall,edge_f1,endpoint_precision,endpoint_recall,endpoint_f1,orientation_accuracy,interventional_agreement
1,3.0,1.0,12.0,3.0,4.0,5.0,11.0,7.0,4.0,0.9230769230769231,0.8,0.8571428571428571,0.6538461538461539,0.5666666666666667,0.6071428571428571,1.0,1.0
2,1.0,3.0,12.0,3.0,4.0,5.0,11.0,7.0,4.0,0.8,0.9230769230769231,0.8571428571428571,0.5666666666666667,0.6538461538461539,0.6071428571428571,0.75,0.75
3,2.0,3.0,12.0,2.0,6.0,4.0,13.0,7.0,5.0,0.8,0.8571428571428571,0.8275862068965518,0.5333333333333333,0.5714285714285714,0.5517241379310344,0.5,0.6666666666666666
4,1.0,2.0,14.0,3.0,5.0,6.0,11.0,6.0,3.0,0.875,0.9333333333333333,0.9032258064516129,0.625,0.6666666666666666,0.6451612903225806,0.75,0.75
5,1.0,1.0,14.0,2.0,4.0,8.0,8.0,4.0,2.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.8333333333333334
mean,1.6,2.0,12.8,2.6,4.6,5.6,10.8,6.2,3.6,0.8662820512820513,0.8893772893772894,0.8756862121934426,0.6224358974358974,0.6383882783882784,0.6289008951745325,0.7666666666666667,0.8
std,0.8944271909999159,1.0,1.0954451150103324,0.5477225575051661,0.8944271909999159,1.51657508881031,1.7888543819998317,1.3038404810405297,1.140175425099138,0.06438974134339692,0.0592184333420109,0.04208010922706521,0.07800784279254627,0.07014408128967375,0.06721906516524892,0.18066236157232332,0.12638125740085918
