epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,epoch_seconds,cumulative_updates,batches_per_epoch,effective_epochs,effective_updates
1,0.8452520966529846,0.7277203798294067,0.731214599609375,0.6804726155598958,0.1517059328819642,0.2606460590684446,0.001,18.150435041999998,16,16,40,640
2,0.6248835921287537,0.4934307336807251,0.6260598958333333,0.5557360432942708,0.37281933996528693,0.4987178606935423,0.001,0.05278991700000191,32,16,40,640
3,0.39527401328086853,0.302803635597229,0.49601485188802086,0.436418212890625,0.6025370663707097,0.6923856792633645,0.001,0.04894191600000042,48,16,40,640
4,0.26646482944488525,0.23989222943782806,0.41012626139322916,0.3902106119791667,0.7327918707359108,0.7562123352426894,0.001,0.050115209000001215,64,16,40,640
5,0.21428851783275604,0.19699627161026,0.368746826171875,0.35292732747395833,0.7851589247526243,0.7997422116103392,0.001,0.050209166999998445,80,16,40,640
6,0.18156778812408447,0.17472103238105774,0.33930731201171876,0.3310361328125,0.8182416289653158,0.822394320744822,0.001,0.05726887499999833,96,16,40,640
7,0.16604526340961456,0.16605490446090698,0.32423502604166665,0.3221802571614583,0.8338458006747909,0.8312138662201323,0.001,0.04690187499999965,112,16,40,640
8,0.16010433435440063,0.1614237129688263,0.3179730224609375,0.31748685709635416,0.8399834704434371,0.8359358014611339,0.001,0.04855904100000075,128,16,40,640
9,0.15594950318336487,0.15742811560630798,0.3138062337239583,0.31313212076822916,0.8440149330869919,0.8399995314310285,0.001,0.044970958000000394,144,16,40,640
10,0.15270990133285522,0.1540151834487915,0.31012723795572916,0.30941538492838544,0.8473678860183971,0.8434748424462664,0.00085,0.04539708299999745,160,16,40,640
11,0.15005534887313843,0.15183664858341217,0.3074578857421875,0.30716790771484376,0.8499757965567829,0.8457026507053943,0.00085,0.05155862500000197,176,16,40,640
12,0.14760276675224304,0.14933566749095917,0.3048995768229167,0.3045029093424479,0.8523337773988245,0.8482474017065177,0.00085,0.05457200000000029,192,16,40,640
13,0.14560745656490326,0.1474098116159439,0.30277274576822916,0.3025930582682292,0.854255136237204,0.8502140073902108,0.00085,0.046878542000001744,208,16,40,640
14,0.14399589598178864,0.1456299126148224,0.300826171875,0.30052766927083335,0.8560399443290285,0.8520338674991166,0.00085,0.04766183399999946,224,16,40,640
15,0.14228975772857666,0.14434775710105896,0.29904443359375,0.29927290852864585,0.8576255380510307,0.8533445830975565,0.00085,0.04465587500000012,240,16,40,640
16,0.1412164717912674,0.1427958905696869,0.2974969482421875,0.2975925699869792,0.8589369624780938,0.854924025625456,0.00085,0.050568041999998314,256,16,40,640
17,0.13953731954097748,0.14149916172027588,0.296097900390625,0.29596710205078125,0.8602659937044596,0.8562496865754342,0.00085,0.05061358300000052,272,16,40,640
18,0.13842268288135529,0.14042425155639648,0.29487548828125,0.2950059814453125,0.8613366639872979,0.8573489554229937,0.00085,0.04910250000000005,288,16,40,640
19,0.13790187239646912,0.1396908164024353,0.2938471069335937,0.2940733235677083,0.862253270364364,0.8581017422376195,0.00085,0.04625775000000232,304,16,40,640
20,0.13678321242332458,0.13880708813667297,0.29283133951822915,0.29318145751953123,0.8631336693396601,0.8589913110593403,0.0007224999999999999,0.04357949999999988,320,16,40,640
21,0.13635148108005524,0.1380627602338791,0.29222737630208334,0.29252235921223957,0.8638020659955004,0.8597656683778807,0.0007224999999999999,0.05261337499999996,336,16,40,640
22,0.13569240272045135,0.13748541474342346,0.291353271484375,0.2918533732096354,0.8645080769708154,0.8603508005954771,0.0007224999999999999,0.05029637500000206,352,16,40,640
23,0.13496148586273193,0.13694316148757935,0.2908640950520833,0.29115504964192707,0.8649805680636635,0.860900409180129,0.0007224999999999999,0.04413791700000047,368,16,40,640
24,0.13470716774463654,0.13656723499298096,0.29039251708984376,0.29078682454427085,0.8653585642227379,0.8612817120217301,0.0007224999999999999,0.04826320800000161,384,16,40,640
25,0.13386090099811554,0.13602504134178162,0.2897774251302083,0.2904005940755208,0.8659375451461871,0.8618363954110884,0.0007224999999999999,0.047576249999998765,400,16,40,640
26,0.13363485038280487,0.13551825284957886,0.28921584065755207,0.2899598388671875,0.8664734392899509,0.862354283882413,0.0007224999999999999,0.052223833999999414,416,16,40,640
27,0.13299331068992615,0.13518844544887543,0.2888707885742188,0.28929150390625,0.8667596476417888,0.8626933965960888,0.0007224999999999999,0.0490261669999974,432,16,40,640
28,0.1328270435333252,0.1347411572933197,0.28840069580078126,0.2889990234375,0.867175186536415,0.8631487750493606,0.0007224999999999999,0.04367599999999783,448,16,40,640
29,0.13236252963542938,0.13439124822616577,0.28792655436197917,0.2886854451497396,0.8676583092384105,0.8635036082884099,0.0007224999999999999,0.047837458000000055,464,16,40,640
30,0.13200800120830536,0.1339142620563507,0.2874937744140625,0.2879630330403646,0.8679772569412509,0.8639896009403378,0.000614125,0.04551583299999962,480,16,40,640
31,0.13198314607143402,0.13346314430236816,0.2872108357747396,0.28763045247395835,0.8682605873531668,0.864453868053584,0.000614125,0.04774179200000006,496,16,40,640
32,0.13145101070404053,0.13365060091018677,0.2868495279947917,0.28771382649739585,0.8685440087575973,0.8642643535544081,0.000614125,0.05677437499999982,512,16,40,640
33,0.13123396039009094,0.13324211537837982,0.28660943603515626,0.2870169677734375,0.86873343401858,0.8646771594606628,0.000614125,0.04377741700000115,528,16,40,640
34,0.13114486634731293,0.13292235136032104,0.28645361328125,0.2869156087239583,0.8689653760712797,0.8650046032242095,0.000614125,0.04497595800000198,544,16,40,640
35,0.1307741403579712,0.13305751979351044,0.2862573649088542,0.28728202311197915,0.8691229172014688,0.8648712939958951,0.000614125,0.04351133300000143,560,16,40,640
36,0.1305929571390152,0.1325695812702179,0.2859835611979167,0.28660675048828127,0.8692149192506394,0.8653678290119788,0.000614125,0.04836783300000036,576,16,40,640
37,0.1303364336490631,0.13225144147872925,0.28578220621744793,0.28626688639322917,0.869524761538583,0.8656887509796605,0.000614125,0.053668874999999616,592,16,40,640
38,0.1301300823688507,0.13239264488220215,0.2856042277018229,0.28639422607421877,0.8697534581524365,0.8655525064264245,0.000614125,0.04508020799999812,608,16,40,640
39,0.1299733966588974,0.1318652629852295,0.2854271036783854,0.28576737467447916,0.8698052630884987,0.8660811233036252,0.000614125,0.044233250000001334,624,16,40,640
40,0.1300947219133377,0.13181766867637634,0.28532904052734376,0.285830810546875,0.8699281726392779,0.8661278714537,0.00052200625,0.04658920900000041,640,16,40,640
