input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-0.81208414,-0.515541,-0.905168,-1.360307,-1.1645283,1.7576742,0.9297321,0.014285955,-0.307602,0.34334052,1.4665486,0.26471493,0.0,0.0,0.4085561,0.3384023,0.0,0.0,0.0,1.0234197,0.0,0.30112663,0.0,0.0,0.5680468,0.0,1.9815389,0.0,0.8107047,1.1403592,0.4551518,0.0,0.0,0.0,0.33831832,0.43852937,0.0,0.40509093,0.33816135,0.6174747,0.8471345,0.30117905,0.0,0.0,0.2731518,0.30879623,0.0,1.0191659,0.4531723,0.74735683,0.8291357,0.37581787,0.2480841,0.0,0.23867416,0.056856573,0.9071008,0.50535077,1.2227668,0.016701585,0.187586,0.0,0.0,0.22773705,0.086408354,0.5780451,0.06922364,0.58322686,0.54450727,0.0,1.1020215,0.0,0.99909884,0.6255653,0.0,-0.35097054,0.63314223,1.0864638
-1.4921012,0.5430668,-0.88146776,1.148482,-1.8593249,-1.5156903,0.16084996,1.0399518,1.5716997,-0.33423328,0.6404192,1.2696682,0.0,0.0,0.0,0.32914895,0.298297,0.33889225,0.0,0.0,0.0,0.0,1.1957673,0.0,0.50332874,0.50153494,0.560445,0.0,0.0,0.0,0.0,0.0,0.5314151,0.19026624,1.1580844,0.0,0.121836424,0.9515015,0.07944789,0.0,0.79767096,0.0,0.0,0.30239743,0.15265158,0.0452007,0.0032587424,0.7324127,0.9226506,0.27304196,0.3788061,0.0,0.25652748,0.31486276,0.0,0.9329452,0.12221593,0.29901183,0.31905958,0.41933125,0.35388693,0.0,0.0,0.31791654,0.7427457,0.5318121,0.0,0.0,0.044404604,0.020226926,0.0,0.13855688,0.18460993,0.28081053,1.1613326,-0.24985102,-0.7450114,-0.34122995
-1.4139563,1.2735581,0.28898525,1.6136166,0.6443453,0.4291223,-0.19662695,0.7930787,0.8135004,0.16662249,-1.3705723,0.022242561,0.72416395,0.5706029,0.5317197,1.0373648,0.10359609,0.0,0.17176908,0.0,0.0,0.0,0.3955181,0.5570403,0.45249885,0.6775997,0.39244056,0.10818553,0.0,0.0,0.0,0.0,0.521556,0.69793755,0.0,0.0,1.2471161,0.96433794,0.2720753,0.0,0.0,0.597258,0.0,0.49870193,0.31896612,0.32764387,0.0,0.94346434,0.854441,0.1363,0.7216526,0.0,0.41596428,0.7213224,0.188153,0.41811544,0.1223325,0.34062308,0.14177197,0.26794627,0.6088243,0.0,0.3424175,0.0,0.3786826,0.85699,0.0,0.1174957,0.083449185,0.1410001,0.19812874,0.39180517,0.2700142,0.59549165,1.1025,-0.21087849,-0.73135185,-0.1331072
-1.6437321,-0.41917807,0.4909929,-0.56419665,-1.6553916,-0.39667603,0.59466505,0.64609367,-0.33022147,-0.84589297,0.70337635,0.9802208,0.0,0.0,0.0,0.3949253,0.0,0.0,0.0,0.39578167,0.5258602,0.0,0.0,0.0,0.34406537,0.0,1.5069212,0.0,0.0,0.43128285,0.0,0.0,0.08350542,0.0,0.27493212,0.0,0.0,0.030127436,0.0,0.0,1.2132518,0.0,0.0,0.22097483,0.07626425,0.0,0.0,0.27754828,0.3232726,0.5545025,0.020195775,0.19737887,0.21158023,0.0,0.20629653,0.052769884,0.6664175,0.550844,0.68898803,0.67341053,0.4307424,0.05433962,0.0,0.31473148,0.42192277,0.41104242,0.0,0.065835595,0.37557042,0.0,0.5704847,0.0,0.38445646,0.235845,0.19877094,-0.50190914,0.36185408,-0.012999097
-1.7083459,-1.9018464,0.09316348,1.6679788,0.8288801,-1.7222159,-0.5646272,-0.49308994,0.4668443,-1.38343,0.29371867,0.0,0.0,0.0,0.0,0.0,0.6002476,1.0903366,0.27692613,0.9733785,1.3855368,0.0,0.48324373,0.51689774,0.33096856,1.0455635,0.0,0.25203326,0.0,0.0,0.0,0.34102273,0.77640593,0.21163219,0.7329986,0.0,0.78996617,0.25944567,0.22555459,0.0,0.0,0.33159405,0.0,0.6264558,0.5629266,0.27415538,0.0,0.38768846,0.949084,0.1385217,0.16382763,0.0,0.44963506,0.26171187,0.76454204,0.6464491,0.33088964,0.5393617,0.0,0.32709306,0.084769286,0.1551401,0.0,0.20233579,0.9381728,0.78222936,0.0,0.0,0.25925967,0.0,0.09926151,0.56211394,0.0,0.40882027,1.1767213,-0.13616559,-0.73673004,-0.6102735
0.48350462,0.26036716,1.3119546,-1.0422648,-0.52531135,1.2733604,-0.6192047,-0.6095211,-0.74570054,1.1235671,-1.3136506,0.12304206,0.8119418,0.04115632,0.122874916,0.7560089,0.0,0.0961158,0.0,0.0,0.0,0.0,0.0,0.13107331,0.017918944,0.0,0.88606703,0.0,0.0,1.2378948,0.0,0.1718833,0.0,0.82055753,0.0,1.384768,0.0,0.0,0.0,0.5408126,0.0,0.839898,0.0,0.6112297,0.6657811,0.8217329,0.0,0.636784,0.24476835,0.0,0.4474804,0.2411798,0.28502163,0.36335728,0.23039356,0.0,0.4329058,0.72321904,0.8394028,0.32494006,0.0,0.37655106,0.66101545,0.7699062,0.0,0.29222846,0.0,0.11504276,0.4884277,0.5249056,0.84807706,0.027784705,0.9243432,0.10790756,0.0,0.47213122,0.69491947,0.23776874
-0.5052201,0.223245,0.3163958,1.6257379,0.2478432,-0.32679227,1.5488293,1.1912584,-0.13993174,-0.7256015,0.4371695,0.4516643,0.0,0.3449899,0.0,0.0,0.15929933,0.0,0.0,0.75922287,0.1986713,0.0,0.5940279,0.46265966,0.6990173,0.30405438,0.7023667,0.0916042,0.0,0.0,0.15105617,0.0,0.11216695,0.0,0.29788002,0.0,0.7038477,0.084411815,1.0597743,0.0,0.12388033,0.29865348,0.0,0.20689699,0.0,0.0,0.0,0.55558413,0.7900982,0.23711775,0.49725226,0.0,0.19167848,0.21272403,0.18022138,0.23457126,0.4134309,0.05791309,0.23177359,0.22992304,0.5504833,0.0,0.0,0.0,0.7458635,0.85058427,0.0,0.060602173,0.06475066,0.0,0.45822942,0.2673285,0.22709525,0.62398577,0.7312879,-0.6261009,-0.5515646,0.0026951265
0.69366014,0.37218568,2.1295831,0.3173716,0.2101212,-0.92756647,-0.99050504,-0.8261689,1.5037079,-0.41714594,-1.4841483,0.019252822,0.10764274,0.8803086,0.0,0.7862594,1.4981654,0.89028025,0.105722874,0.0,0.50209284,0.0,0.080060005,0.42665815,0.50669754,0.11775984,0.0,0.0,0.0,0.0,0.0,0.51740825,1.1471062,1.1765116,0.0,0.842067,1.0452013,0.0,0.0,0.0,0.0,0.46815848,0.0,1.3034172,0.6144685,0.8631307,0.0,0.73057467,0.9530752,0.0,0.52896976,0.0,0.7355976,0.8967932,0.4127689,0.8770836,0.0,0.31499127,0.29069957,0.6698976,0.23302676,0.23358676,0.558707,0.59602374,0.25621676,0.88960713,0.0,0.0,0.60230964,0.5145726,0.34204203,0.3281042,0.12655255,0.15737651,0.97863114,0.42129812,-0.54011863,-0.74404424
0.586003,-1.5239913,-0.72038805,-0.8653127,-0.10337604,-0.7923497,0.2989308,0.032386553,-1.2989951,-0.025853537,0.3520686,0.7886076,0.0,0.0,0.0,0.0,0.0,0.870303,0.0,0.52078766,0.052776113,0.0,0.0,0.0,0.0,0.25509125,0.0,0.0,0.0,1.2877477,0.5438684,1.1319209,0.0,0.0,0.37618908,0.27796343,0.0,0.0,0.3068224,0.88573945,0.6301453,0.0,1.1080623,0.15421954,0.24473283,0.19953364,0.0,0.18078065,0.19114168,0.11742562,0.19436896,0.172388,0.6380594,0.39774427,0.38723165,0.22797741,0.35071176,0.8778114,0.8065249,0.47841814,0.037160844,0.5636706,0.0,1.0955706,0.10393374,0.0,0.29523563,0.0,0.766548,0.31930858,0.24129172,0.0,0.5987786,0.18528211,0.04600305,0.13861138,0.7579912,-0.39428812
0.22746284,1.9440275,0.55974454,0.36607963,-0.23832963,0.009592532,-0.16729285,1.5329682,-1.0657138,-0.79504716,-0.3316544,0.5034215,0.8848468,0.0,0.0,0.98025393,0.0,0.075501084,0.0,0.0,0.0,0.0,0.0,0.0,0.24488486,0.0,0.91320264,0.21009201,0.0,0.19232927,0.20040281,0.0,0.10427888,0.83636653,0.0,0.44481394,0.03281339,0.0,0.046219178,0.0,0.51594293,0.3734566,0.0,0.44995826,0.3468084,0.39861953,0.0,0.44885248,0.26475513,0.073588505,0.064373575,0.0,0.26522163,0.419684,0.24942267,0.0,0.42636716,0.5268901,0.60010296,0.48413688,0.22927886,0.2441339,0.4932896,0.46424454,0.038844664,0.29223505,0.0,0.0,0.18869117,0.2909062,0.55138284,0.035022438,0.5579626,0.06554732,0.10533131,0.076970205,0.39925298,-0.09159347
