fold,target_mode,treatment,outcome,low_value,high_value,ate_aligned_dowhy,ate_sem_do,delta_aligned_minus_sem,abs_delta,sem_ks_stat,sem_ks_p,sem_effect_by_ate,sem_effect_by_ks,sem_effect_present,dowhy_error
1,sem_truth,sem_0,sem_1,-0.837487341936272,0.81794119568679,-1.2220293393774249,-1.1643820431393435,-0.0576472962380814,0.0576472962380814,0.4455,5.622457322528632e-179,True,True,True,
1,sem_truth,sem_0,sem_2,-0.837487341936272,0.81794119568679,0.0,0.015876834589760407,-0.015876834589760407,0.015876834589760407,0.023,0.6655293215356356,False,False,False,
1,sem_truth,sem_0,sem_3,-0.837487341936272,0.81794119568679,3.1636832780795174,3.1000957283389,0.06358754974061753,0.06358754974061753,0.8795,0.0,True,True,True,
1,sem_truth,sem_0,sem_4,-0.837487341936272,0.81794119568679,0.3048153279995874,0.4895819603454924,-0.184766632345905,0.184766632345905,0.128,1.0827746357850127e-14,True,True,True,
1,sem_truth,sem_0,sem_5,-0.837487341936272,0.81794119568679,-4.4860220695764825,-4.160089446795443,-0.32593262278103996,0.32593262278103996,0.7815,0.0,True,True,True,
1,sem_truth,sem_1,sem_0,-1.0168868411599736,1.0092073402251933,0.0,-0.011071203219480217,0.011071203219480217,0.011071203219480217,0.025,0.5596752163759332,False,False,False,
1,sem_truth,sem_1,sem_2,-1.0168868411599736,1.0092073402251933,0.0,-0.0012641956951026326,0.0012641956951026326,0.0012641956951026326,0.0225,0.6921279615281888,False,False,False,
1,sem_truth,sem_1,sem_3,-1.0168868411599736,1.0092073402251933,0.0,-0.017620374608753063,0.017620374608753063,0.017620374608753063,0.018,0.9023552779223781,False,False,False,
1,sem_truth,sem_1,sem_4,-1.0168868411599736,1.0092073402251933,0.0,-0.014089039647632959,0.014089039647632959,0.014089039647632959,0.0275,0.43609338214006377,False,False,False,
1,sem_truth,sem_1,sem_5,-1.0168868411599736,1.0092073402251933,3.723795716533952,1.6667473318482635,2.0570483846856886,2.0570483846856886,0.268,1.4539931697767976e-63,True,True,True,
1,sem_truth,sem_2,sem_0,-0.8148581423653368,0.8891677682857115,0.0,0.01995229181948094,-0.01995229181948094,0.01995229181948094,0.0325,0.24148215150724364,False,False,False,
1,sem_truth,sem_2,sem_1,-0.8148581423653368,0.8891677682857115,0.0,0.0014301385388713899,-0.0014301385388713899,0.0014301385388713899,0.0195,0.8416360266077476,False,False,False,
1,sem_truth,sem_2,sem_3,-0.8148581423653368,0.8891677682857115,0.0,0.04358870767466065,-0.04358870767466065,0.04358870767466065,0.0205,0.7948265413398378,False,False,False,
1,sem_truth,sem_2,sem_4,-0.8148581423653368,0.8891677682857115,1.524749468662602,1.8092921600140475,-0.2845426913514455,0.2845426913514455,0.519,3.7418361064025935e-246,True,True,True,
1,sem_truth,sem_2,sem_5,-0.8148581423653368,0.8891677682857115,0.0,-0.08019338293813781,0.08019338293813781,0.08019338293813781,0.041,0.06932182520405727,True,False,False,
1,sem_truth,sem_3,sem_0,-1.598925648508247,1.5228345454835261,0.0,0.02156664434348681,-0.02156664434348681,0.02156664434348681,0.025,0.5596752163759332,False,False,False,
1,sem_truth,sem_3,sem_1,-1.598925648508247,1.5228345454835261,0.0,-0.0867425104326208,0.0867425104326208,0.0867425104326208,0.052,0.008951455390244015,True,True,True,
1,sem_truth,sem_3,sem_2,-1.598925648508247,1.5228345454835261,0.0,0.010631143704790087,-0.010631143704790087,0.010631143704790087,0.022,0.7185142568618185,False,False,False,
1,sem_truth,sem_3,sem_4,-1.598925648508247,1.5228345454835261,1.5225592087164745,-2.3336663286525328,3.8562255373690073,3.8562255373690073,0.4115,6.318090227254159e-152,True,True,True,
1,sem_truth,sem_3,sem_5,-1.598925648508247,1.5228345454835261,-6.239190304989421,-3.366570308538008,-2.872619996451413,2.872619996451413,0.767,0.0,True,True,True,
1,sem_truth,sem_4,sem_0,-0.9556449323210207,0.9827996688029774,0.0,0.04058986669133886,-0.04058986669133886,0.04058986669133886,0.0255,0.5339072834011876,False,False,False,
1,sem_truth,sem_4,sem_1,-0.9556449323210207,0.9827996688029774,0.0,-0.07987231015559537,0.07987231015559537,0.07987231015559537,0.0435,0.04542866662680684,True,True,True,
1,sem_truth,sem_4,sem_2,-0.9556449323210207,0.9827996688029774,0.0,-0.0028213513182511404,0.0028213513182511404,0.0028213513182511404,0.021,0.770029236885313,False,False,False,
1,sem_truth,sem_4,sem_3,-0.9556449323210207,0.9827996688029774,0.0,0.09057230357443685,-0.09057230357443685,0.09057230357443685,0.0345,0.18488568296007316,True,False,False,
1,sem_truth,sem_4,sem_5,-0.9556449323210207,0.9827996688029774,0.0,-0.18156722760745284,0.18156722760745284,0.18156722760745284,0.0395,0.08825990831879754,True,False,False,
1,sem_truth,sem_5,sem_0,-2.307493550156563,2.1310405461151762,0.0,0.025386307571351262,-0.025386307571351262,0.025386307571351262,0.0385,0.10315937616578036,False,False,False,
1,sem_truth,sem_5,sem_1,-2.307493550156563,2.1310405461151762,0.0,-0.06383084170130368,0.06383084170130368,0.06383084170130368,0.045,0.034832213611083934,True,True,True,
1,sem_truth,sem_5,sem_2,-2.307493550156563,2.1310405461151762,0.0,0.0015409305075131663,-0.0015409305075131663,0.0015409305075131663,0.021,0.770029236885313,False,False,False,
1,sem_truth,sem_5,sem_3,-2.307493550156563,2.1310405461151762,0.0,0.050498913197822924,-0.050498913197822924,0.050498913197822924,0.0375,0.12008880119724025,True,False,False,
1,sem_truth,sem_5,sem_4,-2.307493550156563,2.1310405461151762,0.0,0.011562931267491035,-0.011562931267491035,0.011562931267491035,0.0245,0.5858212770267918,False,False,False,
2,sem_truth,sem_0,sem_1,-0.8675314881243397,0.8902345616097124,-1.276965063339217,-1.2173213290853842,-0.05964373425383296,0.05964373425383296,0.457,1.0917971591698571e-188,True,True,True,
2,sem_truth,sem_0,sem_2,-0.8675314881243397,0.8902345616097124,0.0,0.04186336064615011,-0.04186336064615011,0.04186336064615011,0.031,0.291764846534962,False,False,False,
2,sem_truth,sem_0,sem_3,-0.8675314881243397,0.8902345616097124,3.4717741887580154,3.4030034216531444,0.06877076710487096,0.06877076710487096,0.9105,0.0,True,True,True,
2,sem_truth,sem_0,sem_4,-0.8675314881243397,0.8902345616097124,0.25146864067824387,0.5541755319302311,-0.3027068912519872,0.3027068912519872,0.1405,1.265708207743793e-17,True,True,True,
2,sem_truth,sem_0,sem_5,-0.8675314881243397,0.8902345616097124,-4.441824877887292,-4.5885660766992915,0.14674119881199932,0.14674119881199932,0.8325,0.0,True,True,True,
2,sem_truth,sem_1,sem_0,-1.0371883987931227,1.042636306639472,0.0,0.04551071042449654,-0.04551071042449654,0.04551071042449654,0.025,0.5596752163759332,False,False,False,
2,sem_truth,sem_1,sem_2,-1.0371883987931227,1.042636306639472,0.0,0.015158751324977848,-0.015158751324977848,0.015158751324977848,0.018,0.9023552779223781,False,False,False,
2,sem_truth,sem_1,sem_3,-1.0371883987931227,1.042636306639472,0.0,0.07079666245128072,-0.07079666245128072,0.07079666245128072,0.029,0.36968362182350656,True,False,False,
2,sem_truth,sem_1,sem_4,-1.0371883987931227,1.042636306639472,0.0,0.009797413902979526,-0.009797413902979526,0.009797413902979526,0.023,0.6655293215356356,False,False,False,
2,sem_truth,sem_1,sem_5,-1.0371883987931227,1.042636306639472,1.4914567987464884,1.594578738587931,-0.10312193984144269,0.10312193984144269,0.2695,2.78496894031553e-64,True,True,True,
2,sem_truth,sem_2,sem_0,-0.8056432476637019,0.8293031764076307,0.0,-0.03443288924964709,0.03443288924964709,0.03443288924964709,0.031,0.291764846534962,False,False,False,
2,sem_truth,sem_2,sem_1,-0.8056432476637019,0.8293031764076307,0.0,0.053463466886757294,-0.053463466886757294,0.053463466886757294,0.0295,0.349039700813195,True,False,False,
2,sem_truth,sem_2,sem_3,-0.8056432476637019,0.8293031764076307,0.0,-0.007669396599559475,0.007669396599559475,0.007669396599559475,0.021,0.770029236885313,False,False,False,
2,sem_truth,sem_2,sem_4,-0.8056432476637019,0.8293031764076307,2.221853318207068,1.644633968480346,0.5772193497267222,0.5772193497267222,0.4715,2.3910944626959886e-201,True,True,True,
2,sem_truth,sem_2,sem_5,-0.8056432476637019,0.8293031764076307,0.0,0.03686092689846596,-0.03686092689846596,0.03686092689846596,0.015,0.9780895655250116,False,False,False,
2,sem_truth,sem_3,sem_0,-1.4425696372314105,1.6197593693855252,0.0,-0.052022815718061104,0.052022815718061104,0.052022815718061104,0.035,0.1724962716243393,True,False,False,
2,sem_truth,sem_3,sem_1,-1.4425696372314105,1.6197593693855252,0.0,0.09061250604865306,-0.09061250604865306,0.09061250604865306,0.0375,0.12008880119724025,True,False,False,
2,sem_truth,sem_3,sem_2,-1.4425696372314105,1.6197593693855252,0.0,0.028893582741241507,-0.028893582741241507,0.028893582741241507,0.0235,0.6388604192561329,False,False,False,
2,sem_truth,sem_3,sem_4,-1.4425696372314105,1.6197593693855252,-4.796316695942451,-2.4194772531206334,-2.376839442821818,2.376839442821818,0.4055,2.0938811682323897e-147,True,True,True,
2,sem_truth,sem_3,sem_5,-1.4425696372314105,1.6197593693855252,-2.6674750861345666,-3.116582301860765,0.4491072157261984,0.4491072157261984,0.7175,0.0,True,True,True,
2,sem_truth,sem_4,sem_0,-0.9507343599026213,0.9316940761199768,0.0,-0.05689630304264191,0.05689630304264191,0.05689630304264191,0.03,0.329168071759936,True,False,False,
2,sem_truth,sem_4,sem_1,-0.9507343599026213,0.9316940761199768,0.0,0.07393979703155105,-0.07393979703155105,0.07393979703155105,0.039,0.0954673206906231,True,False,False,
2,sem_truth,sem_4,sem_2,-0.9507343599026213,0.9316940761199768,0.0,-0.028614777797497548,0.028614777797497548,0.028614777797497548,0.0315,0.274233348575873,False,False,False,
2,sem_truth,sem_4,sem_3,-0.9507343599026213,0.9316940761199768,0.0,-0.14143465738937966,0.14143465738937966,0.14143465738937966,0.043,0.04953464037142928,True,True,True,
2,sem_truth,sem_4,sem_5,-0.9507343599026213,0.9316940761199768,0.0,0.20241293426368234,-0.20241293426368234,0.20241293426368234,0.039,0.0954673206906231,True,False,False,
2,sem_truth,sem_5,sem_0,-2.436537416353734,2.118763155531766,0.0,0.04135475755981849,-0.04135475755981849,0.04135475755981849,0.0235,0.6388604192561329,False,False,False,
2,sem_truth,sem_5,sem_1,-2.436537416353734,2.118763155531766,0.0,-0.026484600734470225,0.026484600734470225,0.026484600734470225,0.0285,0.3910873897562125,False,False,False,
2,sem_truth,sem_5,sem_2,-2.436537416353734,2.118763155531766,0.0,-0.03296559413192565,0.03296559413192565,0.03296559413192565,0.03,0.329168071759936,False,False,False,
2,sem_truth,sem_5,sem_3,-2.436537416353734,2.118763155531766,0.0,0.10677041228282513,-0.10677041228282513,0.10677041228282513,0.0355,0.1607718238327084,True,False,False,
2,sem_truth,sem_5,sem_4,-2.436537416353734,2.118763155531766,0.0,-0.0748732095623259,0.0748732095623259,0.0748732095623259,0.036,0.149691055593586,True,False,False,
3,sem_truth,sem_0,sem_1,-0.9071407953470824,0.8182636270476573,-1.275399389233102,-1.212936841970209,-0.06246254726289302,0.06246254726289302,0.4565,2.9268600936715395e-188,True,True,True,
3,sem_truth,sem_0,sem_2,-0.9071407953470824,0.8182636270476573,0.0,-0.001986765453543017,0.001986765453543017,0.001986765453543017,0.0185,0.8835917582147937,False,False,False,
3,sem_truth,sem_0,sem_3,-0.9071407953470824,0.8182636270476573,3.51230967316068,3.280939310689086,0.23137036247159415,0.23137036247159415,0.915,0.0,True,True,True,
3,sem_truth,sem_0,sem_4,-0.9071407953470824,0.8182636270476573,0.4677741558223696,0.4642315216806061,0.003542634141763479,0.003542634141763479,0.125,4.9794438309177274e-14,True,True,True,
3,sem_truth,sem_0,sem_5,-0.9071407953470824,0.8182636270476573,-5.033338807111591,-4.415907334117481,-0.6174314729941104,0.6174314729941104,0.825,0.0,True,True,True,
3,sem_truth,sem_1,sem_0,-1.0447095892326377,1.0273548455821888,0.0,0.018119808056779662,-0.018119808056779662,0.018119808056779662,0.0175,0.9194667579636621,False,False,False,
3,sem_truth,sem_1,sem_2,-1.0447095892326377,1.0273548455821888,0.0,0.03315824812483629,-0.03315824812483629,0.03315824812483629,0.0215,0.7445353818345306,False,False,False,
3,sem_truth,sem_1,sem_3,-1.0447095892326377,1.0273548455821888,0.0,-0.0032275842276791563,0.0032275842276791563,0.0032275842276791563,0.026,0.5085995252205004,False,False,False,
3,sem_truth,sem_1,sem_4,-1.0447095892326377,1.0273548455821888,0.0,0.0507856184306147,-0.0507856184306147,0.0507856184306147,0.024,0.6122516588087653,True,False,False,
3,sem_truth,sem_1,sem_5,-1.0447095892326377,1.0273548455821888,2.028880179072746,1.7152559715988343,0.31362420747391173,0.31362420747391173,0.277,6.20630182012101e-68,True,True,True,
3,sem_truth,sem_2,sem_0,-0.806636417845214,0.863369002381526,0.0,-0.028424340064610868,0.028424340064610868,0.028424340064610868,0.0265,0.48382276598146434,False,False,False,
3,sem_truth,sem_2,sem_1,-0.806636417845214,0.863369002381526,0.0,0.002947952581683679,-0.002947952581683679,0.002947952581683679,0.0155,0.9699601425241099,False,False,False,
3,sem_truth,sem_2,sem_3,-0.806636417845214,0.863369002381526,0.0,-0.06431499948295707,0.06431499948295707,0.06431499948295707,0.0355,0.1607718238327084,True,False,False,
3,sem_truth,sem_2,sem_4,-0.806636417845214,0.863369002381526,1.6395406684578462,1.7338450383260828,-0.09430436986823665,0.09430436986823665,0.4905,1.197344284926363e-218,True,True,True,
3,sem_truth,sem_2,sem_5,-0.806636417845214,0.863369002381526,0.0,0.07577659382916352,-0.07577659382916352,0.07577659382916352,0.0375,0.12008880119724025,True,False,False,
3,sem_truth,sem_3,sem_0,-1.873421552269185,1.4608029461684133,0.0,0.01600957401069192,-0.01600957401069192,0.01600957401069192,0.0285,0.3910873897562125,False,False,False,
3,sem_truth,sem_3,sem_1,-1.873421552269185,1.4608029461684133,0.0,-0.037317819451594465,0.037317819451594465,0.037317819451594465,0.018,0.9023552779223781,False,False,False,
3,sem_truth,sem_3,sem_2,-1.873421552269185,1.4608029461684133,0.0,0.05489305636585533,-0.05489305636585533,0.05489305636585533,0.037,0.1293721790169698,True,False,False,
3,sem_truth,sem_3,sem_4,-1.873421552269185,1.4608029461684133,-6.914723845788322,-2.456470505389344,-4.458253340398978,4.458253340398978,0.4245,5.593265366651717e-162,True,True,True,
3,sem_truth,sem_3,sem_5,-1.873421552269185,1.4608029461684133,-1.558477947357436,-3.518212324516637,1.9597343771592008,1.9597343771592008,0.787,0.0,True,True,True,
3,sem_truth,sem_4,sem_0,-1.5912206522851413,1.6509126229272821,0.0,-0.007580194193933198,0.007580194193933198,0.007580194193933198,0.022,0.7185142568618185,False,False,False,
3,sem_truth,sem_4,sem_1,-1.5912206522851413,1.6509126229272821,0.0,0.0226066819343247,-0.0226066819343247,0.0226066819343247,0.0295,0.349039700813195,False,False,False,
3,sem_truth,sem_4,sem_2,-1.5912206522851413,1.6509126229272821,0.0,-0.005340852062218161,0.005340852062218161,0.005340852062218161,0.032,0.2574754523872385,False,False,False,
3,sem_truth,sem_4,sem_3,-1.5912206522851413,1.6509126229272821,0.0,-0.02500581844544128,0.02500581844544128,0.02500581844544128,0.029,0.36968362182350656,False,False,False,
3,sem_truth,sem_4,sem_5,-1.5912206522851413,1.6509126229272821,0.0,0.05425376370086191,-0.05425376370086191,0.05425376370086191,0.0215,0.7445353818345306,True,False,False,
3,sem_truth,sem_5,sem_0,-2.094335246321622,2.6016221900104766,0.0,0.0054665259140457174,-0.0054665259140457174,0.0054665259140457174,0.0205,0.7948265413398378,False,False,False,
3,sem_truth,sem_5,sem_1,-2.094335246321622,2.6016221900104766,0.0,0.03505203551125928,-0.03505203551125928,0.03505203551125928,0.0305,0.3100757299327459,False,False,False,
3,sem_truth,sem_5,sem_2,-2.094335246321622,2.6016221900104766,0.0,0.006189090591063432,-0.006189090591063432,0.006189090591063432,0.022,0.7185142568618185,False,False,False,
3,sem_truth,sem_5,sem_3,-2.094335246321622,2.6016221900104766,0.0,0.040618239155470595,-0.040618239155470595,0.040618239155470595,0.0175,0.9194667579636621,False,False,False,
3,sem_truth,sem_5,sem_4,-2.094335246321622,2.6016221900104766,0.0,-0.034599840683300756,0.034599840683300756,0.034599840683300756,0.0205,0.7948265413398378,False,False,False,
4,sem_truth,sem_0,sem_1,-0.8078462346742015,0.8792656789755184,-1.220516485811915,-1.218515926690256,-0.0020005591216589735,0.0020005591216589735,0.457,1.0917971591698571e-188,True,True,True,
4,sem_truth,sem_0,sem_2,-0.8078462346742015,0.8792656789755184,0.0,-0.003793053084035795,0.003793053084035795,0.003793053084035795,0.0195,0.8416360266077476,False,False,False,
4,sem_truth,sem_0,sem_3,-0.8078462346742015,0.8792656789755184,2.92183188796611,3.1783822944974367,-0.25655040653132666,0.25655040653132666,0.891,0.0,True,True,True,
4,sem_truth,sem_0,sem_4,-0.8078462346742015,0.8792656789755184,0.8120128725145228,0.4820171091078343,0.3299957634066885,0.3299957634066885,0.131,2.2698876601340365e-15,True,True,True,
4,sem_truth,sem_0,sem_5,-0.8078462346742015,0.8792656789755184,-3.9255720713027498,-4.327556058997393,0.4019839876946434,0.4019839876946434,0.8085,0.0,True,True,True,
4,sem_truth,sem_1,sem_0,-1.048017545151765,1.0099091403575227,0.0,0.0014441100242452284,-0.0014441100242452284,0.0014441100242452284,0.019,0.8633028038475316,False,False,False,
4,sem_truth,sem_1,sem_2,-1.048017545151765,1.0099091403575227,0.0,-0.000291005156409156,0.000291005156409156,0.000291005156409156,0.0285,0.3910873897562125,False,False,False,
4,sem_truth,sem_1,sem_3,-1.048017545151765,1.0099091403575227,0.0,-0.02637356918493684,0.02637356918493684,0.02637356918493684,0.0155,0.9699601425241099,False,False,False,
4,sem_truth,sem_1,sem_4,-1.048017545151765,1.0099091403575227,0.0,-0.01570294092914181,0.01570294092914181,0.01570294092914181,0.018,0.9023552779223781,False,False,False,
4,sem_truth,sem_1,sem_5,-1.048017545151765,1.0099091403575227,1.501107041238138,1.65928227696879,-0.15817523573065206,0.15817523573065206,0.2695,2.78496894031553e-64,True,True,True,
4,sem_truth,sem_2,sem_0,-0.7874948020857414,0.7867963251641154,0.0,-0.009692054390999174,0.009692054390999174,0.009692054390999174,0.0255,0.5339072834011876,False,False,False,
4,sem_truth,sem_2,sem_1,-0.7874948020857414,0.7867963251641154,0.0,-0.013847575764547026,0.013847575764547026,0.013847575764547026,0.021,0.770029236885313,False,False,False,
4,sem_truth,sem_2,sem_3,-0.7874948020857414,0.7867963251641154,0.0,0.02363144487503046,-0.02363144487503046,0.02363144487503046,0.017,0.934827271267201,False,False,False,
4,sem_truth,sem_2,sem_4,-0.7874948020857414,0.7867963251641154,1.5150273142358794,1.615352954974265,-0.10032564073838546,0.10032564073838546,0.4805,1.9289750661355774e-209,True,True,True,
4,sem_truth,sem_2,sem_5,-0.7874948020857414,0.7867963251641154,0.0,-0.05032253058151327,0.05032253058151327,0.05032253058151327,0.018,0.9023552779223781,True,False,False,
4,sem_truth,sem_3,sem_0,-1.4209843307341663,1.6617770014079896,0.0,-0.03140733882899416,0.03140733882899416,0.03140733882899416,0.028,0.4132324404768168,False,False,False,
4,sem_truth,sem_3,sem_1,-1.4209843307341663,1.6617770014079896,0.0,-0.04520156865938682,0.04520156865938682,0.04520156865938682,0.0335,0.2117398173490672,False,False,False,
4,sem_truth,sem_3,sem_2,-1.4209843307341663,1.6617770014079896,0.0,0.020710752585416877,-0.020710752585416877,0.020710752585416877,0.0225,0.6921279615281888,False,False,False,
4,sem_truth,sem_3,sem_4,-1.4209843307341663,1.6617770014079896,-0.038734185305032046,-2.381131004963297,2.342396819658265,2.342396819658265,0.404,2.750020665565387e-146,True,True,True,
4,sem_truth,sem_3,sem_5,-1.4209843307341663,1.6617770014079896,-4.201011058765042,-3.267723248349389,-0.9332878104156528,0.9332878104156528,0.7505,0.0,True,True,True,
4,sem_truth,sem_4,sem_0,-0.9737835153606396,1.1487306548931882,0.0,0.03110921093747603,-0.03110921093747603,0.03110921093747603,0.0275,0.43609338214006377,False,False,False,
4,sem_truth,sem_4,sem_1,-0.9737835153606396,1.1487306548931882,0.0,-0.012391587340962417,0.012391587340962417,0.012391587340962417,0.0205,0.7948265413398378,False,False,False,
4,sem_truth,sem_4,sem_2,-0.9737835153606396,1.1487306548931882,0.0,-0.018454834696782833,0.018454834696782833,0.018454834696782833,0.019,0.8633028038475316,False,False,False,
4,sem_truth,sem_4,sem_3,-0.9737835153606396,1.1487306548931882,0.0,0.13001103389839055,-0.13001103389839055,0.13001103389839055,0.0315,0.274233348575873,True,False,False,
4,sem_truth,sem_4,sem_5,-0.9737835153606396,1.1487306548931882,0.0,-0.16316330716767188,0.16316330716767188,0.16316330716767188,0.026,0.5085995252205004,True,False,False,
4,sem_truth,sem_5,sem_0,-2.4725040093419106,2.1742372391533404,0.0,-0.014186900938862627,0.014186900938862627,0.014186900938862627,0.02,0.8187536311788122,False,False,False,
4,sem_truth,sem_5,sem_1,-2.4725040093419106,2.1742372391533404,0.0,-0.008033125594457543,0.008033125594457543,0.008033125594457543,0.0175,0.9194667579636621,False,False,False,
4,sem_truth,sem_5,sem_2,-2.4725040093419106,2.1742372391533404,0.0,0.009589580172349916,-0.009589580172349916,0.009589580172349916,0.0195,0.8416360266077476,False,False,False,
4,sem_truth,sem_5,sem_3,-2.4725040093419106,2.1742372391533404,0.0,-0.044825758336111785,0.044825758336111785,0.044825758336111785,0.0195,0.8416360266077476,False,False,False,
4,sem_truth,sem_5,sem_4,-2.4725040093419106,2.1742372391533404,0.0,0.005430759907767727,-0.005430759907767727,0.005430759907767727,0.023,0.6655293215356356,False,False,False,
