=== [Causal Discovery] Fold 3 (3/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/alignment_results.csv
Warning: 1 constant columns detected; added tiny noise for correlation stability.
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/metadata.json
CI(0, 1 | ()) p=nan -> indep=False
CI(2, 5 | (0, 3, 4)) p=nan -> indep=False
CI(2, 5 | (1, 3, 4)) p=nan -> indep=False
CI(3, 5 | (0, 1, 2)) p=nan -> indep=False
CI(3, 5 | (0, 1, 4)) p=nan -> indep=False
CI(3, 5 | (0, 2, 4)) p=nan -> indep=False
CI(3, 5 | (1, 2, 4)) p=nan -> indep=False
CI(4, 5 | (0, 1, 2)) p=nan -> indep=False
CI(4, 5 | (0, 1, 3)) p=nan -> indep=False
CI(4, 5 | (0, 2, 3)) p=nan -> indep=False
CI(4, 5 | (1, 2, 3)) p=nan -> indep=False
CI(0, 5 | (1, 2, 3, 4)) p=nan -> indep=False
CI(1, 5 | (0, 2, 3, 4)) p=nan -> indep=False
CI(2, 5 | (0, 1, 3, 4)) p=nan -> indep=False
CI(3, 5 | (0, 1, 2, 4)) p=nan -> indep=False
CI(4, 5 | (0, 1, 2, 3)) p=nan -> indep=False
Saved adjacency matrix to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/learned_graph_adj.npy
CI(0, 1 | ()) p=0.7778 -> indep=True
CI(0, 2 | ()) p=0.8065 -> indep=True
CI(1, 2 | ()) p=0.03819 -> indep=True
CI(0, 3 | ()) p=0 -> indep=False
CI(1, 3 | ()) p=2.22e-16 -> indep=False
CI(2, 3 | ()) p=0.3154 -> indep=True
CI(0, 4 | ()) p=0 -> indep=False
CI(1, 4 | ()) p=1.867e-13 -> indep=False
CI(2, 4 | ()) p=0.2377 -> indep=True
CI(3, 4 | ()) p=0 -> indep=False
