fold,target_mode,status,reason,num_pairs_total,num_pairs_valid,mean_abs_delta,median_abs_delta,corr_aligned_vs_sem,same_sign_rate,same_sign_rate_strong_effect,num_pairs_strong_effect,same_sign_rate_sem_effect_present,num_pairs_sem_effect_present
1,observable_state,ok,,30,30,0.05714380811280353,0.05215350147808472,0.9983591051474776,0.36666666666666664,0.5238095238095238,21,1.0,11
2,observable_state,ok,,30,30,0.041221753255134344,0.03557879654162581,0.9993521784189167,0.36666666666666664,0.6875,16,1.0,11
3,observable_state,ok,,30,30,0.05487819169630053,0.045436720788028774,0.9983219953299167,0.36666666666666664,0.55,20,0.8461538461538461,13
4,observable_state,ok,,30,30,0.0487343709365453,0.04105278638074546,0.9989651301387851,0.36666666666666664,0.6470588235294118,17,0.9166666666666666,12
5,observable_state,ok,,30,30,0.04968798258471312,0.03864567557526142,0.9987747715250183,0.36666666666666664,0.7333333333333333,15,0.9166666666666666,12
