epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.9390888214111328,0.899854302406311,0.0008,16,60,960
2,0.6532105803489685,0.465664803981781,0.0008,16,60,960
3,0.35444924235343933,0.28235018253326416,0.0008,16,60,960
4,0.23195454478263855,0.1919136345386505,0.0008,16,60,960
5,0.17248378694057465,0.14847195148468018,0.0008,16,60,960
6,0.14767512679100037,0.13562986254692078,0.0008,16,60,960
7,0.13786086440086365,0.1273532509803772,0.0008,16,60,960
8,0.12816379964351654,0.1192144826054573,0.0008,16,60,960
9,0.12115630507469177,0.11269930005073547,0.0008,16,60,960
10,0.1149013489484787,0.10835830867290497,0.0008,16,60,960
11,0.11065643280744553,0.10298322141170502,0.0008,16,60,960
12,0.10549504309892654,0.10035703331232071,0.00068,16,60,960
13,0.10169579088687897,0.09602069854736328,0.00068,16,60,960
14,0.09818419814109802,0.09339433908462524,0.00068,16,60,960
15,0.09422609955072403,0.08997099101543427,0.00068,16,60,960
16,0.09050251543521881,0.08671107888221741,0.00068,16,60,960
17,0.08738928288221359,0.0839291661977768,0.00068,16,60,960
18,0.08495708554983139,0.0819539874792099,0.00068,16,60,960
19,0.08266112208366394,0.0807265192270279,0.00068,16,60,960
20,0.08097560703754425,0.07932092249393463,0.00068,16,60,960
21,0.0801873430609703,0.07920816540718079,0.00068,16,60,960
22,0.07844538241624832,0.07736766338348389,0.00068,16,60,960
23,0.07833421230316162,0.07819041609764099,0.00068,16,60,960
24,0.07657018303871155,0.07629932463169098,0.0005780000000000001,16,60,960
25,0.07602764666080475,0.07549184560775757,0.0005780000000000001,16,60,960
26,0.07569196075201035,0.0753081664443016,0.0005780000000000001,16,60,960
27,0.07487282902002335,0.07495659589767456,0.0005780000000000001,16,60,960
28,0.07467837631702423,0.07450157403945923,0.0005780000000000001,16,60,960
29,0.07433496415615082,0.075077123939991,0.0005780000000000001,16,60,960
30,0.07361054420471191,0.07437074929475784,0.0005780000000000001,16,60,960
31,0.07346352189779282,0.07396601140499115,0.0005780000000000001,16,60,960
32,0.07311518490314484,0.0739358514547348,0.0005780000000000001,16,60,960
33,0.0726451426744461,0.07336696982383728,0.0005780000000000001,16,60,960
34,0.07264646887779236,0.0731024295091629,0.0005780000000000001,16,60,960
35,0.07190501689910889,0.07444694638252258,0.0005780000000000001,16,60,960
36,0.07222510874271393,0.07394272089004517,0.0004913000000000001,16,60,960
37,0.0715649425983429,0.07404918223619461,0.0004913000000000001,16,60,960
38,0.0720277950167656,0.07262395322322845,0.0004913000000000001,16,60,960
39,0.0714312419295311,0.07242889702320099,0.0004913000000000001,16,60,960
40,0.07068008929491043,0.07198622077703476,0.0004913000000000001,16,60,960
41,0.07026325166225433,0.07219673693180084,0.0004913000000000001,16,60,960
42,0.07059401273727417,0.0719337910413742,0.0004913000000000001,16,60,960
43,0.07039369642734528,0.0720115453004837,0.0004913000000000001,16,60,960
44,0.0703371986746788,0.07156726717948914,0.0004913000000000001,16,60,960
45,0.06957487761974335,0.07157275080680847,0.0004913000000000001,16,60,960
46,0.0692552924156189,0.07115237414836884,0.0004913000000000001,16,60,960
47,0.06971869617700577,0.07123741507530212,0.0004913000000000001,16,60,960
48,0.06925538182258606,0.07129709422588348,0.00041760500000000004,16,60,960
49,0.06918954849243164,0.07072049379348755,0.00041760500000000004,16,60,960
50,0.06843923032283783,0.07134661078453064,0.00041760500000000004,16,60,960
51,0.0686829686164856,0.07123109698295593,0.00041760500000000004,16,60,960
52,0.06873449683189392,0.07065567374229431,0.00041760500000000004,16,60,960
53,0.06853628158569336,0.07091818749904633,0.00041760500000000004,16,60,960
54,0.06800585985183716,0.0703301876783371,0.00041760500000000004,16,60,960
55,0.06803266704082489,0.07086560875177383,0.00041760500000000004,16,60,960
56,0.0682465136051178,0.07045502960681915,0.00041760500000000004,16,60,960
57,0.06765110790729523,0.07007947564125061,0.00041760500000000004,16,60,960
58,0.06754499673843384,0.0704323947429657,0.00041760500000000004,16,60,960
59,0.06786683201789856,0.0703713595867157,0.00041760500000000004,16,60,960
60,0.06733035296201706,0.06988774240016937,0.00035496425,16,60,960
