,missing_edges,extra_edges,correct_edges,orientation_errors,partial_orientations,correct_orientations,shd_strict,shd_partial,shd_edges_only,edge_precision,edge_recall,edge_f1,endpoint_precision,endpoint_recall,endpoint_f1,orientation_accuracy,interventional_agreement
1,1.0,3.0,12.0,1.0,0.0,11.0,5.0,5.0,4.0,0.8,0.9230769230769231,0.8571428571428571,0.7666666666666667,0.8846153846153846,0.8214285714285715,0.5,0.3333333333333333
2,1.0,4.0,10.0,4.0,2.0,4.0,11.0,9.0,5.0,0.7142857142857143,0.9090909090909091,0.8,0.5,0.6363636363636364,0.56,0.0,0.0
3,3.0,0.0,12.0,2.0,3.0,7.0,8.0,5.0,3.0,1.0,0.8,0.888888888888889,0.7916666666666666,0.6333333333333333,0.7037037037037038,0.0,0.0
4,1.0,3.0,12.0,3.0,2.0,7.0,9.0,7.0,4.0,0.8,0.9230769230769231,0.8571428571428571,0.6333333333333333,0.7307692307692307,0.6785714285714285,0.0,0.0
5,1.0,1.0,11.0,3.0,1.0,7.0,6.0,5.0,2.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.75,0.75,0.0,0.25
mean,1.4,2.2,11.4,2.6,1.6,7.2,7.8,6.2,3.6,0.8461904761904762,0.8943822843822845,0.8639682539682539,0.6883333333333332,0.727016317016317,0.7027407407407408,0.1,0.11666666666666665
std,0.8944271909999159,1.6431676725154984,0.8944271909999159,1.140175425099138,1.140175425099138,2.4899799195977463,2.3874672772626644,1.7888543819998317,1.140175425099138,0.11212743802600966,0.05307475275370052,0.04354098742901653,0.12156388352540314,0.10292498493379755,0.09654045881745399,0.22360679774997902,0.16244657241348273
