=== [Causal Discovery] Fold 4 (4/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/metadata.json
CI(0, 6 | ()) p=3.008e-07 -> indep=False
CI(1, 6 | ()) p=0.002453 -> indep=False
CI(2, 6 | ()) p=0.435 -> indep=True
CI(3, 6 | ()) p=0.9821 -> indep=True
CI(4, 6 | ()) p=0.845 -> indep=True
CI(5, 6 | ()) p=0.4726 -> indep=True
CI(0, 7 | ()) p=0.08806 -> indep=True
CI(1, 7 | ()) p=7.72e-06 -> indep=False
CI(2, 7 | ()) p=0.3062 -> indep=True
CI(3, 7 | ()) p=0.773 -> indep=True
CI(4, 7 | ()) p=0.5689 -> indep=True
CI(5, 7 | ()) p=0.5249 -> indep=True
CI(6, 7 | ()) p=4.425e-12 -> indep=False
CI(0, 8 | ()) p=0.05076 -> indep=True
CI(1, 8 | ()) p=0.00577 -> indep=False
CI(2, 8 | ()) p=0.00281 -> indep=False
CI(3, 8 | ()) p=0.001125 -> indep=False
CI(4, 8 | ()) p=0.04633 -> indep=True
CI(5, 8 | ()) p=0.7979 -> indep=True
CI(6, 8 | ()) p=7.729e-07 -> indep=False
CI(7, 8 | ()) p=3.157e-08 -> indep=False
CI(0, 9 | ()) p=0.5323 -> indep=True
CI(1, 9 | ()) p=0.2777 -> indep=True
CI(2, 9 | ()) p=0.4081 -> indep=True
CI(3, 9 | ()) p=0.1778 -> indep=True
CI(4, 9 | ()) p=0.002681 -> indep=False
CI(5, 9 | ()) p=0.4676 -> indep=True
CI(6, 9 | ()) p=0.3774 -> indep=True
CI(7, 9 | ()) p=0.7733 -> indep=True
CI(8, 9 | ()) p=0.1052 -> indep=True
CI(0, 10 | ()) p=0.4698 -> indep=True
CI(1, 10 | ()) p=0.1126 -> indep=True
CI(2, 10 | ()) p=0.944 -> indep=True
CI(3, 10 | ()) p=0.7863 -> indep=True
CI(4, 10 | ()) p=0.5853 -> indep=True
CI(5, 10 | ()) p=0.1549 -> indep=True
CI(6, 10 | ()) p=0.3828 -> indep=True
CI(7, 10 | ()) p=0.3193 -> indep=True
CI(8, 10 | ()) p=0.2868 -> indep=True
CI(9, 10 | ()) p=0.2039 -> indep=True
CI(0, 11 | ()) p=0.04479 -> indep=True
CI(1, 11 | ()) p=0.5487 -> indep=True
CI(2, 11 | ()) p=0.4623 -> indep=True
CI(3, 11 | ()) p=0.4127 -> indep=True
CI(4, 11 | ()) p=0.7041 -> indep=True
CI(5, 11 | ()) p=0.6385 -> indep=True
CI(6, 11 | ()) p=2.694e-05 -> indep=False
CI(7, 11 | ()) p=0.01131 -> indep=True
CI(8, 11 | ()) p=0.03678 -> indep=True
CI(9, 11 | ()) p=0.9103 -> indep=True
CI(10, 11 | ()) p=6.562e-05 -> indep=False
CI(0, 12 | ()) p=0.3035 -> indep=True
CI(1, 12 | ()) p=0.534 -> indep=True
CI(2, 12 | ()) p=0.6731 -> indep=True
CI(3, 12 | ()) p=1.67e-06 -> indep=False
CI(4, 12 | ()) p=0.8745 -> indep=True
CI(5, 12 | ()) p=0.3844 -> indep=True
CI(6, 12 | ()) p=0.975 -> indep=True
CI(7, 12 | ()) p=0.7527 -> indep=True
CI(8, 12 | ()) p=5.259e-05 -> indep=False
CI(9, 12 | ()) p=0.5742 -> indep=True
CI(10, 12 | ()) p=0.2786 -> indep=True
CI(11, 12 | ()) p=0.3597 -> indep=True
CI(0, 13 | ()) p=0.532 -> indep=True
CI(1, 13 | ()) p=0.6879 -> indep=True
CI(2, 13 | ()) p=0.912 -> indep=True
CI(3, 13 | ()) p=0.638 -> indep=True
CI(4, 13 | ()) p=0.6618 -> indep=True
CI(5, 13 | ()) p=1.647e-10 -> indep=False
CI(6, 13 | ()) p=0.348 -> indep=True
CI(7, 13 | ()) p=0.2008 -> indep=True
CI(8, 13 | ()) p=0.1437 -> indep=True
CI(9, 13 | ()) p=0.4894 -> indep=True
CI(10, 13 | ()) p=0.1128 -> indep=True
CI(11, 13 | ()) p=0.8793 -> indep=True
CI(12, 13 | ()) p=0.2541 -> indep=True
CI(0, 6 | (1,)) p=2.067e-07 -> indep=False
CI(1, 6 | (0,)) p=0.0008095 -> indep=False
CI(1, 7 | (6,)) p=0.005333 -> indep=False
CI(6, 7 | (1,)) p=4.077e-08 -> indep=False
CI(1, 8 | (2,)) p=0.01366 -> indep=True
CI(2, 8 | (3,)) p=0.0001503 -> indep=False
CI(2, 8 | (6,)) p=3.423e-05 -> indep=False
CI(2, 8 | (7,)) p=0.0004374 -> indep=False
CI(3, 8 | (2,)) p=0.0004148 -> indep=False
CI(3, 8 | (6,)) p=0.0004591 -> indep=False
CI(3, 8 | (7,)) p=0.0006888 -> indep=False
CI(6, 8 | (2,)) p=1.462e-09 -> indep=False
CI(6, 8 | (3,)) p=1.158e-07 -> indep=False
CI(6, 8 | (7,)) p=0.01651 -> indep=True
CI(7, 8 | (2,)) p=2.034e-10 -> indep=False
CI(7, 8 | (3,)) p=5.237e-10 -> indep=False
CI(6, 11 | (10,)) p=7.636e-08 -> indep=False
CI(10, 11 | (6,)) p=0.0005443 -> indep=False
CI(3, 12 | (8,)) p=0.0001277 -> indep=False
CI(8, 12 | (3,)) p=0.0001795 -> indep=False
CI(7, 8 | (2, 3)) p=1.695e-10 -> indep=False
Saved metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/performance_metrics.json
Saved baseline metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/pag_vs_pag_metrics.json
Found 15 differences:
  1. Missing: 0 --- 11 (DAG: directed_ij)
  2. Missing: 1 --- 6 (DAG: directed_ij)
  3. Missing: 1 --- 7 (DAG: directed_ij)
  4. Missing: 2 --- 8 (DAG: directed_ij)
  5. Missing: 3 --- 9 (DAG: directed_ij)
  6. Missing: 3 --- 12 (DAG: directed_ij)
  7. Missing: 4 --- 10 (DAG: directed_ij)
  8. Missing: 5 --- 10 (DAG: directed_ij)
  9. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
