input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
1.6400746,-0.77688736,-0.9724662,0.19313695,0.7865916,0.11280348,-1.4574606,0.43303365,0.9523421,0.020961046,0.18780412,0.1166853,1.2198498,0.4921815,0.6143914,0.61800885,0.0,0.0,0.0,0.8714367,0.0,0.41949943,0.0,0.0,0.0,0.7344423,1.4336278,0.8728502,0.0,0.0,0.0,0.0,0.0,0.2306703,0.13512921,0.0,0.7223788,0.46898544,0.0,0.4262957,0.87161833,0.45317343,0.0,0.88933986,0.14291869,0.7780311,0.13199407,0.20489657,0.0,0.39438716,0.0,0.20322612,0.34022623,0.43172672,0.0,0.40732846,1.6255767,0.1261344,0.3201129,0.1031866,0.5481611,0.7544434,0.3562433,0.0,0.25921232,0.0,0.49633658,0.18872201,0.1525611,0.0,0.6052593,0.8623811,0.0,-0.55978185,0.45435295,-0.7272602
-0.5077328,0.5107682,0.22209638,0.60120755,0.6980809,0.47866198,2.0919092,-1.1031092,-0.61309,0.23126009,0.010963157,0.12743147,0.0,0.0,0.0,0.81057394,0.0,0.0,0.0018506646,0.0,0.19477753,0.0,0.0,1.089468,0.0,0.0,0.0,0.0,0.12243709,0.16259733,0.44626445,0.9980089,1.0391612,0.0,0.0,0.0,0.0,0.7825653,0.02674666,0.0,0.0,0.056281798,0.13487856,0.07569646,0.08902482,0.37853533,0.30724376,0.41233483,0.0,0.40456334,0.36841717,0.0,0.08692268,0.6606362,0.28319117,0.0947978,0.6286086,0.08740734,0.012075663,0.10014905,0.33939895,0.0,0.30089003,0.4331947,0.33237603,0.39893538,0.039010473,0.37800574,0.18699574,0.0,0.4719825,0.2213879,0.11764541,0.099896826,-0.16669613,-0.07952295
-1.9106963,-0.338781,-0.017999407,0.11239716,-0.62175757,1.5504469,-0.6315828,-0.35819894,0.681518,0.6031687,0.0020741671,0.0,0.0,0.23917973,0.8191093,0.0,0.72856355,0.21199875,1.7097275,0.5875555,0.5780931,0.0,0.0,0.0,0.0,0.89716846,0.0,0.0,0.0,0.0,0.0,0.596464,0.96196604,0.0,0.16936347,0.0,0.0,0.0,0.72224593,0.0,1.1290077,0.045394585,0.0,0.24419591,0.0,0.5820154,0.38029617,0.37607273,0.13447334,0.68958575,0.6417762,0.1702421,0.53812253,0.04628619,0.3244814,0.0,0.5749433,0.4370993,0.40475345,0.8672448,0.0,0.38580126,0.14220473,0.6052467,0.5790166,0.26765776,0.2718423,0.66335493,0.48741987,0.0,0.7273158,0.4163635,0.4726166,0.41119272,-0.049303517,0.10988559
1.22161,-0.71170926,1.0714858,-0.22375359,0.2825046,-1.3778874,-1.1083436,0.53776443,1.075566,0.35840082,1.4356198,0.715577,0.62631774,0.27332187,0.31999955,0.20890719,0.0,0.0,0.11591086,0.0,0.18991978,1.1359497,0.73368466,0.0,0.5381476,0.25851753,0.2547393,0.24223101,0.0,0.19734307,0.0,0.0,0.0,0.695207,0.67028594,0.0,1.1000658,0.0,0.39225686,0.5744205,0.7157208,0.14641261,0.0,0.29213417,0.107030645,0.9016185,0.0,0.1204339,0.0,0.4422269,0.07473228,0.47338715,0.0,0.0,0.35797703,0.77585995,1.1376036,0.7511028,0.3889711,0.4745574,0.47001374,0.1959451,0.35278073,0.22796094,0.105256036,0.21425958,0.30533165,0.0,0.55564547,0.0,0.78160894,0.6744672,0.27026835,-0.15038148,-0.31901202,-0.6114053
-0.30486095,-0.447695,0.3501931,1.3143487,-0.8149816,-0.47686708,-0.6258603,0.1987106,-0.593075,0.08745706,0.0,0.0,0.2784394,0.0,0.0,0.6199042,0.19732466,0.38843155,1.1616901,0.5883019,0.7921857,0.23989949,0.41906124,0.0,0.0,0.0,0.0,0.0,0.0,0.40076485,0.0,0.0,0.120471954,0.78638625,0.24221577,0.0,0.0,0.0,0.7360099,0.39002848,0.5017819,0.0,0.0,0.20975348,0.0,0.8220687,0.37536973,0.33888388,0.12016964,0.03444613,0.40940017,0.24406365,0.0,0.081783414,0.100864016,0.0,0.22611642,0.43550125,0.45462212,0.80356324,0.06176863,0.5736538,0.37014732,0.49554336,0.53241414,0.440584,0.1835748,0.7035788,0.26596415,0.0,0.09787206,0.14675626,0.5225455,0.13556494,-0.03226787,0.6502432
-0.4697128,0.24357517,1.2505621,0.13406295,-1.416686,0.5753653,0.57409906,-1.2104094,-1.9132487,0.0,0.0,0.0,0.0,0.0,0.0,0.50775003,0.0,0.66661966,1.1122586,0.0,1.1045657,0.0,1.4021472,0.36629003,0.0,0.0,0.0,0.0,0.019045085,0.91704136,0.0,0.0,1.7686052,0.0,0.0,0.0,0.0,0.3255483,0.8674968,0.04126621,0.34038466,0.0,0.21359482,0.0,0.07515701,1.1813813,0.5046092,0.5264111,0.22584827,0.32963094,0.26781464,0.0,0.15422983,0.1990418,0.8217737,0.0,0.0,0.33020577,0.6446793,1.1775664,0.0,0.28827184,0.5102466,0.9982908,0.48808524,0.56321615,0.0,0.69052845,0.3115875,0.0,0.16764055,0.0,0.9257155,0.1782288,-0.6127546,0.9883527
0.8576905,-1.4006935,1.1571978,0.7757168,0.5366189,0.46196005,0.32691264,-1.6269213,-1.5235089,0.0,0.20577605,0.77200794,0.88734716,0.0,0.0,0.86215234,0.0,0.3104943,0.7112712,0.0,0.48332205,0.5599916,1.3227367,1.0177704,0.0,0.0,0.010886863,0.0,0.367552,0.9832011,0.0,0.0,0.32221684,0.0,0.0,0.0,0.0,1.6414248,0.0,0.0,0.37054706,0.0,0.02323632,0.2802183,0.29787087,1.2259438,0.30889082,0.21437615,0.0,0.13396174,0.0,0.01918824,0.0,0.67654043,0.7327751,0.5815712,0.58718395,0.03412325,0.79432106,0.51952493,0.13018894,0.12622689,0.54767406,0.54585886,0.37471938,0.35237706,0.0,0.38288653,0.01767537,0.0,0.6905352,0.005271822,0.5322489,-0.31581026,-0.6395596,0.3091112
0.41563267,0.3711137,0.70647246,0.40446612,1.7572085,0.48010656,0.886857,-0.8368113,-1.792912,0.0,0.0,1.080749,0.25871775,0.0,0.0,1.14139,0.0,0.18866558,0.0,0.052412152,0.2554243,0.0,0.25199553,1.5395596,0.0,0.0,0.0,0.044581432,0.20850071,0.9589464,0.028405875,0.17116854,0.5131891,0.0,0.0,0.20869108,0.0,1.3837821,0.0,0.0,0.0,0.0,0.17764896,0.30257416,0.12278225,0.81045735,0.3594057,0.13959894,0.0,0.34831452,0.0,0.0,0.0,0.9801896,0.35992944,0.33916405,0.694258,0.013250578,0.33881912,0.24532908,0.29596114,0.0,0.36533567,0.43571407,0.32943708,0.39079213,0.0,0.34834892,0.12005152,0.0,0.75630784,0.0,0.15843013,-0.11342169,-0.4187968,-0.11187464
-0.53776217,-1.565881,0.22751325,-1.621028,0.029973157,-0.5344192,-0.33728734,-0.47066507,1.1890988,1.4092014,1.4649249,0.02713998,0.7998864,0.64411783,0.94771737,0.0,0.22261992,0.0,0.7362493,0.0,0.28724724,0.7932726,0.0,0.0,0.13909832,0.6438588,0.0,0.3378475,0.0,0.0,0.0,0.0,0.0,0.0,0.3839667,0.0,0.25098678,0.38381225,0.43615922,0.56149715,0.8953469,0.2955362,0.0,0.14414883,0.13611436,0.50192165,0.2904263,0.0,0.0,0.6991739,0.47212374,0.5491079,0.0,0.0,0.63338244,0.5942281,1.0431032,0.67550814,0.29226223,0.6108239,0.28783095,0.1910633,0.3101728,0.18139154,0.34073693,0.13398647,0.26477242,0.34388882,0.53855467,0.0,1.1859254,1.0225772,0.23246264,0.23632684,-0.27379018,-0.6197725
1.249152,-0.44352412,1.4014206,0.2964291,-0.44973952,-1.8026737,0.09894381,0.2221583,-0.72511625,0.06598535,0.8463412,0.7084285,0.4336639,0.0,0.0,0.9810184,0.0,0.0053189695,0.070038825,0.0,0.60580486,0.7009765,1.6657609,0.24548134,0.5722757,0.0,0.0,0.0,0.35563782,0.9519873,0.0,0.0,0.0,0.88998437,0.3224191,0.0,0.25064045,0.0,0.6473801,0.52491677,0.08290775,0.0,0.0,0.09560905,0.2242867,1.2701156,0.25513425,0.27291417,0.0,0.05652978,0.0,0.28169656,0.0,0.0,0.3909601,0.45002687,0.3952145,0.74049234,0.52351844,0.8707562,0.30582368,0.40236464,0.6819555,0.35963935,0.44498917,0.7062202,0.20941596,0.3592651,0.2554698,0.0,0.18739909,0.0,0.629304,-0.12041782,-0.3856879,0.5130086
