fold,target_mode,status,reason,num_pairs_total,num_pairs_valid,mean_abs_delta,median_abs_delta,corr_aligned_vs_sem,same_sign_rate,same_sign_rate_strong_effect,num_pairs_strong_effect,same_sign_rate_sem_effect_present,num_pairs_sem_effect_present
1,observable_state,ok,,30,30,0.33768904613779477,0.026920488575734296,0.7548429427222805,0.23333333333333334,0.4666666666666667,15,0.6363636363636364,11
2,observable_state,ok,,30,30,0.17236345450081716,0.0562696641271515,0.9522702962407525,0.26666666666666666,0.4444444444444444,18,0.8888888888888888,9
3,observable_state,ok,,30,30,0.35847313825046684,0.03149118871907754,0.5431852264131558,0.2,0.46153846153846156,13,0.75,8
4,observable_state,ok,,30,30,0.4207837040753868,0.01494492093400222,0.8685045256583187,0.26666666666666666,0.7272727272727273,11,1.0,8
5,observable_state,ok,,30,30,0.5711247966154721,0.040440297359098064,0.4081529707073683,0.23333333333333334,0.4117647058823529,17,0.875,8
