epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.9651783108711243,0.9664647579193115,0.0008,16,60,960
2,0.726482093334198,0.5051236748695374,0.0008,16,60,960
3,0.38999274373054504,0.2828654646873474,0.0008,16,60,960
4,0.2326277643442154,0.15520939230918884,0.0008,16,60,960
5,0.17309165000915527,0.13238920271396637,0.0008,16,60,960
6,0.15644674003124237,0.11691604554653168,0.0008,16,60,960
7,0.15270470082759857,0.10751442611217499,0.0008,16,60,960
8,0.14776694774627686,0.10307686030864716,0.0008,16,60,960
9,0.13661764562129974,0.09886938333511353,0.0008,16,60,960
10,0.12883436679840088,0.09243549406528473,0.0008,16,60,960
11,0.12712253630161285,0.0876731127500534,0.0008,16,60,960
12,0.12441180646419525,0.08631433546543121,0.00068,16,60,960
13,0.12091127038002014,0.08156496286392212,0.00068,16,60,960
14,0.11848856508731842,0.0831289291381836,0.00068,16,60,960
15,0.11698853224515915,0.08082619309425354,0.00068,16,60,960
16,0.11145151406526566,0.0789727047085762,0.00068,16,60,960
17,0.11251138150691986,0.07956305146217346,0.00068,16,60,960
18,0.10949715971946716,0.07702682912349701,0.00068,16,60,960
19,0.11163836717605591,0.07528111338615417,0.00068,16,60,960
20,0.10688060522079468,0.07673140615224838,0.00068,16,60,960
21,0.11043518781661987,0.07379505038261414,0.00068,16,60,960
22,0.10543134063482285,0.07638959586620331,0.00068,16,60,960
23,0.10818764567375183,0.07410389184951782,0.00068,16,60,960
24,0.10821535438299179,0.07298466563224792,0.0005780000000000001,16,60,960
25,0.10450479388237,0.07328496873378754,0.0005780000000000001,16,60,960
26,0.10582808405160904,0.07467978447675705,0.0005780000000000001,16,60,960
27,0.10479249805212021,0.07404657453298569,0.0005780000000000001,16,60,960
28,0.10254992544651031,0.07343786209821701,0.0005780000000000001,16,60,960
29,0.10173741728067398,0.07192260026931763,0.0005780000000000001,16,60,960
30,0.10463910549879074,0.07422899454832077,0.0005780000000000001,16,60,960
31,0.10568233579397202,0.07154743373394012,0.0005780000000000001,16,60,960
32,0.10105077922344208,0.07185198366641998,0.0005780000000000001,16,60,960
33,0.10381623357534409,0.07237596809864044,0.0005780000000000001,16,60,960
34,0.10202931612730026,0.0708431825041771,0.0005780000000000001,16,60,960
35,0.09552585333585739,0.07434436678886414,0.0005780000000000001,16,60,960
36,0.0999913290143013,0.07256419956684113,0.0004913000000000001,16,60,960
37,0.09972492605447769,0.07068632543087006,0.0004913000000000001,16,60,960
38,0.0976923406124115,0.07320956885814667,0.0004913000000000001,16,60,960
39,0.10346802324056625,0.07192522287368774,0.0004913000000000001,16,60,960
40,0.09716910868883133,0.07112418115139008,0.0004913000000000001,16,60,960
41,0.09924912452697754,0.07089430093765259,0.0004913000000000001,16,60,960
42,0.09550831466913223,0.07176031172275543,0.0004913000000000001,16,60,960
43,0.09687583893537521,0.07137937843799591,0.0004913000000000001,16,60,960
44,0.09689883142709732,0.07354823499917984,0.0004913000000000001,16,60,960
45,0.09847959876060486,0.07142887264490128,0.0004913000000000001,16,60,960
