,missing_edges,extra_edges,correct_edges,orientation_errors,partial_orientations,correct_orientations,shd_strict,shd_partial,shd_edges_only,edge_precision,edge_recall,edge_f1,endpoint_precision,endpoint_recall,endpoint_f1,orientation_accuracy,interventional_agreement
1,0.0,3.0,5.0,0.0,2.0,3.0,5.0,3.0,3.0,0.625,1.0,0.7692307692307693,0.5,0.8,0.6153846153846154,0.6,0.8
2,0.0,3.0,5.0,2.0,2.0,1.0,7.0,5.0,3.0,0.625,1.0,0.7692307692307693,0.375,0.6,0.4615384615384615,0.2,0.4
3,0.0,2.0,5.0,3.0,1.0,1.0,6.0,5.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.42857142857142855,0.6,0.5,0.2,0.3
4,0.0,2.0,5.0,1.0,3.0,1.0,6.0,3.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.42857142857142855,0.6,0.5,0.2,0.5
5,0.0,0.0,5.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.9
mean,0.0,2.0,5.0,1.2,1.8,2.0,5.0,3.2,2.0,0.7357142857142858,1.0,0.841025641025641,0.5264285714285715,0.7,0.5953846153846153,0.4,0.58
std,0.0,1.224744871391589,0.0,1.3038404810405297,0.8366600265340756,1.4142135623730951,2.345207879911715,2.04939015319192,1.224744871391589,0.15433778883094215,0.0,0.09447247911251556,0.21350452846127035,0.14142135623730953,0.1797927801302996,0.28284271247461906,0.2588435821108957
