=== [Causal Discovery] Fold 3 (3/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/metadata.json
CI(0, 11 | (7,)) p=0 -> indep=False
CI(6, 11 | (0,)) p=0 -> indep=False
CI(6, 11 | (7,)) p=0 -> indep=False
CI(7, 11 | (0,)) p=4.772e-05 -> indep=False
CI(7, 11 | (6,)) p=0.5834 -> indep=True
CI(3, 12 | (8,)) p=3.331e-16 -> indep=False
CI(3, 12 | (7,)) p=0 -> indep=False
CI(7, 12 | (8,)) p=0.1785 -> indep=True
CI(8, 12 | (3,)) p=0 -> indep=False
CI(5, 13 | (10,)) p=0 -> indep=False
CI(10, 13 | (5,)) p=0 -> indep=False
CI(2, 8 | (3, 7)) p=5.372e-12 -> indep=False
CI(3, 8 | (2, 7)) p=5.235e-11 -> indep=False
CI(7, 8 | (2, 3)) p=1.497e-08 -> indep=False
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/learned_graph_adj.npy
CI(0, 1 | ()) p=0.7861 -> indep=True
CI(0, 2 | ()) p=0.6269 -> indep=True
CI(1, 2 | ()) p=0.1301 -> indep=True
CI(0, 3 | ()) p=0.1109 -> indep=True
CI(1, 3 | ()) p=0.8448 -> indep=True
CI(2, 3 | ()) p=0.9396 -> indep=True
CI(0, 4 | ()) p=0.005787 -> indep=False
CI(1, 4 | ()) p=0.364 -> indep=True
CI(2, 4 | ()) p=0.8933 -> indep=True
CI(3, 4 | ()) p=0.3092 -> indep=True
CI(0, 5 | ()) p=0.05812 -> indep=True
CI(1, 5 | ()) p=0.0584 -> indep=True
CI(2, 5 | ()) p=0.5469 -> indep=True
CI(3, 5 | ()) p=0.6614 -> indep=True
CI(4, 5 | ()) p=0.8228 -> indep=True
CI(0, 6 | ()) p=1.14e-05 -> indep=False
CI(1, 6 | ()) p=1.744e-06 -> indep=False
CI(2, 6 | ()) p=0.4866 -> indep=True
CI(3, 6 | ()) p=0.7931 -> indep=True
CI(4, 6 | ()) p=0.3045 -> indep=True
CI(5, 6 | ()) p=0.2871 -> indep=True
CI(0, 7 | ()) p=0.03868 -> indep=True
CI(1, 7 | ()) p=6.507e-10 -> indep=False
CI(2, 7 | ()) p=0.05185 -> indep=True
CI(3, 7 | ()) p=0.5211 -> indep=True
CI(4, 7 | ()) p=0.2165 -> indep=True
CI(5, 7 | ()) p=0.9681 -> indep=True
CI(6, 7 | ()) p=1.367e-09 -> indep=False
CI(0, 8 | ()) p=0.8069 -> indep=True
CI(1, 8 | ()) p=0.1147 -> indep=True
CI(2, 8 | ()) p=0.8861 -> indep=True
CI(3, 8 | ()) p=0.1675 -> indep=True
CI(4, 8 | ()) p=0.3925 -> indep=True
CI(5, 8 | ()) p=0.9162 -> indep=True
CI(6, 8 | ()) p=0.2826 -> indep=True
CI(7, 8 | ()) p=0.00012 -> indep=False
CI(0, 9 | ()) p=0.771 -> indep=True
CI(1, 9 | ()) p=0.8159 -> indep=True
CI(2, 9 | ()) p=0.5469 -> indep=True
CI(3, 9 | ()) p=0.1825 -> indep=True
CI(4, 9 | ()) p=0.2897 -> indep=True
