input_0,input_1,input_2,input_3,input_4,input_5,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
0.46552444,-3.5597658,1.3092581,3.0848944,-0.53407,2.3503654,1.7439145,0.2952026,0.0,0.0,1.97547,0.98228604,2.6063676,0.3910101,0.0,0.0049322695,0.517146,0.0,1.9836478,0.71795976,0.08136855,0.26114142,0.41784346,1.2281789,1.0069245,0.0,2.1125474,0.0,0.07800698,2.1756468,0.0,0.0,2.161268,0.0,0.0,0.24889198,0.3131207,0.0,0.6912574,1.4752777,1.2217193,0.0,2.3781452,0.0,0.76926553,0.0,0.0,1.862739,0.7765938,1.5711309,0.0,1.0725336,0.6003643,2.04253,1.0868256,0.72432196,0.0,1.8615836,0.0,0.0,0.0,2.0041397,0.055679783,0.0,0.0,0.0,1.0046406,1.5472476,0.9244519,1.4052191,2.1865063,-1.3410425,-1.0394803
-0.5897348,0.6830291,-1.9054985,-0.013291497,1.1688151,0.279868,0.17037249,1.7555999,0.0,0.0,0.0,1.6050735,0.0,0.0,0.0,0.0,0.0,0.0,0.4459241,0.6149013,0.2801046,0.47917023,0.0,0.0,0.123913705,1.2596892,0.0,0.0,0.9779155,0.63888806,0.21298638,0.0,0.053112596,0.0,0.51886964,0.3460423,0.023104012,0.0,1.1050693,0.48746702,1.2378088,0.0,0.8973728,0.0,0.501381,0.0,0.0,1.0168161,0.3506177,1.3630161,0.102742836,0.9854455,0.036153153,0.82610965,0.0,0.956831,0.33831927,0.56676847,0.0,0.2348041,0.0,0.600726,0.37147358,0.0,0.2521206,0.6328007,0.84699047,1.2389256,0.9754187,0.71377915,0.31426358,-0.8344926,-0.90166557
0.30326024,0.5902024,-0.7241781,-0.10279296,-2.1791523,-0.28990242,0.0,0.2620022,0.0,0.78548455,0.44491175,0.0,0.0,0.0,0.09771314,0.63870025,0.30729228,0.0,0.0,0.0,0.7317633,1.1149279,0.68676174,0.20577095,1.4594214,0.0,0.0,1.2913004,0.0,0.9598404,0.7882585,0.3138844,0.0,0.02847065,0.5416315,0.57105416,0.0,0.66046107,1.3745443,1.4353335,0.1717825,0.0,0.28759825,0.0,0.5957449,0.0,0.0,0.05374615,0.8849895,0.68524355,0.5706618,1.3585795,0.6295324,0.2993416,1.2116904,0.61952573,1.0135853,0.17050885,0.0,0.32946947,0.0,0.26376092,0.12639438,0.0,0.0,0.35884216,0.9531651,0.17719048,0.8859442,1.1983852,-0.30457494,1.2255691,-0.23066972
0.12794867,1.3018397,0.047788218,-2.0621169,1.2221172,-2.3014126,0.92088866,0.0,0.35629445,0.48105907,0.0,0.0,0.0,0.0,0.6967398,0.0,0.0,2.2618897,0.0,0.0,0.80522245,0.18633933,0.7654393,0.0,0.0,1.432192,0.0,0.8753815,0.0,0.0,1.9505789,0.2675465,0.0,0.46284467,0.4802365,0.18541916,0.0,0.74300593,1.4110595,0.0,0.79780775,0.32659113,0.0,0.0,0.38674492,0.0,0.0,1.019633,1.9237869,0.17357223,0.9775523,0.4871866,1.1166911,0.40823144,1.3169914,0.36604384,1.3906541,0.0,0.0,0.34553266,0.0,0.078029916,0.5573272,0.0,1.0243317,1.6129806,1.1066885,0.35620588,1.1749252,1.2001954,-2.073026,0.6379114,0.7272567
-0.7837101,-0.49797833,-0.4158248,0.15681018,-0.11150894,0.7454518,0.11326468,0.75845444,0.0,0.015700664,0.082279466,0.9392827,0.0,0.0,0.0,0.03237307,0.2678095,0.0,0.42859197,0.51389426,0.21632656,0.75675774,0.0,0.45856982,0.45374304,0.0,0.073619306,0.0,0.0,0.5477809,0.0,0.0,0.23589844,0.0,0.0,0.8007349,0.35726485,0.049254656,0.7314871,0.9078334,0.37104782,0.0,0.8275986,0.0,0.35748664,0.0,0.0,0.2139886,0.18415938,0.9502817,0.0,0.81574196,0.08621026,0.46839797,0.52857655,0.65913075,0.26034233,0.43421236,0.0,0.24861446,0.0,0.5169909,0.101713985,0.0,0.0,0.0,0.5685605,0.6203718,0.4461233,0.60391396,0.6965712,0.07786969,-0.61972934
1.4647757,0.8449127,-0.7251894,-0.46792483,-1.1583872,-0.9519382,0.20966092,0.0,0.0,0.18748637,0.55988413,0.0,0.0,0.0,0.46099272,0.52558047,0.0,0.5005958,0.0,0.0,1.1012965,0.55518657,0.5128045,0.0,0.99314,0.7394698,0.0,1.3135643,0.0,0.9923191,1.1906984,0.17671356,0.0,0.2989213,1.0967687,0.0,0.0,0.700453,1.3796302,0.98333585,0.48348272,0.0,0.0,0.0,0.48619783,0.0,0.0,0.4953869,1.2207417,0.5913356,0.7962006,1.1722813,0.5747907,0.33584884,1.1629567,0.51456285,0.9231982,0.22908485,0.0,0.23485312,0.0,0.25982237,0.19701561,0.0,0.6198987,0.81285167,0.9897967,0.34644657,1.1473954,1.3134172,-0.8437728,0.8140964,-0.058728814
-2.0159028,-0.8222316,1.6964941,1.1626706,0.89798665,2.238832,0.8550259,0.8873148,1.1164817,0.1722724,0.0,1.2112238,0.008238751,1.8957626,0.0,0.37789539,0.21391636,0.0,2.4590256,0.88574564,0.0,0.0,0.27383894,0.22578107,0.0,0.0,1.4469315,0.0,0.0,0.0,0.0,0.0,0.9243445,0.3854175,0.0,0.19286935,0.8626468,0.24693063,0.0,1.2368602,0.67364156,0.0,0.85753244,0.0,1.702718,0.0,0.0,1.7025228,0.6350899,1.3941281,0.0,0.13658953,0.3122624,1.4107361,0.66433525,0.042890206,0.42797303,1.0660641,0.0,0.77673393,0.0,1.0814122,0.0,0.0,0.0,0.7476964,0.0,1.7436118,0.1891538,0.0,2.0478616,-1.2430385,0.70406896
-1.0330873,0.6686438,0.4582612,-1.3847657,0.35974166,-1.0739197,0.3773356,0.0,0.4658693,0.89623886,0.0,0.0,0.0,0.0,0.25461084,0.25949153,0.0,1.31071,0.0,0.0,0.21518648,0.57721496,0.86463815,0.0,0.0,0.36654535,0.0,0.42679298,0.0,0.0,1.2107757,0.12231326,0.0,0.23541631,0.0,0.698755,0.09496245,0.6785774,1.0769293,0.3607097,0.27602962,0.26356184,0.0,0.0,0.28304765,0.0,0.0,0.56826276,1.3061898,0.23997408,0.4953586,0.3100164,1.0343063,0.38006634,1.2581152,0.29837224,1.1870663,0.0,0.0,0.44054297,0.0,0.19150828,0.31214345,0.0,0.33935806,0.8966831,0.75005525,0.23494169,0.45344824,0.80412537,-1.0294404,0.85527146,0.7423344
0.31587213,-0.2153626,-0.455072,-0.8703721,-0.18372135,-1.2614275,0.5386569,0.0,0.0,0.0,0.29147035,0.0,0.0,0.0,0.24559954,0.0,0.0,0.62548447,0.0,0.0,1.2087052,0.7915097,0.5960495,0.0,0.45908964,0.60872394,0.0,1.013561,0.0,0.6164882,0.90185,0.20505491,0.0,0.0,0.098853424,0.778502,0.0,0.25934708,1.3750184,0.51961297,0.41662315,0.0,0.17412049,0.0,0.007306874,0.0,0.0,0.14220941,0.9968358,0.379779,0.61503434,0.8908259,0.5539774,0.11542055,1.0758536,0.5534462,0.74983025,0.0,0.0,0.0,0.0,0.20307767,0.6348813,0.0,0.18925807,0.49201047,1.0006233,0.14192042,1.0424358,1.1468552,-1.1762218,0.99442154,-0.40883553
0.12392123,1.1007942,-0.23234059,-0.6499903,-0.6745207,-0.60775,0.05721116,0.20323573,0.0,0.77165097,0.0,0.0,0.0,0.0,0.16500843,0.51989704,0.0,0.6846795,0.0,0.0,0.37666586,0.5454961,0.5888257,0.0,0.44263804,0.4543004,0.0,0.75755084,0.0,0.13033009,1.1263266,0.10003641,0.0,0.36681074,0.5109565,0.15094936,0.0,0.7771542,0.92408323,0.6837881,0.3153875,0.17993967,0.0,0.0,0.41115826,0.0,0.0,0.51372486,1.1359019,0.47784668,0.5450814,0.64577186,0.6253249,0.40436292,0.9657788,0.31610906,1.0061548,0.09629329,0.0,0.40594158,0.0,0.14571424,0.01800578,0.0,0.4097613,0.72649187,0.6585144,0.29280478,0.52930117,0.9032341,-0.5489315,0.67677784,0.46351165
