input_0,input_1,input_2,pre_1_fc1_0,pre_1_fc1_1,pre_1_fc1_2,pre_1_fc1_3,pre_1_fc1_4,pre_1_fc1_5,pre_1_fc1_6,pre_1_fc1_7,pre_1_fc1_8,pre_1_fc1_9,pre_1_fc1_10,pre_1_fc1_11,pre_1_fc1_12,pre_1_fc1_13,pre_1_fc1_14,pre_1_fc1_15,pre_1_fc1_16,pre_1_fc1_17,pre_1_fc1_18,pre_1_fc1_19,pre_1_fc1_20,pre_1_fc1_21,pre_1_fc1_22,pre_1_fc1_23,pre_1_fc1_24,pre_1_fc1_25,pre_1_fc1_26,pre_1_fc1_27,pre_1_fc1_28,pre_1_fc1_29,pre_1_fc1_30,pre_1_fc1_31,pre_2_fc2_0,pre_2_fc2_1,pre_2_fc2_2,pre_2_fc2_3,pre_2_fc2_4,pre_2_fc2_5,pre_2_fc2_6,pre_2_fc2_7,pre_2_fc2_8,pre_2_fc2_9,pre_2_fc2_10,pre_2_fc2_11,pre_2_fc2_12,pre_2_fc2_13,pre_2_fc2_14,pre_2_fc2_15,pre_2_fc2_16,pre_2_fc2_17,pre_2_fc2_18,pre_2_fc2_19,pre_2_fc2_20,pre_2_fc2_21,pre_2_fc2_22,pre_2_fc2_23,pre_2_fc2_24,pre_2_fc2_25,pre_2_fc2_26,pre_2_fc2_27,pre_2_fc2_28,pre_2_fc2_29,pre_2_fc2_30,pre_2_fc2_31,pre_3_fc3_0,pre_3_fc3_1,pre_3_fc3_2,output_0,output_1,output_2
0.7009924,-0.46678844,-0.26987407,0.073016316,0.25895146,0.25116557,0.8888761,-0.6444333,-0.7620181,-1.0103745,-0.32345232,0.6144012,0.1914634,-0.3968728,-0.14696543,0.8963511,0.4182329,-0.88106304,0.5232469,-0.17637056,0.099445984,0.37358254,0.22564508,-0.5045411,-0.27249956,0.27725807,-0.3312908,-0.23149168,-0.06695871,0.37047696,-0.13939506,0.21863443,0.31107655,0.058569893,0.32746378,0.27465177,0.6006802,-0.22288685,-0.19310203,-0.2498362,0.24613959,0.32059494,0.6385609,0.438799,-0.11032933,-0.3287562,0.26623064,0.47281522,0.12393065,0.8401815,-0.256509,0.3278275,0.14977342,0.08157593,-0.17235595,0.7094859,0.44656938,0.5699208,-0.2715347,0.5696957,-0.407917,-0.26399967,-0.05413278,-0.30670065,0.2147935,0.44539344,0.17105268,0.6008737,-0.055073768,-0.5861997,0.6008737,-0.055073768,-0.5861997
0.14435063,-0.01752095,0.9000456,0.23549524,-0.47392273,-0.24854642,0.59868,-0.120828666,-0.42782104,-0.35493702,-0.039271623,-0.0072103906,-0.24514304,-0.9364089,0.3481381,0.04429452,-0.07774908,0.08615805,0.70768386,0.011440992,-0.27016872,0.7852428,0.88990164,-0.66025484,0.33047926,0.97447795,-0.4053159,0.6669611,0.44121742,0.18308046,0.1642472,-0.56587803,0.22957274,-0.21810898,-0.15237598,-0.2948479,0.20370275,-0.11288143,-0.0784194,-0.4330592,0.6976712,0.8938609,0.6834284,0.2317661,0.41584462,-0.35005778,0.7837663,0.22618954,0.30130774,0.83038944,0.70983875,0.68846685,0.09283124,0.021828484,-0.13242494,0.20733103,0.60081106,0.37752056,-0.28064063,0.15583901,-0.68204343,-0.5391152,0.30629814,-0.28500074,0.24454513,0.032865454,0.39066267,0.064341076,0.61496556,-0.02937443,0.064341076,0.61496556,-0.02937443
-0.7047915,1.6663432,0.44066495,-0.9820601,0.1574989,0.6783141,0.18390787,0.5549015,0.39990246,1.0695102,-1.0715605,-1.2712142,-1.0096115,-0.44749415,1.041889,-1.3354863,-0.49421364,0.9354917,1.1437266,-1.0060782,-0.52361834,0.58031803,0.36893678,-0.6154629,-0.29188117,1.39014,0.861238,1.4414085,0.12605755,0.6489795,-0.32898098,-1.4251759,0.81565094,0.18690306,-0.8563445,-0.14745508,0.22258544,-0.16091193,-0.3122226,-0.5132956,1.341644,0.94102705,0.5537721,-0.28861275,0.25126386,-0.45032877,0.84224164,0.16761757,1.1296695,0.8248352,0.92966676,0.41481435,0.90477884,0.69279206,0.8927599,0.5600611,0.72510946,0.47461104,-0.1810632,-0.5914062,-0.74919224,-0.48419428,0.90902954,-0.5534272,0.6330495,-0.1878055,0.8286168,-0.6874975,0.17763636,1.0290024,-0.6874975,0.17763636,1.0290024
-0.005243674,0.15132268,0.7828679,0.05690065,-0.3974587,-0.08679223,0.5146277,-0.025013499,-0.3577255,-0.1763026,-0.15511154,-0.1657903,-0.3332216,-0.8085567,0.40996635,-0.118141785,-0.14996651,0.1798897,0.711534,-0.15839887,-0.28082234,0.7092333,0.8235566,-0.6054956,0.25201085,0.9864098,-0.2303642,0.72179943,0.33088088,0.2695145,0.08658691,-0.65347815,0.3246967,-0.120620966,-0.21064526,-0.23452719,0.1723502,-0.12623951,-0.073773116,-0.38946557,0.75046796,0.82524276,0.58877987,0.1851114,0.3388824,-0.34333163,0.7196989,0.19844471,0.3830741,0.8092798,0.7471075,0.60963815,0.14654797,0.08726339,-0.03241223,0.23615098,0.58075255,0.362893,-0.20746946,0.10662828,-0.6353252,-0.5284253,0.30323023,-0.31667477,0.2590563,0.009900399,0.42026806,-0.036838137,0.52203166,0.08551059,-0.036838137,0.52203166,0.08551059
-0.25846773,-0.7481995,0.96368355,0.42296705,-1.0088135,-0.30192685,0.2868849,0.007927924,-0.86391467,-0.504851,0.5300042,0.1079018,-0.12532173,-0.6688235,0.105493374,0.19911435,-0.3603566,0.12098144,0.15888658,-0.0102675855,-0.14658928,0.53445303,1.325175,-0.26168224,0.7758882,0.75706726,-0.6649725,0.40703315,0.065583155,0.23380166,0.29105687,-0.44677243,0.22723693,-0.0051018596,0.14718644,-0.20176645,0.0851817,-0.18155146,-0.09217571,-0.65023583,0.4570553,0.8553854,0.54170525,0.43457916,0.5605613,-0.50222504,0.58025604,0.25096965,0.09852478,0.56761056,0.81549966,0.62550676,0.17199853,0.056821622,-0.39480206,-0.14057645,0.26239175,0.16790083,-0.16767095,0.2672546,-0.7376897,-0.5905704,0.35456997,-0.3425915,0.5068677,0.070766255,0.19578065,-0.2639857,0.5699212,-0.02088415,-0.2639857,0.5699212,-0.02088415
-1.0766206,-0.09653231,-2.043397,-1.5507084,0.67391944,2.0986362,-0.2485888,0.20675188,-0.889501,0.1912196,-0.8236451,-0.45546702,-0.2673454,1.602716,-0.16786067,-0.019577384,-0.4366318,-0.4479487,-0.3514744,-2.0336292,0.38916442,-1.0029541,-0.19331467,0.72486544,-0.7632555,-0.32866842,1.0979726,-0.5839453,-2.0299606,1.4275466,-0.91502374,-0.03320527,1.3161726,1.517762,0.45897934,1.1410568,0.34502977,-1.038539,-0.7920976,-0.31733552,0.9993685,0.24592492,-0.07312034,0.7482993,-0.17326392,-0.6752741,-0.8007518,0.6129309,0.8373634,0.03589437,0.6230905,0.30800483,1.0955702,1.4584551,0.30235806,1.2297876,0.25386494,0.06659572,-0.3908014,-0.86348045,-0.17085996,-0.6589489,0.6739949,-0.089500815,1.3608458,0.6570865,0.043921284,-0.92797005,-1.4554393,0.68912786,-0.92797005,-1.4554393,0.68912786
0.32478294,-0.017255943,0.41386554,0.07229695,-0.10993678,0.013622135,0.70188373,-0.28190795,-0.46577197,-0.49308598,-0.26250964,0.13197032,-0.14122222,-0.7130096,0.2252868,0.26071417,0.10219857,-0.22593668,0.70681316,-0.13240722,-0.15536079,0.63017446,0.5671637,-0.6252192,0.023219489,0.7523111,-0.26744995,0.3964715,0.2499329,0.28497323,0.003381446,-0.33533758,0.3032384,-0.097730726,-0.04009872,-0.08967836,0.26376548,-0.15275812,-0.087702185,-0.32652327,0.56740004,0.59859484,0.6557089,0.19835651,0.12880072,-0.2834725,0.53873247,0.2538992,0.26649928,0.7924915,0.3959039,0.494528,0.09130414,0.039580617,-0.12059986,0.3956628,0.5235616,0.42997968,-0.22323042,0.22282863,-0.5571472,-0.3668835,0.14650424,-0.25580674,0.17768323,0.1221036,0.34458935,0.24279287,0.35052,-0.14665933,0.24279287,0.35052,-0.14665933
-0.93689543,0.41492024,-1.5468932,-1.4793894,0.66922474,1.8246579,-0.108067095,0.262648,-0.5371249,0.41393694,-0.9869581,-0.65741336,-0.4497925,1.1370144,0.13221279,-0.33301216,-0.40246093,-0.15987283,0.059398443,-1.8282588,0.17615418,-0.63365996,-0.16026372,0.37770706,-0.75181454,0.06907487,1.1085194,-0.11164948,-1.5213678,1.2626703,-0.8217999,-0.3505786,1.2193742,1.2093619,0.12686983,0.8105782,0.37200835,-0.83215886,-0.6551158,-0.33081087,0.85586053,0.21165875,0.0275888,0.4298677,-0.13867572,-0.6016262,-0.56241727,0.51319987,0.7280535,-0.064825594,0.49460483,0.25199473,0.9117758,1.2082955,0.3765335,1.0349343,0.21532929,0.07824105,-0.26386514,-0.76071703,-0.15933836,-0.5416403,0.6595212,-0.07450632,1.1112952,0.49966627,0.12975645,-0.783599,-1.1607331,0.6824747,-0.783599,-1.1607331,0.6824747
0.029914465,0.7619837,0.2798038,-0.41907546,0.17962123,0.35752466,0.57388484,-0.015483871,-0.06630963,0.10996392,-0.7326209,-0.402343,-0.4744851,-0.58747315,0.5518363,-0.3346861,-0.04006933,0.14157565,0.9644006,-0.51454175,-0.2883427,0.6062949,0.33184862,-0.6733724,-0.25560692,0.97669464,0.2574818,0.7750863,0.2060654,0.44936585,-0.19233972,-0.72098243,0.52672845,0.015255645,-0.37825406,-0.10843177,0.28844422,-0.14917003,-0.17570859,-0.34280065,0.82221216,0.6791654,0.5381537,0.07998291,0.20746894,-0.29201567,0.57706004,0.2761868,0.5804242,0.7745831,0.5619604,0.56925833,0.29118967,0.20972687,0.20963532,0.5513538,0.71156794,0.405681,-0.18676084,-0.0717276,-0.5686903,-0.4447205,0.32190245,-0.33532876,0.29789382,0.10995877,0.49372184,0.031759866,0.22067474,0.22166924,0.031759866,0.22067474,0.22166924
0.5345772,0.30884263,0.086100385,-0.14093721,0.31706578,0.22604437,0.85319895,-0.39250004,-0.30114645,-0.4613226,-0.63581336,0.119770944,-0.15443051,-0.6536634,0.26701474,0.27520013,0.288444,-0.38529676,0.91566026,-0.25301152,-0.14160989,0.61733675,0.20376766,-0.74119616,-0.33893102,0.71495086,-0.04193757,0.36080796,0.25445825,0.3472175,-0.15641488,-0.27786878,0.37245613,-0.08361092,-0.10826282,-0.0038064271,0.3951502,-0.17794256,-0.122487485,-0.2531736,0.5673933,0.49818462,0.65397185,0.12680222,0.12865612,-0.28365755,0.5541926,0.31675684,0.26834756,0.8408579,0.20211032,0.51458323,0.12955587,0.06471206,-0.06328525,0.6464529,0.68592227,0.4764303,-0.24054271,0.21473785,-0.49679866,-0.34989125,0.18497111,-0.2745824,0.14484155,0.23975942,0.28008097,0.46600553,0.1989149,-0.21973689,0.46600553,0.1989149,-0.21973689
