,missing_edges,extra_edges,correct_edges,orientation_errors,partial_orientations,correct_orientations,shd_strict,shd_partial,shd_edges_only,edge_precision,edge_recall,edge_f1,endpoint_precision,endpoint_recall,endpoint_f1,orientation_accuracy,interventional_agreement
1,1.0,0.0,12.0,1.0,5.0,6.0,7.0,2.0,1.0,1.0,0.9230769230769231,0.9600000000000001,0.75,0.6923076923076923,0.7199999999999999,0.5,0.6538461538461539
2,0.0,2.0,13.0,2.0,4.0,7.0,8.0,4.0,2.0,0.8666666666666667,1.0,0.9285714285714286,0.6666666666666666,0.7692307692307693,0.7142857142857142,0.5384615384615384,0.6923076923076923
3,1.0,3.0,12.0,2.0,6.0,4.0,12.0,6.0,4.0,0.8,0.9230769230769231,0.8571428571428571,0.5333333333333333,0.6153846153846154,0.5714285714285715,0.3333333333333333,0.5384615384615384
4,0.0,3.0,13.0,2.0,7.0,4.0,12.0,5.0,3.0,0.8125,1.0,0.896551724137931,0.53125,0.6538461538461539,0.5862068965517242,0.3076923076923077,0.5769230769230769
5,0.0,2.0,13.0,3.0,5.0,5.0,10.0,5.0,2.0,0.8666666666666667,1.0,0.9285714285714286,0.6,0.6923076923076923,0.6428571428571429,0.38461538461538464,0.5769230769230769
mean,0.4,2.0,12.6,2.0,5.4,5.2,9.8,4.4,2.4,0.8691666666666666,0.9692307692307693,0.9141674876847292,0.61625,0.6846153846153846,0.6469556650246305,0.4128205128205128,0.6076923076923076
std,0.5477225575051662,1.224744871391589,0.5477225575051662,0.7071067811865476,1.1401754250991378,1.3038404810405297,2.280350850198276,1.51657508881031,1.140175425099138,0.07925433742073679,0.04213250442347429,0.03897976983333224,0.09326727573067749,0.05704768066996665,0.06942687344878412,0.10192106109923994,0.06319875663521149
