input_0,input_1,input_2,input_grad_0,input_grad_1,input_grad_2,output_0,output_1,output_2
-0.2473756,-0.4108927,-1.2323649,1.7526374,0.25722098,-0.13511826,-0.17729223,-0.18492755,-0.1240852
-0.56639075,-0.7387628,-0.111624755,2.394442,0.8533162,-0.14428867,-0.49765518,-0.49145818,-0.45495027
-0.99218696,-1.3438154,-0.52600944,4.6427674,6.5432763,-0.5612117,-1.6743246,-1.6286324,-1.2439466
0.40069082,-1.0194421,-1.5127716,2.6941772,-1.1586533,0.07931051,0.43940827,0.41687357,0.17132214
-0.9234328,0.574596,0.6524958,1.406982,0.5088637,-0.113436624,-0.47761193,-0.445252,-0.4998452
-1.406577,0.19132975,-0.3971755,1.1194589,0.70779324,-0.29853532,-0.7464799,-0.7057362,-0.602954
-0.75447273,-1.2068958,1.4586703,4.873962,4.890259,-0.67170095,-1.125255,-1.0947592,-1.5566921
-0.1250438,-0.7563118,-0.64007986,2.3333821,0.18004745,-0.02964364,-0.122294106,-0.13413717,-0.10990779
1.2581689,0.40170035,-1.271714,1.0623717,-0.6103094,0.28840533,0.56888205,0.5312637,0.30582654
-0.054313265,-0.16783258,0.7907652,2.0883477,0.03329004,0.011697382,-0.04746411,-0.05832211,-0.049728837
2.0396771,0.45002362,0.39382574,1.0226287,-0.94871163,0.22644894,0.88340515,0.82841957,0.9030033
-0.33943075,-0.98203856,-0.5623462,2.7850459,0.8846273,-0.09376776,-0.36266097,-0.3691393,-0.28779963
-0.17317903,-1.3137221,0.0103218965,4.5978417,1.1517947,-0.064985886,-0.2652435,-0.2873094,-0.26897693
0.021678487,0.60664004,-1.1700633,1.0906214,0.02401717,-0.040286876,0.0067653432,0.007941626,-0.0036433972
0.21080388,1.2068245,-1.1321899,0.88687855,-0.032281697,0.039449602,0.07392423,0.08332778,0.031602334
-0.8662415,-1.1179789,1.4859698,4.4254065,4.757712,-0.6890557,-1.1514666,-1.1218561,-1.6110291
1.4667629,-0.36702207,-1.4878366,1.5091679,-1.3972213,0.34357917,0.95314664,0.909117,0.42818576
-0.92141217,0.02590781,1.1276652,1.7262081,0.68827766,-0.11858084,-0.5745829,-0.53807783,-0.6809779
1.7500603,-0.057362266,0.22833554,1.1945937,-1.3217576,0.27306217,0.9539859,0.91932297,0.949448
0.27261987,1.2287701,0.29815722,1.1112356,-0.028623115,0.045557868,0.092852324,0.11241669,0.11318615
-0.8865886,-1.3545122,1.1816204,5.565379,6.7460737,-0.7366645,-1.5816017,-1.5238042,-2.020999
-0.49125358,0.08341276,1.211243,1.8891335,0.3704673,-0.06953422,-0.31662285,-0.29892215,-0.37329763
-0.011401493,-1.336791,1.6529636,6.1857986,0.11903569,-0.14074537,-0.039155923,-0.05913486,-0.0711045
-0.49674943,1.1509509,-1.625649,0.85032153,0.11364249,-0.060469735,-0.17500663,-0.16449594,-0.07632735
0.4646692,-1.0388578,0.7941656,3.7540312,-1.9850185,0.21933663,0.5345026,0.5109699,0.64737374
-1.2221236,0.3800022,1.0989821,1.3490028,0.6964692,-0.12508827,-0.64206856,-0.5990137,-0.7607129
-0.51569295,0.39814547,0.9476505,1.655212,0.34932595,-0.06938655,-0.29754695,-0.27797547,-0.3255965
0.62431556,0.2407107,-0.3988958,1.4905128,-0.38735104,0.1451304,0.3312302,0.29972625,0.25114194
-0.51414007,-0.86260015,-0.5536584,2.4793348,1.0017674,-0.15179932,-0.4911665,-0.48963785,-0.3849097
-0.06276417,-1.6878076,-1.6301726,6.3165455,0.7858281,0.061740905,-0.21353081,-0.23999473,-0.12160167
-0.3419402,-1.6214103,0.44381157,7.635789,3.4708765,-0.324802,-0.8546702,-0.849954,-0.93217903
1.2581906,-0.28159773,1.4887308,1.9271345,-1.4760526,0.11549075,0.78101796,0.7454531,1.0943996
-1.4591339,-0.37246013,-0.4169229,1.4455514,1.3368461,-0.36972234,-0.96354765,-0.9200796,-0.7594486
-1.983788,-0.1509403,0.9407508,1.663888,2.0073524,-0.49398473,-1.162397,-1.0712497,-1.4103187
0.085551694,-0.59406954,1.4949784,2.6844149,-0.14016953,-0.060330562,0.06216778,0.051891632,0.06955123
0.93887275,0.67477906,-0.29903898,1.1992238,-0.4296916,0.18524824,0.41922408,0.3872681,0.33537602
-1.4578946,1.086587,-1.1887974,0.956736,0.51890886,-0.23506784,-0.5481234,-0.5145106,-0.3215083
-2.1251223,-0.9105819,-0.36183175,3.253927,6.9375095,-0.9962138,-2.2218595,-2.0580664,-1.7241582
1.2803961,0.87972313,-0.32068545,1.0124774,-0.50236595,0.2098649,0.52664226,0.47697735,0.41483188
0.5859413,-1.4699135,1.384051,7.1630335,-5.6854343,0.3521174,1.2814183,1.2064456,1.7077551
-0.45947054,-1.716684,1.0312192,8.808277,4.4744296,-0.44492835,-1.3417652,-1.2874558,-1.5973889
-0.17559718,0.017864691,-1.4840367,1.3671747,0.15760367,-0.11284732,-0.09545482,-0.10351577,-0.05554701
-0.9475064,1.6130453,-0.90598094,0.6796888,0.7131506,-0.18162528,-0.28625354,-0.26997393,-0.15619056
-0.6138616,-0.08185751,-0.375751,1.6623666,0.45630193,-0.16394871,-0.39757046,-0.38866973,-0.33713603
-1.1014245,-1.0756855,-1.089035,2.9762464,3.9540067,-0.3814144,-1.3072535,-1.2706382,-0.7053299
-1.6371458,-1.2931195,1.3106179,4.9960012,9.429806,-0.86245006,-2.7211838,-2.550085,-3.4108038
1.5891955,0.7465881,-0.23511162,0.9647144,-0.64310277,0.2243046,0.66872305,0.6106727,0.5404743
-0.21848884,1.4528517,-1.5957624,0.754419,0.12014882,-0.016917361,-0.06813496,-0.06253957,-0.0323555
0.55515605,-1.2703022,0.6866981,5.0877366,-4.026639,0.39528733,0.87612945,0.83813345,1.0198454
-0.33356524,-1.0464306,-0.4275202,3.0346775,1.0543065,-0.08981137,-0.37784758,-0.38607317,-0.31314182
-1.1256729,0.047507495,-0.9700771,1.2680833,0.6678021,-0.28627965,-0.6257258,-0.6071926,-0.4160995
-1.7560128,-1.5959127,-0.0929852,5.42019,11.206371,-1.0578923,-3.9965658,-3.7829003,-3.5533721
-1.826745,-0.2725063,-1.2160996,1.3576317,1.379153,-0.16641347,-1.1176348,-1.0682323,-0.5860123
-1.841831,0.62062174,0.020201255,0.94214237,0.6062937,-0.2606238,-0.82166797,-0.7589185,-0.7496328
0.054250374,1.5217601,0.8520924,1.1023471,0.047165945,-0.046129458,0.007461276,0.03141827,0.044052694
1.6189928,0.3895529,-1.282239,1.0417974,-0.7405485,0.3142348,0.72441536,0.6862527,0.3786496
-0.43087086,-1.0640398,-0.23926577,3.1801028,1.4878508,-0.13338636,-0.49304327,-0.4976012,-0.43162048
1.3466079,-1.2077041,1.6666002,5.0636425,-8.400253,0.6566544,2.0665803,1.9451294,2.9366026
0.5305272,-1.1645167,1.3683406,4.809374,-3.4173584,0.2723133,0.7310861,0.69769895,1.0181456
0.18810344,-1.3940765,-0.58803684,4.940994,-1.4727314,0.16441569,0.3544635,0.30634147,0.21299042
1.4281621,-0.1461777,0.20740205,1.3976121,-1.1960002,0.23989674,0.85485214,0.8225517,0.8402978
0.027929336,-0.19235699,-0.41368523,1.8318601,-0.008356141,0.003778629,0.0045889765,-0.011611126,-0.010136783
-0.2600836,-0.50303227,-0.45350504,2.0618205,0.2634657,-0.06467902,-0.21179432,-0.21737361,-0.18414883
-0.53512853,0.86417866,-1.7024989,0.9370574,0.15151322,-0.08052953,-0.20393461,-0.19295654,-0.084043235
-0.3757254,-0.9317853,-0.49601448,2.6746016,0.8596145,-0.10139869,-0.38305667,-0.38746804,-0.3107301
-1.6908383,-0.016425716,-1.6906936,1.2992343,0.94478333,-0.09581267,-0.93223506,-0.8937334,-0.4219638
-1.7326548,0.21134576,-0.3689391,1.009217,0.7776936,-0.30597484,-0.87565887,-0.81560063,-0.7016428
-1.5870262,1.4584304,-1.4408163,0.87469494,0.7811986,-0.17457595,-0.5147366,-0.46248627,-0.2368184
1.4928963,0.5663689,-1.3042052,0.98965275,-0.6121216,0.30037042,0.6251257,0.5866691,0.3233499
0.25436604,1.3649168,1.2263068,1.1773777,-0.078755766,-0.051092256,0.08338685,0.09150752,0.12004481
1.5752894,-0.9647336,0.35094064,3.4123006,-6.054863,0.70416164,1.725245,1.652298,1.8048414
-1.0684829,0.88080776,1.6655073,1.2936049,0.4001404,-0.18026543,-0.46787813,-0.46295032,-0.6629526
1.2480869,0.86083436,0.56734276,1.0543123,-0.5824164,0.113316454,0.5112689,0.47182167,0.55234486
-0.038452923,-0.09117766,-0.12743999,1.8194792,0.039913416,0.0019320995,-0.03929501,-0.052364692,-0.044318844
-0.2487778,-1.706338,-1.4356512,6.586403,2.201559,-0.17159069,-0.7172346,-0.71949875,-0.37781465
-0.18242097,-0.06660942,0.120569184,1.8515729,0.14817403,-0.019656047,-0.13232788,-0.13888685,-0.12895408
0.030775407,0.41113973,-0.62956685,1.3406147,0.028482215,-0.024433129,0.005099546,0.0013695285,-0.010063231
-2.5077622,0.19980551,-1.4350595,1.2092948,1.0567813,0.0016630422,-1.2631856,-1.1709055,-0.61355877
-0.7960347,-0.7015622,0.21683033,2.3913836,1.2329518,-0.21940957,-0.67587715,-0.6584653,-0.6803394
-0.52733636,-0.9101962,1.5566592,3.5213995,1.9466699,-0.36764035,-0.5540381,-0.5445029,-0.80910033
-1.2885846,-0.71849424,1.1557022,2.8168244,3.013252,-0.5153538,-1.1101502,-1.0757469,-1.4578325
-0.51423943,0.26113516,-0.6014862,1.4285281,0.3585649,-0.16455871,-0.2864177,-0.2788401,-0.22795236
-0.55880594,0.26246774,0.9989317,1.7290016,0.39013585,-0.073033616,-0.33696562,-0.3157579,-0.37509263
-0.14581159,0.2568217,-0.009722664,1.5932674,0.13161978,-0.021296643,-0.09667569,-0.09939431,-0.09347823
0.97476923,0.023824358,-0.27583054,1.5612292,-0.7140398,0.23684081,0.57157093,0.52746236,0.4646127
-0.5541229,1.3710641,1.1493094,1.2525345,0.24052137,-0.15084077,-0.22213879,-0.21178463,-0.26263738
-0.24583508,0.67217785,1.7284961,1.6052945,0.1246285,-0.11814229,-0.13061541,-0.13355991,-0.19689819
0.793457,1.5125532,0.36548913,0.85477835,-0.30465117,0.059122887,0.2568918,0.2529632,0.2904753
0.112803355,-0.11444411,0.07071389,1.8931254,-0.09284465,0.049355365,0.060956717,0.04065696,0.04901992
-0.9380307,-0.10256732,0.10590175,1.6246798,0.6682679,-0.19127661,-0.6047849,-0.5771467,-0.57503897
1.8377361,1.4100628,-1.4844091,0.8590689,-0.49855208,0.24548739,0.59495354,0.5223067,0.24252406
1.1875637,0.6638473,1.2553635,1.1872557,-0.62866783,0.06288921,0.5174274,0.4822716,0.6503764
0.42535758,1.5425686,-0.16749276,0.915522,-0.06612262,0.06783368,0.1384233,0.15691042,0.13759036
-1.2157686,1.3327205,0.9038134,1.1241939,0.4759733,-0.16884571,-0.45848122,-0.4541189,-0.5507969
0.117186084,-1.6939785,1.1811627,9.472317,-1.5101662,-0.006873727,0.36747164,0.3219458,0.4127699
-2.5358725,0.5763744,0.36108437,1.1751531,0.8187746,-0.3757863,-1.0985485,-0.98344916,-1.0861987
0.4877894,0.41630197,0.061139658,1.4861258,-0.2644289,0.11383106,0.24273372,0.22164997,0.21626125
0.48798966,-0.5303842,-0.96572113,1.9876072,-0.507645,0.13060895,0.36211434,0.32529607,0.21706508
-1.5597506,0.8003036,-1.2860783,1.0266812,0.52664566,-0.22394614,-0.6407134,-0.60003716,-0.3692154
-0.9512615,1.2974701,-1.7304515,0.7882466,0.3518498,-0.111542225,-0.31874213,-0.29951683,-0.12989071
-0.04082112,-1.3151894,1.6067196,5.943966,0.37771007,-0.16510698,-0.08849502,-0.10450298,-0.14233696
1.1624056,-0.75235474,0.7719114,2.7201562,-2.8252163,0.31272578,1.0116384,0.98195386,1.2321932
-0.022391839,-0.12767605,-1.6470811,1.415006,0.05070108,-0.07285337,-0.010590799,-0.023742504,-0.007165175
-0.010221973,-1.4069464,0.19019559,5.5006137,0.0059450716,0.021904185,-0.0014605485,-0.03242266,-0.030730803
0.17995238,0.9970039,-1.5383888,0.8556893,-0.058558527,0.037679374,0.06338291,0.06698594,0.0260989
-0.26957408,-1.5878475,0.8976699,7.747591,2.7242513,-0.32842305,-0.65897685,-0.65409493,-0.81233996
1.4444095,-0.1663054,-0.39358202,1.353718,-1.150516,0.32639518,0.87812763,0.83076113,0.682444
1.17252,-0.9954503,0.9586669,3.7799797,-5.1088243,0.50670713,1.3151385,1.2692158,1.6912031
-2.3914552,-0.6118108,-0.72666323,2.2265563,4.270746,-0.6755428,-1.8719026,-1.7120714,-1.1620266
-1.5482825,1.5354962,1.1027615,1.1365569,0.46091193,-0.3387863,-0.517165,-0.54234445,-0.7261602
-1.2304776,-1.4961101,-1.4577585,4.531352,7.678285,-0.9547517,-2.463322,-2.3843446,-1.2125767
-0.45045093,-1.6385235,0.13177286,7.4529166,4.5009966,-0.36813924,-1.1520674,-1.1381978,-1.1257335
0.63854694,0.8849268,1.2056723,1.3005733,-0.3035578,0.03154721,0.2691446,0.2546935,0.33462018
0.7426684,0.83519924,-1.5637127,0.8670803,-0.24977323,0.15665606,0.27603438,0.26289025,0.12299293
-1.2692382,1.1516944,0.94121784,1.1418054,0.45802224,-0.13905048,-0.5103819,-0.4958657,-0.6071149
1.3321978,1.1512209,-1.212116,0.8160773,-0.38561633,0.2544756,0.47330683,0.42145276,0.23831488
0.61621416,1.3746885,-0.3792748,0.9278476,-0.13284948,0.10023061,0.2165766,0.21713847,0.17414407
2.4671714,1.311259,0.019223094,1.0447631,-0.81657207,0.055105634,0.8585793,0.7623193,0.6581304
0.13142367,0.4689605,-0.26883692,1.3950232,-0.025127126,0.025779553,0.05318758,0.04789991,0.033580102
-0.63197494,0.47581425,-1.5633825,1.1204051,0.31991145,-0.16137964,-0.28019923,-0.2708433,-0.13647436
-1.3931173,-0.273745,1.120156,1.8252956,1.509903,-0.30774808,-0.9097553,-0.8655651,-1.1449143
-1.1030205,-1.1558111,-0.16529438,3.870256,5.329603,-0.52067685,-1.4374964,-1.3970385,-1.2534734
-0.33828333,0.5092586,0.371992,1.523221,0.24906808,-0.043622524,-0.1900394,-0.17868227,-0.18396604
0.96180195,0.624577,0.6945332,1.2926136,-0.5210099,0.11149625,0.44166508,0.4127739,0.49119043
-0.12604621,0.5194956,0.092637666,1.4548445,0.12996623,-0.010921456,-0.07829387,-0.07406621,-0.07444787
0.14466622,-1.4662548,0.75933135,6.64355,-1.5290129,0.09161308,0.31989962,0.28442508,0.34347713
-0.17369674,-1.5008574,-0.5849503,5.700821,1.5221989,-0.055532426,-0.3612962,-0.3871541,-0.29214874
0.66224366,1.1700131,0.1938535,1.066191,-0.20263821,0.092229106,0.24606606,0.24354392,0.25240943
0.60144836,1.3921146,-0.115291476,0.9485135,-0.13933238,0.08613935,0.20823976,0.21311677,0.19488485
-0.77308893,-0.5489719,-0.64910984,1.8856622,0.8183178,-0.23310862,-0.593138,-0.5827551,-0.450067
0.65595126,-0.5096801,-0.23162554,2.17853,-0.7604293,0.2132129,0.49877718,0.4598586,0.41453508
0.60129994,0.61581254,-0.94849247,1.1259847,-0.25138825,0.119487025,0.26182145,0.24354273,0.15598068
0.67490065,0.5946131,0.57491636,1.4061389,-0.36019397,0.11015127,0.31851885,0.29704732,0.34138018
-0.62260985,0.08957949,0.5235861,1.7478504,0.44572347,-0.09285365,-0.39476636,-0.3752989,-0.40319732
-1.0540671,-0.016023513,-0.11706907,1.4520106,0.68443,-0.23481396,-0.6421533,-0.6127168,-0.5744595
-0.24929833,0.94917,-0.77898586,1.0564601,0.13503449,-0.07874779,-0.105579026,-0.08745138,-0.080196604
0.2890537,0.44047147,0.80349094,1.604454,-0.152803,0.056155942,0.1437962,0.12953207,0.16161174
-0.024739504,-0.90740573,1.6309506,3.5203786,0.1515397,-0.13176188,-0.03684055,-0.043926623,-0.07552582
-0.49042597,-1.4296968,1.5766544,6.5799546,4.3986645,-0.5357025,-1.028375,-0.99647516,-1.3990728
0.9548805,-0.24288824,-1.5868505,1.4080338,-0.75088227,0.2563074,0.57488525,0.53965914,0.27250525
1.5897217,-1.2876428,1.2678407,5.0388665,-9.89682,0.7718694,2.6604877,2.5200195,3.4481323
1.3585567,1.2374204,-0.6571185,0.83619404,-0.44592595,0.21578144,0.49656853,0.43187773,0.32505494
-0.004719777,-1.4406655,1.2557311,6.7950916,0.002180457,-0.11229502,-0.010357499,-0.031559423,-0.04019743
-0.30485064,1.3520159,-0.32445544,1.0434809,0.14183709,-0.040558215,-0.122681804,-0.09168931,-0.09158112
1.0964482,1.3064352,-0.32622448,0.86710787,-0.36821508,0.14838389,0.39623544,0.35580236,0.31088263
0.013489579,0.7657159,1.3030645,1.5125995,0.013803566,-0.051565055,-0.004477367,-0.0019053668,-0.005197961
-0.2956248,1.407892,-0.10531353,1.067121,0.16147712,-0.02671848,-0.12007449,-0.086925924,-0.08802757
1.2652154,1.0319061,1.2948836,0.9893544,-0.5958221,0.06310611,0.4783536,0.43332267,0.60135233
2.2655923,-0.19665907,-0.7858923,1.4967873,-1.9648826,0.27212977,1.3383497,1.2398953,0.8070424
1.9942546,-0.97932357,1.6936167,4.2533407,-8.458083,0.938384,2.4112773,2.2225597,3.3728113
0.6182383,-1.1445369,-0.34209618,3.7480922,-2.8924608,0.33464652,0.80437756,0.7588836,0.62056893
1.815122,0.7601262,-0.7992061,0.955484,-0.6200127,0.28265542,0.73836666,0.67435616,0.46763676
0.33285162,-1.0102824,-1.4561039,2.6808064,-0.945173,0.051237017,0.36050627,0.3386262,0.14020193
0.26170185,-1.3901818,-0.30205855,5.1298714,-2.140524,0.22858696,0.48961797,0.44100583,0.36278367
-0.44435558,-0.74907196,0.3149919,2.5871847,0.7106848,-0.103988156,-0.39708307,-0.39270455,-0.41022825
0.4728285,0.62659407,-0.17001665,1.3154678,-0.19712576,0.10159105,0.2120193,0.2002159,0.17414504
0.87566435,0.012512456,1.340842,1.733473,-0.6937121,0.01572185,0.5067402,0.4770102,0.64514
0.29838136,0.297814,-0.8661631,1.3410158,-0.14950381,0.03659658,0.14607966,0.1293098,0.08558859
-0.518921,0.81235296,-1.6750723,0.9571041,0.1616682,-0.08747093,-0.20106792,-0.19042943,-0.08449985
-0.7801183,1.351513,0.42230967,1.1620958,0.38239956,-0.105272464,-0.30821955,-0.28662103,-0.2960035
-0.51567733,1.2598109,1.2886696,1.3045627,0.20789856,-0.15186545,-0.21658382,-0.20799825,-0.26868308
1.3541267,-1.6309084,0.64115137,6.283702,-10.561861,0.8306649,3.4024394,3.2531776,3.7436676
-0.70189464,-0.82059777,0.9694426,2.9773898,1.7218307,-0.28758192,-0.6570658,-0.63876444,-0.8215938
-1.6018949,-1.5131687,1.6619772,5.4799004,9.9563,-0.70467126,-3.4300675,-3.200683,-4.3053
-1.0253632,0.33637184,1.3669428,1.5012908,0.6360047,-0.1112702,-0.5579738,-0.52474916,-0.699146
1.3348402,-0.1794748,-1.1717958,1.3669376,-1.0203259,0.3429523,0.7980082,0.7484181,0.44202334
-0.7519043,-1.7156442,-0.23299503,7.46233,6.8725796,-0.63760185,-2.1108794,-2.0437791,-1.784238
-0.81007445,0.6828697,-1.075429,1.1219653,0.37669387,-0.21523143,-0.35198918,-0.33510977,-0.21947095
-1.7459321,-0.85641205,-0.8591174,2.5029473,4.413132,-0.5732714,-1.6598231,-1.5750824,-0.9823852
-1.2825794,0.31012508,0.94643384,1.3269606,0.7413529,-0.14277928,-0.6864193,-0.6383146,-0.78789
-1.3333702,-0.83473855,-0.7386964,2.3216612,2.9672685,-0.42728603,-1.223424,-1.1807561,-0.8016032
0.49796572,-1.2427711,0.72822136,4.8972993,-3.4362357,0.33910486,0.7534561,0.7195982,0.8881212
-0.2444352,-0.7872192,0.22605786,2.653129,0.39302146,-0.034926206,-0.22761562,-0.23263112,-0.23083544
-1.134874,-1.699224,0.93182534,7.0004272,9.178801,-0.6370342,-3.0481296,-2.8896074,-3.4456472
0.2255626,0.36951193,-1.2258521,1.1941245,-0.09708629,0.007536322,0.1053071,0.093266584,0.053952012
0.30372155,0.6154571,0.61236286,1.4633973,-0.12863815,0.064763814,0.13832507,0.13049504,0.15229446
-0.24508743,-0.5483056,0.19059324,2.3000293,0.24470371,-0.026935548,-0.20540038,-0.20990705,-0.2035335
-1.825065,-1.4242381,-0.8700487,4.497308,10.381761,-1.4344321,-3.368565,-3.2116642,-2.222191
-0.3185624,-0.5526608,0.9667565,2.5013304,0.39198214,-0.07190322,-0.26260588,-0.25693345,-0.31141573
-0.11521591,-0.7448033,-0.3929445,2.3976111,0.15252289,-0.0052968264,-0.11343121,-0.12534256,-0.10656987
0.20412953,-0.5798414,1.4458865,2.6423383,-0.3326754,-0.03444326,0.15700877,0.14237154,0.19901922
-1.9656667,-0.1586344,0.100115955,1.3536596,1.6104819,-0.45208618,-1.1333913,-1.0380363,-1.0626495
1.5250738,1.2294374,-1.5749335,0.7928586,-0.41289532,0.2507044,0.50381744,0.45598924,0.20336565
0.21581921,-1.0852871,0.07346331,3.5065384,-0.91263473,0.15252793,0.25489315,0.22818187,0.23332322
3.6158457,-1.2290263,-0.8647113,3.7019017,-10.306416,1.2871324,5.347619,4.997525,3.63265
0.5376703,-1.7128702,-1.0094305,7.182826,-4.4785523,0.7938706,1.5315951,1.4071133,0.88107145
0.67411345,0.33431497,1.4962331,1.6181581,-0.42898774,-0.009982754,0.3505366,0.323727,0.44049576
-0.4166586,-0.12505743,-0.3798561,1.74132,0.3321849,-0.11304531,-0.28145772,-0.27983898,-0.24259579
-1.1456958,-0.46081707,1.3128488,2.2533724,1.6442788,-0.3098383,-0.84178287,-0.8116494,-1.117152
-0.05665259,-0.07230517,-1.6922476,1.3642136,0.07073351,-0.07880497,-0.028815702,-0.04009904,-0.013380658
-1.4770632,0.24463773,1.4098614,1.3779986,0.956969,-0.2017182,-0.76890904,-0.7266538,-1.0087526
-1.3263663,-1.2679565,0.15572537,4.734918,7.9903536,-0.71679425,-2.0420222,-1.9576706,-1.9993933
0.99915886,-0.93606526,-0.050574873,3.0770144,-3.0242462,0.43154725,1.0420433,0.997993,0.9329142
-0.081122994,1.4913402,-1.4693881,0.7681323,0.09308776,-0.0027879272,-0.023465991,-0.016251065,-0.015953463
-0.6301665,-0.5231169,0.5638151,2.2779856,0.71599305,-0.13401449,-0.49895748,-0.48228258,-0.5394242
-0.99393296,-0.8964387,-1.2221066,2.3412752,2.2646122,-0.26354268,-0.9681106,-0.9457587,-0.49973834
-0.1937954,0.565481,-1.2582823,1.1005381,0.12628768,-0.09317254,-0.08649356,-0.082358375,-0.053147223
-1.3419496,0.92317855,1.3004767,1.1739016,0.4822362,-0.14679533,-0.5684499,-0.5485166,-0.7361545
0.54277444,-0.9559826,-0.09750753,3.0900702,-1.5819738,0.2604602,0.56435925,0.5304704,0.4943515
-0.3944615,1.5819968,-1.5983739,0.6873881,0.293985,-0.05426344,-0.113286115,-0.107522964,-0.04378471
-0.052876055,1.2313187,1.484895,1.3320545,0.025054242,-0.11845881,-0.033206858,-0.030877039,-0.046519224
0.73623174,-1.5556054,1.1200057,7.4945965,-7.2018695,0.4923846,1.7947217,1.7024992,2.2445962
-1.1512115,-0.27580184,1.4808595,2.0091136,1.3031578,-0.2473546,-0.7711608,-0.7418132,-1.0456569
1.3110826,-0.10970297,-1.3328556,1.3047554,-0.9299914,0.33084106,0.74574804,0.7025946,0.3861073
0.27378955,0.560874,-0.3394514,1.3228672,-0.09427807,0.054691847,0.11998668,0.11342872,0.086286485
0.7675904,-1.4756589,-1.280789,5.0508657,-5.229854,0.6961588,1.5741867,1.4802876,0.76747954
0.82153,-0.6718216,-1.0884011,2.091125,-1.1605151,0.24678366,0.67237014,0.6247682,0.37672657
-0.6052914,0.9634299,1.7074271,1.41342,0.22800389,-0.17206872,-0.2743529,-0.27689496,-0.39521378
0.80363727,1.56288,-0.2962141,0.7948271,-0.2606278,0.09869115,0.26518926,0.25506645,0.22299
0.8868765,-1.3940005,-0.706358,5.0149302,-6.332754,0.6571539,1.667986,1.5775228,1.0845633
-0.68534875,0.31072187,0.50204813,1.5986748,0.4506567,-0.09915921,-0.3986247,-0.37539664,-0.40284812
0.4549076,1.030571,-0.66181266,1.0256293,-0.10450722,0.08495782,0.17300585,0.17473912,0.11356823
0.87175256,1.3013902,1.6428653,1.0562181,-0.38040274,0.0072174743,0.30932552,0.2770499,0.40696427
-1.5368642,-0.36725038,-0.14699602,1.490253,1.4961215,-0.39704642,-1.0113353,-0.9580738,-0.88378555
-1.1539888,-0.7443542,-0.46396738,2.1518307,2.0160835,-0.36703888,-0.9812698,-0.95279133,-0.7587947
-0.9637193,1.4970341,-1.321262,0.7176004,0.545787,-0.15589711,-0.30041814,-0.28354242,-0.1411851
0.74871564,0.27072895,-1.0073795,1.2769693,-0.42816937,0.17328142,0.37596044,0.34140912,0.2286429
-1.3290004,-0.46802992,0.49636945,1.9123989,1.645692,-0.34844732,-0.95386773,-0.9106486,-1.0369136
1.1434464,-0.5470704,-1.0136461,1.8405766,-1.3774973,0.33869207,0.86299074,0.80635417,0.5014213
0.8410419,1.286397,-0.51551074,0.9088963,-0.22471535,0.14017463,0.305508,0.28553417,0.2227793
1.4534389,1.5776608,-1.0123839,0.68801486,-0.49804294,0.20138039,0.46483555,0.39172953,0.23328799
2.4258792,1.632895,0.23905373,0.99559134,-0.8622902,0.015140474,0.73236084,0.63622683,0.60154724
0.46116617,0.84001243,1.255472,1.3836737,-0.21784934,0.008827344,0.19832051,0.1886186,0.2460489
2.0117364,-0.8980205,0.43547985,3.390057,-7.129361,0.8692112,2.0922575,1.9723561,2.2195613
-0.4855187,0.707797,-0.44082117,1.2463461,0.29255888,-0.134004,-0.2307604,-0.2141922,-0.1882541
