fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
5,X0,X1,input,False,False,0.00786083193083048,0.007860967315848275,0.0,0.0,-0.00786083193083048,0.0195,0.8416360266077476,False,False,False,False,False,True,True,aligned_observable_state,0.07398053289575265,0.07398180704279594,0.06611970096492217,0.046,0.029033915565236757,True,True,True,False
5,X0,X2,input,False,False,0.002884497763639948,0.002878586022188069,0.0,0.0,-0.002884497763639948,0.018,0.9023552779223781,False,False,False,False,False,True,True,aligned_observable_state,0.06139884087380585,0.06127300473093675,0.0585143431101659,0.042,0.058716579645442246,True,False,False,True
5,X0,X3,input,False,False,-0.012490740720302752,-0.012540874684644404,0.0,0.0,0.012490740720302752,0.02,0.8187536311788122,False,False,False,False,False,True,True,aligned_observable_state,0.023045127063475394,0.02313762306545958,0.035535867783778145,0.0315,0.274233348575873,False,False,False,True
5,X0,X4,input,False,False,0.0029458684011972464,0.0029301446746170935,0.0,0.0,-0.0029458684011972464,0.022,0.7185142568618185,False,False,False,False,False,True,True,aligned_observable_state,0.07072837993152634,0.070350863506472,0.06778251153032909,0.057,0.003007189980865455,True,True,True,False
5,X0,X5,input,False,False,-0.06556904818087281,-0.06620351346790669,0.0,0.0,0.06556904818087281,0.0445,0.03809482444605752,True,True,True,False,False,True,False,aligned_observable_state,-0.11463414129488839,-0.1157433747728537,-0.04906509311401558,0.0585,0.002125924882003714,True,True,True,True
5,X0,X6,input,True,True,-2.4506612341083636,-1.3011071604159496,-2.4495995266694566,-1.300543477793561,0.0010617074389069892,0.707,0.0,True,True,True,True,True,True,True,aligned_observable_state,-2.5434155180867446,-1.3503523442723935,-0.09275428397838104,0.743,0.0,True,True,True,True
5,X0,X7,input,False,True,-2.2295484839683803,-0.9346155082616621,-2.278465115825696,-0.9551211142507274,-0.04891663185731554,0.451,1.3839989982190027e-183,True,True,True,False,True,True,True,aligned_observable_state,-2.3054043708464214,-0.966413914431763,-0.07585588687804101,0.484,1.2264985656632482e-212,True,True,True,True
5,X0,X8,input,False,True,2.8013391560241456,0.8211616144065841,2.7830373267674733,0.8157967660887058,-0.01830182925667234,0.376,2.9229710215940853e-126,True,True,True,False,True,True,True,aligned_observable_state,2.6970546499847456,0.7905925085013765,-0.10428450603939998,0.361,3.4628330258659277e-116,True,True,True,True
5,X0,X9,input,False,True,3.5872103669227484,0.8324773487356545,3.586246965688753,0.8322537739733712,-0.000963401233995409,0.3855,7.09357419723615e-133,True,True,True,False,False,True,False,aligned_observable_state,3.60599231422421,0.8368360408931558,0.018781947301461432,0.399,1.3601805313366785e-142,True,True,True,True
5,X0,X10,input,False,True,-3.1801690572104766,-0.7667689424755206,-3.277098593329373,-0.7901395735858434,-0.09692953611889621,0.346,1.4578661194091218e-106,True,True,True,False,False,True,False,aligned_observable_state,-3.1060814775581407,-0.7489057238608403,0.07408757965233592,0.3515,4.859974939274425e-110,True,True,True,True
