epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.8621116280555725,0.8276627063751221,0.0008,16,60,960
2,0.7924397587776184,0.7712388038635254,0.0008,16,60,960
3,0.7892516255378723,0.7710274457931519,0.0008,16,60,960
4,0.7855932712554932,0.7697612047195435,0.0008,16,60,960
5,0.7835677862167358,0.7685303092002869,0.0008,16,60,960
6,0.7790282964706421,0.7714017629623413,0.0008,16,60,960
7,0.7779580354690552,0.7702392339706421,0.0008,16,60,960
8,0.7766343355178833,0.7712066173553467,0.0008,16,60,960
9,0.7801816463470459,0.7697923183441162,0.0008,16,60,960
10,0.7753570675849915,0.7689220905303955,0.0008,16,60,960
11,0.7766215205192566,0.7696418762207031,0.0008,16,60,960
12,0.777076244354248,0.7697141170501709,0.00068,16,60,960
13,0.7744448781013489,0.7689811587333679,0.00068,16,60,960
14,0.773521363735199,0.7707722187042236,0.00068,16,60,960
15,0.775282084941864,0.7697154879570007,0.00068,16,60,960
16,0.7758803963661194,0.7699998021125793,0.00068,16,60,960
17,0.773135781288147,0.7678274512290955,0.00068,16,60,960
18,0.7721737027168274,0.7694070935249329,0.00068,16,60,960
19,0.7738494277000427,0.7700064778327942,0.00068,16,60,960
20,0.7748749852180481,0.7698601484298706,0.00068,16,60,960
21,0.7731581330299377,0.7692066431045532,0.00068,16,60,960
22,0.7718684673309326,0.7684457898139954,0.00068,16,60,960
23,0.7720088958740234,0.7704747915267944,0.00068,16,60,960
24,0.7719978094100952,0.7696754932403564,0.0005780000000000001,16,60,960
25,0.771049439907074,0.7698277831077576,0.0005780000000000001,16,60,960
