figure,test,source,dataset,dataset_label,n,r,mae,bias,beta,alpha,metric,delta_mae
intervention_effect_calibration,diagnostic,dowhy,all,All datasets,66.0,0.9997041306313724,0.018703602491225255,-0.0002830685807279657,1.0005692167821287,-0.0005458187922495381,,
intervention_effect_calibration,diagnostic,dowhy,LinearSEMDataset,Linear SEM,36.0,0.9996287293937334,0.023109387369077746,0.001190426108574846,1.002504819892933,0.0015146200986233536,,
intervention_effect_calibration,diagnostic,dowhy,ElectricalCircuitData,Current Measurement,30.0,0.9932555310427128,0.013416660637802265,-0.0020512622078913394,0.9853475528889528,0.015104301874638144,,
intervention_effect_calibration,diagnostic,model,all,All datasets,396.0,0.7186272555786457,0.4685284678649936,-0.012323972197673316,0.5218701639821028,0.20838054582237292,,
intervention_effect_calibration,diagnostic,model,LinearSEMDataset,Linear SEM,216.0,0.8241249172772541,0.42959685448169294,0.3945393420749856,0.5940865915819051,0.34200275536847635,,
intervention_effect_calibration,diagnostic,model,ElectricalCircuitData,Current Measurement,180.0,0.9136703799341505,0.5152464039249545,-0.5005599493248639,4.013600306703223,-4.028981706383875,,
intervention_effect_calibration,delta,model_minus_dowhy,all,All datasets,,,,,,,mae,0.4498248653737683
intervention_effect_calibration,delta,model_minus_dowhy,LinearSEMDataset,Linear SEM,,,,,,,mae,0.4064874671126152
intervention_effect_calibration,delta,model_minus_dowhy,ElectricalCircuitData,Current Measurement,,,,,,,mae,0.5018297432871522
