dataset,metric,n,no_alignment_median,no_alignment_iqr,observable_state_median,observable_state_iqr,sem_target_median,sem_target_iqr,friedman_p_raw,q_obs_vs_no,q_sem_vs_no,q_sem_vs_obs,friedman_q_bh
Linear SEM,Edge $F_1$ Score,30,0.6153846153846153,0.2413165266106443,0.8333333333333333,0.12307692307692308,0.7142857142857143,0.15064102564102566,9.150565152769574e-06,5.15649792844277e-05,0.021158808589335866,0.00095716460941006,1.2200753537026098e-05
Linear SEM,Endpoint-mark $F_1$,30,0.3529411764705882,0.1333333333333333,0.4375,0.06538461538461549,0.37087912087912084,0.11996336996336993,0.010206344291219535,0.0011374008625482605,0.16026836229026095,0.008171115851084175,0.010206344291219535
Linear SEM,SHD (strict),30,10.0,3.0,8.0,2.0,8.0,2.0,0.0011945329581411958,0.0006415358617999203,0.003201839086481521,0.4306793212890625,0.001365180523589938
Linear SEM,SHD (partial),30,8.0,2.5,5.0,1.0,4.0,2.0,2.0672853045649542e-08,9.362662144976693e-06,5.15649792844277e-05,0.16026836229026095,3.3076564873039266e-08
Current Measurement,Edge $F_1$ Score,30,0.4285714285714285,0.1858974358974359,0.9090909090909092,0.19999999999999984,1.0,0.11111111111111105,6.483945449926286e-10,7.2597969145218095e-06,7.2597969145218095e-06,0.37361758636828346,1.729052119980343e-09
Current Measurement,Endpoint-mark $F_1$,30,0.2307692307692307,0.12719780219780227,0.5454545454545454,0.19999999999999996,0.7,0.09090909090909083,9.009366181621607e-10,7.2597969145218095e-06,7.2597969145218095e-06,0.16026836229026095,1.8018732363243215e-09
Current Measurement,SHD (strict),30,10.0,1.0,5.0,2.0,3.0,1.0,6.483945449926286e-10,7.2597969145218095e-06,7.2597969145218095e-06,0.08448204078419279,1.729052119980343e-09
Current Measurement,SHD (partial),30,9.0,2.75,2.0,3.0,0.0,2.0,3.8481405606633467e-10,7.313918005737349e-06,7.2597969145218095e-06,0.27572173693486124,1.729052119980343e-09
