figure,test,dataset,metric,view,comparison,n,stat,p_raw,degenerate,note,q_bh,delta_mean,delta_median,rank_biserial
structural_architecture_robustness,friedman,LinearSEMDataset,edge_f1,absolute,all_models,5,4.622641509433965,0.46364394951950827,False,,0.46364394951950827,,,
structural_architecture_robustness,friedman,LinearSEMDataset,edge_f1,delta,all_models,5,4.622641509433965,0.46364394951950827,False,,0.46364394951950827,,,
structural_architecture_robustness,friedman,LinearSEMDataset,endpoint_f1,absolute,all_models,5,5.094339622641499,0.4044757733297094,False,,0.46364394951950827,,,
structural_architecture_robustness,friedman,LinearSEMDataset,endpoint_f1,delta,all_models,5,5.094339622641499,0.4044757733297094,False,,0.46364394951950827,,,
structural_architecture_robustness,friedman,ElectricalCircuitData,edge_f1,absolute,all_models,5,8.090909090909097,0.151296104881242,False,,0.46364394951950827,,,
structural_architecture_robustness,friedman,ElectricalCircuitData,edge_f1,delta,all_models,5,8.090909090909097,0.151296104881242,False,,0.46364394951950827,,,
structural_architecture_robustness,friedman,ElectricalCircuitData,endpoint_f1,absolute,all_models,5,5.129310344827574,0.4003038303986227,False,,0.46364394951950827,,,
structural_architecture_robustness,friedman,ElectricalCircuitData,endpoint_f1,delta,all_models,5,5.129310344827574,0.4003038303986227,False,,0.46364394951950827,,,
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,edge_f1,absolute,DeepMLP_vs_ShallowMLP,5,3.0,0.625,,,1.0,0.02948717948717956,0.0,0.0
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,edge_f1,absolute,BottleneckMLP_vs_ShallowMLP,5,4.0,0.875,,,1.0,0.01192307692307697,0.03076923076923077,0.5
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,edge_f1,absolute,GatedMLP_vs_ShallowMLP,5,1.0,0.125,,,1.0,-0.08974358974358969,-0.08571428571428563,-0.6
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,edge_f1,absolute,ResidualMLP_vs_ShallowMLP,5,4.0,0.875,,,1.0,0.012820512820512841,0.07692307692307698,0.5
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,edge_f1,absolute,TabularMLP_vs_ShallowMLP,5,1.0,0.5,,,1.0,-0.05274725274725271,0.0,-0.3333333333333333
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,edge_f1,delta,DeepMLP_vs_ShallowMLP,5,3.0,0.625,,,1.0,0.02948717948717956,0.0,0.0
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,edge_f1,delta,BottleneckMLP_vs_ShallowMLP,5,4.0,0.875,,,1.0,0.01192307692307697,0.03076923076923077,0.5
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,edge_f1,delta,GatedMLP_vs_ShallowMLP,5,1.0,0.125,,,1.0,-0.08974358974358969,-0.08571428571428563,-0.6
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,edge_f1,delta,ResidualMLP_vs_ShallowMLP,5,4.0,0.875,,,1.0,0.012820512820512841,0.07692307692307698,0.5
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,edge_f1,delta,TabularMLP_vs_ShallowMLP,5,1.0,0.5,,,1.0,-0.05274725274725271,0.0,-0.3333333333333333
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,endpoint_f1,absolute,DeepMLP_vs_ShallowMLP,5,3.0,0.625,,,1.0,-0.03269230769230767,0.0,0.0
structural_architecture_robustness,paired_wilcoxon,LinearSEMDataset,endpoint_f1,absolute,BottleneckMLP_vs_ShallowMLP,5,3.0,0.625,,,1.0,-0.010521978021978018,0.0,0.0
