dataset,metric,view,n,ShallowMLP_median,ShallowMLP_iqr,DeepMLP_median,DeepMLP_iqr,BottleneckMLP_median,BottleneckMLP_iqr,GatedMLP_median,GatedMLP_iqr,ResidualMLP_median,ResidualMLP_iqr,TabularMLP_median,TabularMLP_iqr
Linear SEM,model_f1_output,absolute,5,0.8333333333333334,0.0641025641025641,0.7692307692307693,0.0641025641025641,0.8333333333333334,0.0,0.7692307692307693,0.0,0.7692307692307693,0.0641025641025641,0.8333333333333334,0.0641025641025641
Linear SEM,model_f1_output,delta,5,0.10606060606060608,0.06060606060606066,0.28787878787878796,0.1581196581196581,0.15384615384615385,0.06060606060606066,0.0,0.18461538461538463,0.042780748663101664,0.2828282828282829,0.2333333333333334,0.12727272727272732
Linear SEM,std_mae_output,absolute,5,0.4281494499958725,0.004410285301921335,0.42883786670237006,0.01724478619984282,0.4258988532964204,0.015568048800508938,0.4341930781745043,0.033906815691000736,0.4387552720963853,0.009856156419076334,0.41846914831042625,0.013202749496425359
Linear SEM,std_mae_output,delta,5,0.40452248228214127,0.014419284777179131,0.4143503056877005,0.022945167934104616,0.4066501713592523,0.024856043892699964,0.42168644100922614,0.029137075385764433,0.4206462248391098,0.0041687322145765315,0.3967765426761914,0.027158458270618135
Current Measurement,model_f1_output,absolute,5,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
Current Measurement,model_f1_output,delta,5,-0.08333333333333337,0.0,0.06666666666666665,0.15000000000000002,-0.08333333333333337,0.0,-0.04761904761904767,0.08333333333333337,-0.08333333333333337,0.0,-0.08333333333333337,0.15000000000000002
Current Measurement,std_mae_output,absolute,5,0.5144735059840192,0.005469773039445847,0.5236138516315726,0.014016700315940822,0.5105440537965259,0.013380197666805538,0.523343598870614,0.019345158053545086,0.5116868927045727,0.0013755988773960226,0.526401704749921,0.01619718084243349
Current Measurement,std_mae_output,delta,5,0.502016933983923,0.010300104470424731,0.5092686209598064,0.012830627586450427,0.5000868163754103,0.009230788005850532,0.5081163481755756,0.018651872312304696,0.4992303207044762,0.014394278632474722,0.5118848386882923,0.015011108112943039
