metric,alignment_mode,n,rho,rho_q_bh,delta_mean,delta_median,delta_q_bh
Edge $F_1$ Score,No alignment,60,-0.21673920368288932,0.13809435822357913,-0.37105339105339125,-0.3897435897435897,1.523554164971571e-10
Edge $F_1$ Score,Observable-state alignment,60,0.20557614984381026,0.13809435822357913,-0.018938977688977683,-0.033333333333333326,0.1696144041933102
Edge $F_1$ Score,SEM-target alignment,60,0.18258191663740167,0.16262686538316348,-0.05787767787767787,0.0,0.012051607679548123
Endpoint-mark $F_1$,No alignment,60,-0.6080903313452315,5.119463962751183e-07,-0.29587207726913606,-0.3589743589743588,5.995375184284298e-10
Endpoint-mark $F_1$,Observable-state alignment,60,0.6356594323943255,1.4553131195411017e-07,-0.07694950882450877,-0.07417582417582419,4.305290504628886e-06
Endpoint-mark $F_1$,SEM-target alignment,60,0.6777821978501715,1.6253049743008413e-08,-0.07908508158508155,-0.04372294372294358,0.000183317817428474
