figure,scope,dataset,dataset_label,alignment_target,alignment_target_label,n,mae,median_abs_delta,bias,r,sign_agreement_rate,sem_effect_present_rate
intervention_aligned_proxy_calibration,dataset_alignment,LinearSEMDataset,Linear SEM,observable_state,Observable-state alignment,150,0.3720868279159876,0.03385720318827015,0.03232030241594785,0.6571712414706471,0.24,0.29333333333333333
intervention_aligned_proxy_calibration,dataset_alignment,LinearSEMDataset,Linear SEM,sem_truth,SEM-target alignment,150,0.0958927248725027,0.03595648120486255,0.02407819492258267,0.9713733885989351,0.26,0.29333333333333333
intervention_aligned_proxy_calibration,dataset_alignment,ElectricalCircuitData,Current Measurement,observable_state,Observable-state alignment,150,0.021631486230678062,0.00811986909567855,0.001147086764324808,0.9741552587371993,0.29333333333333333,0.21333333333333335
intervention_aligned_proxy_calibration,dataset_alignment,ElectricalCircuitData,Current Measurement,sem_truth,SEM-target alignment,150,0.022076740175281283,0.00819819633575275,0.002084414364622504,0.974297996123737,0.2866666666666667,0.21333333333333335
intervention_aligned_proxy_calibration,alignment_target_pooled,all,All datasets,observable_state,Observable-state alignment,300,0.19685915707333282,0.016240943908634686,0.016733694590136326,0.6623040476982988,0.26666666666666666,0.25333333333333335
intervention_aligned_proxy_calibration,alignment_target_pooled,all,All datasets,sem_truth,SEM-target alignment,300,0.058984732523892,0.01837181291399515,0.013081304643602586,0.9717229443262446,0.2733333333333333,0.25333333333333335
intervention_aligned_proxy_calibration,overall,all,All datasets,all,All alignment targets,600,0.1279219447986124,0.01719397905446745,0.014907499616869456,0.7724223677247399,0.27,0.25333333333333335
