figure,test,dataset,model,n,n_folds,best_epoch_mean,best_epoch_std,final_epoch_mean,final_epoch_std,final_train_loss_mean,final_train_loss_std,final_val_loss_mean,final_val_loss_std,best_val_loss_mean,best_val_loss_std,test_loss_mean,test_loss_std,final_val_minus_train_loss_mean,test_minus_best_val_loss_mean,early_stop_rate
training_dynamics,descriptive,LinearSEMDataset,ShallowMLP,5,5,28.4,7.92464510246358,30.6,6.985699678629192,0.34034633040428164,0.0035907775523482594,0.3459109783172607,0.01733305194729757,0.3456853210926056,0.01729570266746016,0.3469957709312439,0.011308507425258392,0.005564647912979104,0.0013104498386383168,1.0
training_dynamics,descriptive,ElectricalCircuitData,ShallowMLP,5,5,40.0,0.0,40.0,0.0,0.09389221668243405,0.004916707929050174,0.0947319477796554,0.005659692689352534,0.0947319477796554,0.005659692689352534,0.09132434427738186,0.008477907320749066,0.0008397310972213634,-0.0034076035022735625,0.0
training_dynamics,descriptive,LinearSEMDataset,DeepMLP,5,5,21.0,8.455767262643882,26.6,6.228964600958975,0.3562582850456238,0.0035168791073552745,0.3462220191955566,0.017148769827392978,0.34560516476631165,0.017198400365355353,0.3466379761695862,0.010992639170601413,-0.010036265850067172,0.0010328114032745251,1.0
training_dynamics,descriptive,ElectricalCircuitData,DeepMLP,5,5,47.2,9.06642156531451,53.6,7.162401831787993,0.09496070742607113,0.0034271928551895606,0.07038353532552713,0.0020395439092970548,0.06958862543106074,0.0023431325601016286,0.0648557879030704,0.004883930324082286,-0.024577172100543995,-0.004732837527990344,0.6
training_dynamics,descriptive,LinearSEMDataset,BottleneckMLP,5,5,19.6,5.683308895353129,25.4,4.722287581247038,0.3407306134700775,0.004009544961006618,0.3448154449462891,0.016633200807163483,0.344505763053894,0.016906975228968984,0.34596656560897826,0.011125233603140926,0.00408483147621157,0.0014608025550842175,1.0
training_dynamics,descriptive,ElectricalCircuitData,BottleneckMLP,5,5,59.4,0.8944271909999159,60.0,0.0,0.06672861129045482,0.0021060312481602597,0.0674405068159103,0.0027536657905094714,0.06739329248666759,0.002737307549098494,0.062336562573909717,0.003897011913854372,0.0007118955254554804,-0.00505672991275786,0.0
training_dynamics,descriptive,LinearSEMDataset,GatedMLP,5,5,39.2,24.651571957990836,44.6,20.63492185592182,0.3584178626537323,0.008558754241642524,0.3514618992805481,0.012923814173047872,0.35098922848701475,0.012909109911878394,0.35119861364364624,0.012083397190483985,-0.006955963373184204,0.00020938515663146973,0.6
training_dynamics,descriptive,ElectricalCircuitData,GatedMLP,5,5,58.8,1.3038404810405297,60.0,0.0,0.09959583282470696,0.0036978337912083746,0.07238824963569637,0.0025099966930118025,0.0716669231653213,0.0024058971347872,0.06646733731031411,0.0021941977191981643,-0.0272075831890106,-0.0051995858550071775,0.0
training_dynamics,descriptive,LinearSEMDataset,ResidualMLP,5,5,19.4,8.905054744357274,32.2,3.420526275297414,0.3402182698249817,0.0046445477798384895,0.3466340065002441,0.017089501209377602,0.34438287615776064,0.016164602690009234,0.3462301015853882,0.011549405344038824,0.006415736675262451,0.0018472254276275745,1.0
training_dynamics,descriptive,ElectricalCircuitData,ResidualMLP,5,5,42.2,10.779610382569492,50.0,8.972179222463181,0.06285103112459178,0.0017235978997490453,0.06382851451635356,0.0029974161786889245,0.06332827806472777,0.003051757290061623,0.058617920428514436,0.003941658371301527,0.0009774833917617852,-0.004710357636213322,1.0
training_dynamics,descriptive,LinearSEMDataset,TabularMLP,5,5,14.6,4.159326868617084,22.0,0.0,0.3524025857448578,0.004113963279313544,0.3458893120288849,0.016730112028265597,0.344772458076477,0.016944816252868738,0.3458985149860382,0.01098024342999066,-0.006513273715972901,0.0011260569095611684,1.0
training_dynamics,descriptive,ElectricalCircuitData,TabularMLP,5,5,50.4,7.893034904268446,56.2,5.495452665613635,0.09578543156385419,0.00320318200699802,0.07026791870594022,0.0019594346942032425,0.06951231807470318,0.0020627309349156497,0.06497521921992297,0.005386431501380286,-0.025517512857913982,-0.004537098854780196,0.4
