figure,test,dataset,metric,view,comparison,n,stat,p_raw,degenerate,note,q_bh,delta_mean,delta_median,rank_biserial
intervention_architecture_robustness,paired_wilcoxon,ElectricalCircuitData,std_mae_output,absolute,DeepMLP_vs_ShallowMLP,5,3.0,0.3125,,,0.8928571428571429,0.005276687359156995,0.01060384549587745,0.2
intervention_architecture_robustness,paired_wilcoxon,ElectricalCircuitData,std_mae_output,absolute,BottleneckMLP_vs_ShallowMLP,5,2.0,0.1875,,,0.8928571428571429,-0.003060142089628526,-0.004220311501402008,-0.6
intervention_architecture_robustness,paired_wilcoxon,ElectricalCircuitData,std_mae_output,absolute,GatedMLP_vs_ShallowMLP,5,5.0,0.625,,,0.8928571428571429,0.002986924022001225,7.160813277562461e-06,0.2
intervention_architecture_robustness,paired_wilcoxon,ElectricalCircuitData,std_mae_output,absolute,ResidualMLP_vs_ShallowMLP,5,0.0,0.0625,,,0.5,-0.004550641815604462,-0.005346677817757939,-1.0
intervention_architecture_robustness,paired_wilcoxon,ElectricalCircuitData,std_mae_output,absolute,TabularMLP_vs_ShallowMLP,5,3.0,0.3125,,,0.8928571428571429,0.005332940435179489,0.0007732762265315607,0.6
intervention_architecture_robustness,paired_wilcoxon,ElectricalCircuitData,std_mae_output,delta,DeepMLP_vs_ShallowMLP,5,3.0,0.3125,,,0.8928571428571429,0.005276687359156795,0.01060384549587745,0.2
intervention_architecture_robustness,paired_wilcoxon,ElectricalCircuitData,std_mae_output,delta,BottleneckMLP_vs_ShallowMLP,5,2.0,0.1875,,,0.8928571428571429,-0.003060142089628526,-0.004220311501402008,-0.6
intervention_architecture_robustness,paired_wilcoxon,ElectricalCircuitData,std_mae_output,delta,GatedMLP_vs_ShallowMLP,5,5.0,0.625,,,0.8928571428571429,0.0029869240220012027,7.160813277451439e-06,0.2
intervention_architecture_robustness,paired_wilcoxon,ElectricalCircuitData,std_mae_output,delta,ResidualMLP_vs_ShallowMLP,5,0.0,0.0625,,,0.5,-0.00455064181560465,-0.005346677817758216,-1.0
intervention_architecture_robustness,paired_wilcoxon,ElectricalCircuitData,std_mae_output,delta,TabularMLP_vs_ShallowMLP,5,3.0,0.3125,,,0.8928571428571429,0.005332940435179489,0.0007732762265315607,0.6
