dataset,metric,method,n,model_truth_median,model_truth_iqr,delta_median,delta_iqr,friedman_q_bh,contrast_to_activations_q_bh
Linear SEM,Edge $F_1$ Score,Activations,30,0.8333333333333333,0.12307692307692308,0.0,0.16334706959706952,1.0,
Linear SEM,Edge $F_1$ Score,Pre-activations,30,0.8166666666666667,0.12307692307692308,-0.016666666666666663,0.1533882783882785,1.0,0.9375
Current Measurement,Edge $F_1$ Score,Activations,30,0.9090909090909092,0.19999999999999984,-0.05555555555555569,0.20151515151515137,1.0,
Current Measurement,Edge $F_1$ Score,Pre-activations,30,0.9090909090909092,0.19999999999999984,0.0,0.10909090909090902,1.0,0.93359375
Linear SEM,Endpoint-mark $F_1$,Activations,30,0.4375,0.06538461538461549,-0.0615384615384616,0.11538461538461531,1.0,
Linear SEM,Endpoint-mark $F_1$,Pre-activations,30,0.4375,0.0615384615384616,-0.0620192307692308,0.11538461538461531,1.0,0.93359375
Current Measurement,Endpoint-mark $F_1$,Activations,30,0.5454545454545454,0.19999999999999996,-0.13787878787878782,0.19999999999999996,1.0,
Current Measurement,Endpoint-mark $F_1$,Pre-activations,30,0.5454545454545454,0.19999999999999996,-0.1212121212121211,0.16666666666666652,1.0,0.93359375
