figure,test,dataset,metric,comparison,n,stat,p_raw,degenerate,note,q_bh,delta_mean,delta_median,rank_biserial
structural_alignment_target_truth,paired_wilcoxon,LinearSEMDataset,shd_partial,sem_truth_vs_off,30,17.5,2.2400271567317183e-05,,,5.15649792844277e-05,-3.3333333333333335,-4.0,-0.7857142857142857
structural_alignment_target_truth,paired_wilcoxon,LinearSEMDataset,shd_partial,sem_truth_vs_observable_state,30,90.0,0.14023481700397833,,,0.16026836229026095,0.5666666666666667,0.0,0.13043478260869565
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,edge_f1,observable_state_vs_off,30,1.0,1.9053914697663724e-06,,,7.2597969145218095e-06,0.4672538572538573,0.5173659673659673,0.9333333333333333
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,edge_f1,sem_truth_vs_off,30,1.0,1.9018226127429695e-06,,,7.2597969145218095e-06,0.5031279831279832,0.5384615384615385,0.9333333333333333
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,edge_f1,sem_truth_vs_observable_state,30,128.5,0.35805018693627166,,,0.37361758636828346,0.03587412587412587,0.08989898989898981,0.36
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,endpoint_f1,observable_state_vs_off,30,2.0,2.1174407667355275e-06,,,7.2597969145218095e-06,0.3306143856143856,0.3380952380952381,0.9333333333333333
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,endpoint_f1,sem_truth_vs_off,30,2.0,2.103057968003945e-06,,,7.2597969145218095e-06,0.381985791985792,0.43333333333333324,0.9333333333333333
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,endpoint_f1,sem_truth_vs_observable_state,30,117.5,0.1388034764345792,,,0.16026836229026095,0.051371406371406365,0.15454545454545454,0.3076923076923077
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,shd_strict,observable_state_vs_off,30,1.5,1.8516774116042467e-06,,,7.2597969145218095e-06,-4.7,-5.0,-0.9333333333333333
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,shd_strict,sem_truth_vs_off,30,1.5,1.6973806025652261e-06,,,7.2597969145218095e-06,-5.533333333333333,-6.0,-0.9333333333333333
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,shd_strict,sem_truth_vs_observable_state,30,95.0,0.06336153058814459,,,0.08448204078419279,-0.8333333333333334,-2.0,-0.36
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,shd_partial,observable_state_vs_off,30,0.0,2.4379726685791166e-06,,,7.313918005737349e-06,-6.6,-6.5,-1.0
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,shd_partial,sem_truth_vs_off,30,1.0,1.8029960666573637e-06,,,7.2597969145218095e-06,-7.233333333333333,-8.0,-0.9333333333333333
structural_alignment_target_truth,paired_wilcoxon,ElectricalCircuitData,shd_partial,sem_truth_vs_observable_state,30,131.0,0.2527449255236228,,,0.27572173693486124,-0.6333333333333333,-1.5,-0.3076923076923077
