dataset,metric,view,n,activations_median,activations_iqr,pre_activations_median,pre_activations_iqr,inputs_outputs_median,inputs_outputs_iqr,weights_median,weights_iqr
Linear SEM,edge_f1,absolute,5,0.8333333333333333,0.12307692307692308,0.923076923076923,0.08974358974358976,0.923076923076923,0.08974358974358976,0.4705882352941176,0.1538461538461538
Linear SEM,edge_f1,delta,5,0.0,0.08827838827838819,0.0,0.12307692307692308,0.0,0.12307692307692308,-0.24369747899159672,0.1538461538461538
Linear SEM,endpoint_f1,absolute,5,0.4615384615384615,0.10000000000000009,0.4615384615384615,0.03846153846153849,0.4615384615384615,0.03846153846153849,0.2352941176470588,0.0769230769230769
Linear SEM,endpoint_f1,delta,5,0.0,0.12747252747252757,0.0,0.13205128205128203,0.0,0.13205128205128203,-0.2692307692307693,0.15379228614522747
Current Measurement,edge_f1,absolute,5,0.8333333333333333,0.19999999999999984,0.8333333333333333,0.19999999999999984,0.8333333333333333,0.19999999999999984,0.4444444444444444,0.026143790849673165
Current Measurement,edge_f1,delta,5,-0.05555555555555569,0.0888888888888888,-0.05555555555555569,0.0888888888888888,-0.05555555555555569,0.0888888888888888,-0.44444444444444453,0.02339181286549713
Current Measurement,endpoint_f1,absolute,5,0.5,0.19999999999999996,0.5,0.19999999999999996,0.5,0.19999999999999996,0.25,0.042483660130719
Current Measurement,endpoint_f1,delta,5,-0.16666666666666652,0.16666666666666652,-0.16666666666666652,0.16666666666666652,-0.16666666666666652,0.16666666666666652,-0.4166666666666665,0.06725146198830423
